transaksi_id,tanggal,jam,cabang_id,pelanggan_id,saluran,metode_bayar,subtotal,diskon,total
T0000061,2024-01-03,14,C01,,Takeaway,Kartu Debit,25000,0,25000
T0000062,2024-01-03,11,C01,,Dine-in,QRIS,55000,0,55000
T0000063,2024-01-03,16,C01,,Takeaway,E-Wallet,65000,0,65000
T0000064,2024-01-04,12,C01,,Takeaway,E-Wallet,22000,0,22000
T0000065,2024-01-04,13,C01,,Dine-in,E-Wallet,59000,0,59000
T0000066,2024-01-04,11,C01,,Dine-in,Tunai,64000,0,64000
T0000067,2024-01-04,16,C01,,Dine-in,Kartu Debit,22000,0,22000
T0000068,2024-01-04,9,C01,,Takeaway,Tunai,69000,0,69000
T0000069,2024-01-04,13,C01,,Dine-in,QRIS,25000,0,25000
T0000070,2024-01-04,10,C01,,Takeaway,QRIS,68000,0,68000
T0000071,2024-01-04,11,C01,,Takeaway,E-Wallet,32000,0,32000
T0000072,2024-01-04,15,C01,,Dine-in,Tunai,135000,6750,128250
T0000073,2024-01-04,7,C01,,Dine-in,E-Wallet,22000,0,22000
T0000074,2024-01-04,8,C01,,Dine-in,E-Wallet,18000,0,18000
T0000075,2024-01-04,16,C01,,Dine-in,QRIS,25000,0,25000
T0000076,2024-01-04,9,C01,,Dine-in,Kartu Debit,37000,0,37000
T0000077,2024-01-04,10,C01,,Takeaway,QRIS,100000,0,100000
T0000078,2024-01-04,13,C01,,Dine-in,E-Wallet,39000,0,39000
T0000079,2024-01-04,13,C01,,Takeaway,E-Wallet,69000,0,69000
T0000080,2024-01-04,7,C01,,Takeaway,QRIS,45000,0,45000
T0000081,2024-01-04,8,C01,,Dine-in,Tunai,18000,0,18000
T0000082,2024-01-04,11,C01,,Dine-in,Tunai,39000,0,39000
T0000083,2024-01-04,13,C01,,Dine-in,E-Wallet,50000,0,50000
T0000084,2024-01-04,21,C01,,Takeaway,Kartu Debit,25000,0,25000
T0000085,2024-01-04,12,C01,,Takeaway,E-Wallet,42000,0,42000
T0000086,2024-01-04,12,C01,,Dine-in,E-Wallet,127000,0,127000
T0000087,2024-01-04,12,C01,,Dine-in,QRIS,60000,0,60000
T0000088,2024-01-04,18,C01,,Takeaway,QRIS,40000,0,40000
T0000089,2024-01-04,8,C01,,Takeaway,Kartu Debit,18000,0,18000
T0000090,2024-01-04,10,C01,,Dine-in,E-Wallet,51000,0,51000
T0000091,2024-01-04,12,C01,,Dine-in,E-Wallet,22000,0,22000
T0000092,2024-01-04,12,C01,,Takeaway,QRIS,67000,0,67000
T0000093,2024-01-04,16,C01,,Dine-in,Kartu Debit,143000,0,143000
T0000094,2024-01-04,13,C01,,Takeaway,QRIS,74000,0,74000
T0000095,2024-01-04,13,C01,,Takeaway,QRIS,88000,0,88000
T0000096,2024-01-04,11,C01,,Takeaway,QRIS,15000,0,15000
T0000097,2024-01-04,8,C01,,Dine-in,QRIS,30000,0,30000
T0000098,2024-01-04,7,C01,,Dine-in,Tunai,25000,0,25000
T0000099,2024-01-04,13,C01,,Takeaway,E-Wallet,40000,0,40000
T0000100,2024-01-04,10,C01,,Takeaway,Kartu Debit,50000,0,50000
T0000101,2024-01-04,14,C01,,Takeaway,Tunai,20000,1000,19000
T0000102,2024-01-05,15,C01,,Delivery,E-Wallet,24000,0,24000
T0000103,2024-01-05,10,C01,,Dine-in,QRIS,14000,0,14000
T0000104,2024-01-05,13,C01,,Takeaway,QRIS,25000,0,25000
T0000105,2024-01-05,18,C01,,Dine-in,QRIS,22000,0,22000
T0000106,2024-01-05,12,C01,,Takeaway,Kartu Debit,39000,0,39000
T0000107,2024-01-05,8,C01,,Dine-in,QRIS,25000,0,25000
T0000108,2024-01-05,14,C01,,Dine-in,Kartu Debit,44000,2200,41800
T0000109,2024-01-05,12,C01,,Dine-in,E-Wallet,70000,0,70000
T0000110,2024-01-05,10,C01,,Dine-in,QRIS,47000,0,47000
T0000111,2024-01-05,13,C01,,Dine-in,QRIS,22000,0,22000
T0000112,2024-01-05,9,C01,,Takeaway,Kartu Debit,74000,0,74000
T0000113,2024-01-05,7,C01,,Takeaway,E-Wallet,68000,0,68000
T0000114,2024-01-05,14,C01,,Dine-in,Kartu Debit,25000,0,25000
T0000115,2024-01-05,13,C01,,Dine-in,Kartu Debit,18000,0,18000
T0000116,2024-01-05,14,C01,,Dine-in,E-Wallet,107000,0,107000
T0000117,2024-01-05,12,C01,,Takeaway,Tunai,51000,0,51000
T0000118,2024-01-05,12,C01,,Takeaway,QRIS,69000,3450,65550
T0000119,2024-01-05,13,C01,,Takeaway,Kartu Debit,25000,0,25000
T0000120,2024-01-05,19,C01,,Takeaway,Tunai,37000,0,37000
T0000121,2024-01-05,15,C01,,Dine-in,E-Wallet,30000,0,30000
T0000122,2024-01-05,16,C01,,Dine-in,Kartu Debit,30000,0,30000
T0000123,2024-01-05,11,C01,,Dine-in,Kartu Debit,91000,0,91000
T0000124,2024-01-05,19,C01,,Dine-in,Tunai,92000,0,92000
T0000125,2024-01-05,15,C01,,Dine-in,Kartu Debit,40000,0,40000
T0000126,2024-01-05,12,C01,,Takeaway,E-Wallet,111000,0,111000
T0000127,2024-01-05,19,C01,,Dine-in,Kartu Debit,50000,0,50000
T0000128,2024-01-05,14,C01,,Takeaway,Tunai,117000,0,117000
T0000129,2024-01-05,16,C01,,Dine-in,E-Wallet,64000,0,64000
T0000130,2024-01-05,11,C01,,Takeaway,E-Wallet,104000,0,104000
T0000131,2024-01-05,17,C01,,Takeaway,Tunai,25000,0,25000
T0000132,2024-01-05,8,C01,,Takeaway,E-Wallet,40000,0,40000
T0000133,2024-01-05,12,C01,,Takeaway,QRIS,25000,0,25000
T0000134,2024-01-05,11,C01,,Delivery,Kartu Debit,50000,0,50000
T0000135,2024-01-05,14,C01,,Dine-in,Kartu Debit,50000,0,50000
T0000136,2024-01-05,13,C01,,Dine-in,QRIS,49000,2450,46550
T0000137,2024-01-05,17,C01,,Dine-in,QRIS,37000,0,37000
T0000138,2024-01-05,17,C01,,Dine-in,Kartu Debit,42000,2100,39900
T0000139,2024-01-05,13,C01,,Dine-in,E-Wallet,62000,0,62000
T0000140,2024-01-06,19,C01,,Dine-in,QRIS,22000,0,22000
T0000141,2024-01-06,13,C01,,Takeaway,E-Wallet,50000,0,50000
T0000142,2024-01-06,15,C01,,Delivery,QRIS,33000,0,33000
T0000143,2024-01-06,19,C01,,Takeaway,Tunai,22000,0,22000
T0000144,2024-01-06,9,C01,,Delivery,Kartu Debit,15000,0,15000
T0000145,2024-01-06,12,C01,,Dine-in,Tunai,49000,0,49000
T0000146,2024-01-06,14,C01,,Dine-in,Tunai,71000,0,71000
T0000147,2024-01-06,12,C01,,Dine-in,QRIS,24000,1200,22800
T0000148,2024-01-06,11,C01,,Dine-in,QRIS,46000,0,46000
T0000149,2024-01-06,15,C01,,Takeaway,QRIS,46000,0,46000
T0000150,2024-01-06,13,C01,,Takeaway,QRIS,46000,0,46000
T0000151,2024-01-06,10,C01,,Dine-in,QRIS,57000,0,57000
T0000152,2024-01-06,13,C01,,Takeaway,QRIS,74000,0,74000
T0000153,2024-01-06,14,C01,,Takeaway,E-Wallet,37000,1850,35150
T0000154,2024-01-06,16,C01,,Dine-in,E-Wallet,20000,0,20000
T0000155,2024-01-06,7,C01,,Dine-in,E-Wallet,90000,0,90000
T0000156,2024-01-06,12,C01,,Takeaway,E-Wallet,57000,0,57000
T0000157,2024-01-06,16,C01,,Dine-in,Kartu Debit,75000,0,75000
T0000158,2024-01-06,7,C01,,Dine-in,Tunai,49000,0,49000
T0000159,2024-01-06,12,C01,,Dine-in,E-Wallet,22000,0,22000
T0000160,2024-01-06,7,C01,,Takeaway,E-Wallet,20000,0,20000
T0000161,2024-01-06,10,C01,,Dine-in,Tunai,18000,0,18000
T0000162,2024-01-06,15,C01,,Dine-in,Tunai,65000,0,65000
T0000163,2024-01-06,14,C01,,Dine-in,Kartu Debit,20000,0,20000
T0000164,2024-01-06,13,C01,,Dine-in,QRIS,39000,1950,37050
T0000165,2024-01-06,12,C01,,Delivery,QRIS,24000,0,24000
T0000166,2024-01-06,20,C01,,Dine-in,Tunai,24000,0,24000
T0000167,2024-01-06,16,C01,,Takeaway,E-Wallet,75000,0,75000
T0000168,2024-01-06,9,C01,,Dine-in,QRIS,53000,0,53000
T0000169,2024-01-06,9,C01,,Dine-in,E-Wallet,15000,0,15000
T0000170,2024-01-06,12,C01,,Takeaway,Tunai,15000,0,15000
T0000171,2024-01-06,15,C01,,Dine-in,E-Wallet,22000,0,22000
T0000172,2024-01-06,13,C01,,Dine-in,E-Wallet,15000,0,15000
T0000173,2024-01-06,10,C01,,Dine-in,QRIS,25000,0,25000
T0000174,2024-01-06,15,C01,,Takeaway,E-Wallet,82000,0,82000
T0000175,2024-01-06,11,C01,,Dine-in,Tunai,78000,0,78000
T0000176,2024-01-06,9,C01,,Dine-in,E-Wallet,47000,0,47000
T0000177,2024-01-06,17,C01,,Takeaway,Tunai,127000,0,127000
T0000178,2024-01-06,14,C01,,Dine-in,Tunai,72000,0,72000
T0000179,2024-01-06,15,C01,,Dine-in,Tunai,25000,0,25000
T0000180,2024-01-07,17,C01,,Takeaway,Tunai,55000,0,55000
T0000181,2024-01-07,7,C01,,Dine-in,E-Wallet,72000,0,72000
T0000182,2024-01-07,12,C01,,Dine-in,Tunai,50000,0,50000
T0000183,2024-01-07,12,C01,,Dine-in,Kartu Debit,70000,0,70000
T0000184,2024-01-07,14,C01,,Takeaway,QRIS,15000,0,15000
T0000185,2024-01-07,8,C01,,Dine-in,QRIS,61000,0,61000
T0000186,2024-01-07,11,C01,,Dine-in,Tunai,101000,0,101000
T0000187,2024-01-07,10,C01,,Delivery,Tunai,44000,0,44000
T0000188,2024-01-07,13,C01,,Takeaway,Kartu Debit,88000,0,88000
T0000189,2024-01-07,21,C01,,Dine-in,QRIS,24000,0,24000
T0000190,2024-01-07,19,C01,,Dine-in,E-Wallet,44000,0,44000
T0000191,2024-01-07,13,C01,,Dine-in,Tunai,44000,0,44000
T0000192,2024-01-07,15,C01,,Dine-in,QRIS,42000,0,42000
T0000193,2024-01-07,14,C01,,Dine-in,E-Wallet,81000,0,81000
T0000194,2024-01-07,15,C01,,Dine-in,E-Wallet,18000,0,18000
T0000195,2024-01-07,15,C01,,Takeaway,Tunai,95000,0,95000
T0000196,2024-01-07,15,C01,,Takeaway,E-Wallet,49000,0,49000
T0000197,2024-01-07,18,C01,,Takeaway,Kartu Debit,20000,0,20000
T0000198,2024-01-07,19,C01,,Dine-in,QRIS,40000,0,40000
T0000199,2024-01-07,13,C01,,Dine-in,QRIS,30000,0,30000
T0000200,2024-01-07,14,C01,,Takeaway,Tunai,43000,0,43000
T0000201,2024-01-07,10,C01,,Dine-in,Kartu Debit,58000,0,58000
T0000202,2024-01-07,14,C01,,Dine-in,Tunai,79000,0,79000
T0000203,2024-01-07,8,C01,,Dine-in,QRIS,30000,0,30000
T0000204,2024-01-07,10,C01,,Dine-in,Kartu Debit,98000,0,98000
T0000205,2024-01-07,9,C01,,Takeaway,QRIS,91000,0,91000
T0000206,2024-01-07,15,C01,,Dine-in,E-Wallet,66000,0,66000
T0000207,2024-01-07,13,C01,,Dine-in,E-Wallet,104000,0,104000
T0000208,2024-01-07,14,C01,,Takeaway,Kartu Debit,50000,0,50000
T0000209,2024-01-07,15,C01,,Takeaway,QRIS,18000,0,18000
T0000210,2024-01-07,12,C01,,Takeaway,E-Wallet,15000,0,15000
T0000211,2024-01-07,13,C01,,Dine-in,QRIS,78000,0,78000
T0000212,2024-01-07,11,C01,,Dine-in,Tunai,57000,0,57000
T0000213,2024-01-08,14,C01,,Dine-in,QRIS,93000,0,93000
T0000214,2024-01-08,10,C01,,Takeaway,Kartu Debit,44000,0,44000
T0000215,2024-01-08,12,C01,,Dine-in,QRIS,50000,0,50000
T0000216,2024-01-08,13,C01,,Takeaway,Tunai,25000,0,25000
T0000217,2024-01-08,10,C01,,Delivery,Kartu Debit,44000,0,44000
T0000218,2024-01-08,17,C01,,Takeaway,E-Wallet,61000,0,61000
T0000219,2024-01-08,19,C01,,Takeaway,Kartu Debit,18000,0,18000
T0000220,2024-01-08,21,C01,,Dine-in,Tunai,46000,0,46000
T0000221,2024-01-08,10,C01,,Dine-in,E-Wallet,36000,1800,34200
T0000222,2024-01-08,11,C01,,Takeaway,E-Wallet,57000,0,57000
T0000223,2024-01-08,11,C01,,Takeaway,QRIS,70000,0,70000
T0000224,2024-01-08,13,C01,,Dine-in,Tunai,24000,0,24000
T0000225,2024-01-08,11,C01,,Dine-in,QRIS,39000,0,39000
T0000226,2024-01-08,13,C01,,Takeaway,Tunai,18000,0,18000
T0000227,2024-01-08,16,C01,,Dine-in,Tunai,15000,0,15000
T0000228,2024-01-09,11,C01,,Dine-in,QRIS,33000,0,33000
T0000229,2024-01-09,10,C01,,Dine-in,Tunai,118000,0,118000
T0000230,2024-01-09,10,C01,,Dine-in,Tunai,43000,0,43000
T0000231,2024-01-09,19,C01,,Dine-in,E-Wallet,18000,0,18000
T0000232,2024-01-09,15,C01,,Takeaway,Kartu Debit,48000,0,48000
T0000233,2024-01-09,12,C01,,Dine-in,Tunai,25000,0,25000
T0000234,2024-01-09,18,C01,,Dine-in,Kartu Debit,43000,0,43000
T0000235,2024-01-09,14,C01,,Delivery,E-Wallet,50000,0,50000
T0000236,2024-01-09,18,C01,,Takeaway,Kartu Debit,44000,0,44000
T0000237,2024-01-09,15,C01,,Takeaway,Tunai,71000,0,71000
T0000238,2024-01-09,13,C01,,Dine-in,Kartu Debit,25000,0,25000
T0000239,2024-01-09,11,C01,,Takeaway,QRIS,18000,0,18000
T0000240,2024-01-09,9,C01,,Dine-in,Tunai,25000,0,25000
T0000241,2024-01-09,14,C01,,Takeaway,Tunai,18000,0,18000
T0000242,2024-01-09,14,C01,,Takeaway,E-Wallet,47000,0,47000
T0000243,2024-01-09,19,C01,,Takeaway,Tunai,42000,0,42000
T0000244,2024-01-09,11,C01,,Takeaway,QRIS,15000,0,15000
T0000245,2024-01-09,9,C01,,Delivery,Tunai,40000,0,40000
T0000246,2024-01-09,15,C01,,Dine-in,Kartu Debit,20000,0,20000
T0000247,2024-01-09,9,C01,,Dine-in,E-Wallet,18000,0,18000
T0000248,2024-01-09,15,C01,,Takeaway,QRIS,40000,0,40000
T0000249,2024-01-09,7,C01,,Dine-in,Tunai,54000,0,54000
T0000250,2024-01-09,15,C01,,Delivery,Tunai,25000,0,25000
T0000251,2024-01-10,12,C01,,Takeaway,Tunai,39000,0,39000
T0000252,2024-01-10,11,C01,,Dine-in,QRIS,14000,0,14000
T0000253,2024-01-10,12,C01,,Dine-in,E-Wallet,14000,0,14000
T0000254,2024-01-10,9,C01,,Dine-in,Tunai,15000,0,15000
T0000255,2024-01-10,14,C01,,Dine-in,Kartu Debit,24000,0,24000
T0000256,2024-01-10,20,C01,,Takeaway,Tunai,44000,0,44000
T0000257,2024-01-10,15,C01,,Dine-in,Kartu Debit,36000,0,36000
T0000258,2024-01-10,8,C01,,Dine-in,E-Wallet,91000,0,91000
T0000259,2024-01-10,8,C01,,Dine-in,E-Wallet,36000,1800,34200
T0000260,2024-01-10,15,C01,,Takeaway,QRIS,50000,0,50000
T0000261,2024-01-10,10,C01,,Takeaway,E-Wallet,39000,0,39000
T0000262,2024-01-10,17,C01,,Takeaway,Kartu Debit,83000,4150,78850
T0000263,2024-01-10,13,C01,,Delivery,E-Wallet,24000,0,24000
T0000264,2024-01-10,13,C01,,Takeaway,Tunai,18000,0,18000
T0000265,2024-01-10,16,C01,,Dine-in,E-Wallet,24000,0,24000
T0000266,2024-01-10,18,C01,,Dine-in,QRIS,65000,0,65000
T0000267,2024-01-10,10,C01,,Delivery,QRIS,18000,0,18000
T0000268,2024-01-10,21,C01,,Dine-in,Tunai,20000,0,20000
T0000269,2024-01-10,7,C01,,Dine-in,QRIS,93000,0,93000
T0000270,2024-01-10,12,C01,,Dine-in,Kartu Debit,15000,0,15000
T0000271,2024-01-10,14,C01,,Takeaway,Tunai,40000,0,40000
T0000272,2024-01-10,14,C01,,Dine-in,QRIS,47000,0,47000
T0000273,2024-01-10,7,C01,,Dine-in,QRIS,92000,0,92000
T0000274,2024-01-10,15,C01,,Delivery,Kartu Debit,30000,0,30000
T0000275,2024-01-10,11,C01,,Dine-in,E-Wallet,33000,0,33000
T0000276,2024-01-10,10,C01,,Dine-in,QRIS,15000,0,15000
T0000277,2024-01-10,18,C01,,Takeaway,E-Wallet,43000,0,43000
T0000278,2024-01-10,16,C01,,Dine-in,E-Wallet,45000,0,45000
T0000279,2024-01-10,17,C01,,Takeaway,QRIS,18000,0,18000
T0000280,2024-01-10,20,C01,,Dine-in,E-Wallet,50000,0,50000
T0000281,2024-01-10,12,C01,,Takeaway,Tunai,36000,0,36000
T0000282,2024-01-10,16,C01,,Takeaway,QRIS,24000,0,24000
T0000283,2024-01-10,17,C01,,Takeaway,QRIS,47000,0,47000
T0000284,2024-01-10,8,C01,,Dine-in,QRIS,67000,0,67000
T0000285,2024-01-10,9,C01,,Delivery,QRIS,71000,0,71000
T0000286,2024-01-10,13,C01,,Takeaway,Tunai,61000,0,61000
T0000287,2024-01-10,17,C01,,Dine-in,QRIS,25000,0,25000
T0000288,2024-01-11,18,C01,,Takeaway,QRIS,43000,0,43000
T0000289,2024-01-11,13,C01,,Dine-in,E-Wallet,40000,0,40000
T0000290,2024-01-11,8,C01,,Delivery,QRIS,86000,0,86000
T0000291,2024-01-11,12,C01,,Takeaway,QRIS,65000,0,65000
T0000292,2024-01-11,10,C01,,Dine-in,QRIS,40000,0,40000
T0000293,2024-01-11,19,C01,,Dine-in,QRIS,78000,0,78000
T0000294,2024-01-11,11,C01,,Delivery,E-Wallet,24000,1200,22800
T0000295,2024-01-11,13,C01,,Dine-in,Kartu Debit,72000,0,72000
T0000296,2024-01-11,7,C01,,Dine-in,Kartu Debit,131000,0,131000
T0000297,2024-01-11,7,C01,,Takeaway,E-Wallet,68000,0,68000
T0000298,2024-01-11,13,C01,,Dine-in,QRIS,50000,0,50000
T0000299,2024-01-11,9,C01,,Dine-in,Tunai,39000,0,39000
T0000300,2024-01-11,13,C01,,Takeaway,QRIS,57000,0,57000
T0000301,2024-01-11,14,C01,,Dine-in,Kartu Debit,40000,0,40000
T0000302,2024-01-11,9,C01,,Takeaway,Tunai,39000,0,39000
T0000303,2024-01-11,15,C01,,Takeaway,Tunai,18000,0,18000
T0000304,2024-01-11,10,C01,,Takeaway,Tunai,65000,0,65000
T0000305,2024-01-11,9,C01,,Takeaway,Tunai,62000,0,62000
T0000306,2024-01-11,9,C01,,Takeaway,Kartu Debit,15000,0,15000
T0000307,2024-01-11,15,C01,,Dine-in,QRIS,25000,0,25000
T0000308,2024-01-11,17,C01,,Dine-in,E-Wallet,40000,0,40000
T0000309,2024-01-11,15,C01,,Dine-in,QRIS,80000,0,80000
T0000310,2024-01-11,9,C01,,Takeaway,QRIS,65000,3250,61750
T0000311,2024-01-11,7,C01,,Dine-in,QRIS,15000,0,15000
T0000312,2024-01-11,13,C01,,Dine-in,Kartu Debit,25000,0,25000
T0000313,2024-01-11,10,C01,,Takeaway,QRIS,25000,0,25000
T0000314,2024-01-11,17,C01,,Takeaway,QRIS,108000,0,108000
T0000315,2024-01-11,13,C01,,Dine-in,Kartu Debit,20000,0,20000
T0000316,2024-01-11,18,C01,,Takeaway,QRIS,15000,0,15000
T0000317,2024-01-12,14,C01,,Dine-in,QRIS,18000,0,18000
T0000318,2024-01-12,10,C01,,Dine-in,E-Wallet,78000,0,78000
T0000319,2024-01-12,14,C01,,Takeaway,E-Wallet,25000,0,25000
T0000320,2024-01-12,14,C01,,Dine-in,Kartu Debit,25000,0,25000
T0000321,2024-01-12,9,C01,,Dine-in,E-Wallet,15000,0,15000
T0000322,2024-01-12,17,C01,,Takeaway,E-Wallet,46000,0,46000
T0000323,2024-01-12,14,C01,,Takeaway,Kartu Debit,79000,0,79000
T0000324,2024-01-12,10,C01,,Takeaway,QRIS,79000,0,79000
T0000325,2024-01-12,11,C01,,Dine-in,Kartu Debit,15000,0,15000
T0000326,2024-01-12,11,C01,,Takeaway,E-Wallet,127000,0,127000
T0000327,2024-01-12,12,C01,,Takeaway,QRIS,100000,0,100000
T0000328,2024-01-12,12,C01,,Dine-in,QRIS,62000,0,62000
T0000329,2024-01-12,15,C01,,Takeaway,Kartu Debit,48000,0,48000
T0000330,2024-01-12,11,C01,,Dine-in,E-Wallet,49000,0,49000
T0000331,2024-01-12,13,C01,,Dine-in,Kartu Debit,25000,0,25000
T0000332,2024-01-12,20,C01,,Dine-in,QRIS,33000,0,33000
T0000333,2024-01-12,17,C01,,Takeaway,Tunai,24000,0,24000
T0000334,2024-01-12,14,C01,,Dine-in,E-Wallet,18000,0,18000
T0000335,2024-01-12,18,C01,,Takeaway,QRIS,65000,0,65000
T0000336,2024-01-12,7,C01,,Takeaway,E-Wallet,50000,2500,47500
T0000337,2024-01-12,18,C01,,Takeaway,QRIS,76000,0,76000
T0000338,2024-01-12,16,C01,,Takeaway,QRIS,25000,0,25000
T0000339,2024-01-12,13,C01,,Takeaway,Kartu Debit,30000,0,30000
T0000340,2024-01-12,11,C01,,Dine-in,Tunai,40000,0,40000
T0000341,2024-01-12,10,C01,,Takeaway,QRIS,50000,0,50000
T0000342,2024-01-12,11,C01,,Delivery,E-Wallet,49000,0,49000
T0000343,2024-01-12,15,C01,,Dine-in,QRIS,79000,0,79000
T0000344,2024-01-12,12,C01,,Dine-in,QRIS,40000,2000,38000
T0000345,2024-01-12,13,C01,,Dine-in,QRIS,36000,0,36000
T0000346,2024-01-12,12,C01,,Takeaway,Kartu Debit,140000,7000,133000
T0000347,2024-01-12,7,C01,,Dine-in,QRIS,18000,0,18000
T0000348,2024-01-12,9,C01,,Dine-in,QRIS,104000,0,104000
T0000349,2024-01-12,12,C01,,Takeaway,E-Wallet,15000,750,14250
T0000350,2024-01-12,10,C01,,Dine-in,Kartu Debit,22000,0,22000
T0000351,2024-01-12,7,C01,,Dine-in,QRIS,50000,0,50000
T0000352,2024-01-12,19,C01,,Delivery,E-Wallet,24000,1200,22800
T0000353,2024-01-12,7,C01,,Takeaway,E-Wallet,49000,0,49000
T0000354,2024-01-12,15,C01,,Takeaway,Kartu Debit,61000,0,61000
T0000355,2024-01-12,15,C01,,Dine-in,QRIS,14000,0,14000
T0000356,2024-01-12,12,C01,,Dine-in,QRIS,119000,0,119000
T0000357,2024-01-12,9,C01,,Dine-in,QRIS,40000,0,40000
T0000358,2024-01-12,14,C01,,Takeaway,QRIS,60000,0,60000
T0000359,2024-01-12,12,C01,,Takeaway,E-Wallet,22000,0,22000
T0000360,2024-01-12,7,C01,,Takeaway,Kartu Debit,49000,0,49000
T0000361,2024-01-13,16,C01,,Dine-in,QRIS,50000,0,50000
T0000362,2024-01-13,14,C01,,Dine-in,QRIS,15000,0,15000
T0000363,2024-01-13,7,C01,,Dine-in,E-Wallet,43000,0,43000
T0000364,2024-01-13,16,C01,,Takeaway,E-Wallet,61000,0,61000
T0000365,2024-01-13,16,C01,,Takeaway,Kartu Debit,25000,0,25000
