pelanggan_id,bulan_daftar,bulan_ke,transaksi,nilai
U00060,2025-06,0,3,138000
U00060,2025-06,1,3,129000
U00060,2025-06,2,3,158000
U00060,2025-06,3,4,278000
U00060,2025-06,4,2,275000
U00060,2025-06,5,3,142000
U00060,2025-06,6,6,301500
U00060,2025-06,7,3,188000
U00060,2025-06,8,8,554000
U00061,2026-06,0,2,155000
U00062,2025-04,0,8,317600
U00064,2026-04,0,5,563300
U00064,2026-04,1,3,118000
U00064,2026-04,2,6,294400
U00066,2026-03,0,3,190200
U00066,2026-03,1,3,195000
U00066,2026-03,2,4,251000
U00067,2025-10,0,11,554200
U00067,2025-10,1,6,570400
U00067,2025-10,2,4,311000
U00067,2025-10,3,4,317000
U00067,2025-10,4,10,461000
U00067,2025-10,5,8,492700
U00067,2025-10,6,9,496000
U00068,2025-11,0,3,550000
U00068,2025-11,1,4,166000
U00069,2025-04,0,7,345300
U00072,2026-05,0,7,459000
U00072,2026-05,1,6,278500
U00073,2026-03,0,6,380600
U00074,2025-11,0,4,209000
U00074,2025-11,1,1,80000
U00074,2025-11,2,2,64000
U00074,2025-11,3,4,229700
U00074,2025-11,4,5,315200
U00074,2025-11,5,7,327000
U00074,2025-11,6,9,445000
U00074,2025-11,7,9,322900
U00075,2025-11,0,3,169000
U00075,2025-11,1,6,233000
U00075,2025-11,2,2,132500
U00075,2025-11,3,3,224000
U00075,2025-11,4,7,363500
U00076,2025-08,0,2,134000
U00077,2025-08,0,5,275750
U00077,2025-08,1,5,348000
U00079,2025-01,0,11,504000
U00079,2025-01,1,10,580000
U00079,2025-01,2,7,342750
U00080,2025-06,0,3,229000
U00080,2025-06,1,5,151000
U00080,2025-06,2,8,624450
U00080,2025-06,3,2,33000
U00082,2026-01,0,8,629000
U00083,2025-08,0,14,606750
U00086,2025-05,0,3,129000
U00087,2025-02,0,6,206700
U00088,2026-01,0,7,323000
U00088,2026-01,1,5,574050
U00088,2026-01,2,6,481950
U00089,2025-08,0,4,252000
U00089,2025-08,1,3,117000
U00091,2025-10,0,2,186000
U00091,2025-10,1,2,68000
U00092,2025-09,0,4,205000
U00092,2025-09,1,9,634350
U00092,2025-09,2,5,653500
U00094,2025-11,0,4,253000
U00094,2025-11,1,5,292500
U00094,2025-11,2,5,187000
U00094,2025-11,3,7,425500
U00094,2025-11,4,3,252000
U00094,2025-11,5,3,170000
U00095,2025-12,0,5,325100
U00096,2025-04,0,5,258200
U00100,2025-10,0,5,343000
U00103,2025-01,1,5,317100
U00103,2025-01,2,11,466000
U00104,2025-07,0,6,421600
U00107,2026-02,0,12,791000
U00107,2026-02,1,5,315000
U00107,2026-02,2,7,462250
U00107,2026-02,3,5,243000
U00109,2026-04,0,5,306700
U00109,2026-04,1,8,474000
U00109,2026-04,2,10,755550
U00110,2025-09,0,8,453800
U00113,2026-03,0,6,391500
U00115,2026-05,0,5,248900
U00116,2025-08,0,4,170650
U00116,2025-08,1,3,141000
U00117,2026-03,0,5,359550
U00119,2025-01,1,7,276300
U00119,2025-01,2,8,474600
U00119,2025-01,3,4,278000
U00119,2025-01,4,4,285800
U00119,2025-01,5,2,139000
U00120,2026-03,0,6,574000
U00120,2026-03,1,6,372500
U00121,2026-04,0,3,201000
U00122,2025-10,0,3,176900
U00123,2026-02,0,3,129800
U00124,2025-06,0,5,254700
U00127,2025-06,0,6,516000
U00127,2025-06,1,6,343900
U00127,2025-06,2,5,249300
U00127,2025-06,3,5,103750
U00128,2025-02,0,5,312250
U00128,2025-02,1,11,685500
U00128,2025-02,2,5,208750
U00128,2025-02,3,8,382000
U00128,2025-02,4,4,622000
U00128,2025-02,6,6,414000
U00128,2025-02,7,4,233000
U00128,2025-02,8,5,380000
U00128,2025-02,9,2,59000
U00128,2025-02,10,5,309000
U00128,2025-02,11,3,215000
U00128,2025-02,12,5,457800
U00128,2025-02,13,4,186950
U00129,2025-04,0,5,312000
U00130,2026-05,0,12,668400
U00130,2026-05,1,6,139750
U00131,2025-08,0,10,642200
U00131,2025-08,1,6,336650
U00131,2025-08,2,5,484500
U00132,2026-06,0,4,302000
U00133,2025-07,0,3,162000
U00134,2025-02,0,8,374900
U00134,2025-02,1,6,402000
U00137,2026-01,0,2,67000
U00137,2026-01,1,4,381000
U00141,2025-07,0,4,305000
U00141,2025-07,1,4,155000
U00141,2025-07,2,1,50000
U00141,2025-07,3,6,287600
U00142,2025-11,0,3,101000
U00143,2025-11,0,3,135400
U00143,2025-11,1,6,380100
U00145,2025-04,0,6,282000
U00146,2026-02,0,3,132000
U00146,2026-02,1,3,388850
U00149,2026-05,0,6,270500
U00151,2026-06,0,8,220250
U00152,2025-12,0,3,79900
U00152,2025-12,1,9,840500
U00152,2025-12,2,5,264200
U00153,2025-06,0,5,329500
U00154,2025-03,0,11,582200
U00155,2025-02,0,5,262200
U00156,2026-05,0,3,194000
U00160,2025-06,0,4,100000
U00163,2025-02,0,7,530000
U00164,2025-12,0,4,146000
U00165,2025-02,0,6,186300
U00166,2025-09,0,1,47500
U00166,2025-09,1,2,120000
U00166,2025-09,2,8,554300
U00166,2025-09,3,6,270000
U00166,2025-09,4,8,552100
U00167,2025-02,6,7,318000
U00167,2025-02,7,9,601400
U00167,2025-02,8,6,225100
U00167,2025-02,9,8,276950
U00167,2025-02,10,9,533700
U00167,2025-02,11,4,166100
U00167,2025-02,12,8,381000
U00167,2025-02,13,7,430000
U00167,2025-02,14,6,282200
U00167,2025-02,15,6,690000
U00167,2025-02,16,10,446750
U00168,2025-02,0,6,305000
U00169,2025-07,0,9,574950
U00173,2026-05,0,9,597900
U00173,2026-05,1,9,532650
U00174,2025-09,0,3,141050
U00175,2025-10,0,8,421250
U00175,2025-10,1,2,60000
U00175,2025-10,2,5,279000
U00175,2025-10,3,3,374350
U00175,2025-10,4,4,147600
U00175,2025-10,5,4,420500
U00175,2025-10,6,5,475400
U00175,2025-10,7,4,242200
U00177,2025-09,0,2,101000
U00177,2025-09,1,6,656000
U00177,2025-09,2,3,135100
U00177,2025-09,3,4,146200
U00177,2025-09,4,7,453000
U00177,2025-09,5,6,381550
U00177,2025-09,6,5,299000
U00177,2025-09,7,4,224000
U00177,2025-09,8,3,111000
U00177,2025-09,9,5,253750
U00179,2025-11,0,6,281100
U00180,2026-04,0,8,509200
U00180,2026-04,1,12,597600
U00181,2025-06,0,7,341000
U00183,2025-04,0,2,166900
U00183,2025-04,1,10,298800
U00183,2025-04,2,6,204000
U00183,2025-04,3,2,72000
U00183,2025-04,4,3,411100
U00183,2025-04,5,5,503000
U00183,2025-04,6,3,158000
U00186,2026-05,0,8,686750
U00186,2026-05,1,8,505750
U00188,2026-03,0,4,198400
U00188,2026-03,1,3,399250
U00188,2026-03,2,12,765000
U00190,2025-12,0,3,183000
U00191,2025-02,0,4,96000
U00191,2025-02,1,11,654600
U00192,2025-12,0,9,373800
U00193,2025-02,0,10,551200
U00193,2025-02,1,5,302000
U00193,2025-02,2,5,395000
U00193,2025-02,3,12,849150
U00193,2025-02,4,6,223000
U00193,2025-02,5,3,230000
U00193,2025-02,6,5,211250
U00193,2025-02,7,9,586000
U00196,2026-05,0,9,471000
U00196,2026-05,1,6,195100
U00198,2025-05,0,4,316000
U00200,2025-11,0,2,52000
U00200,2025-11,1,3,191000
U00201,2026-02,0,6,535000
U00201,2026-02,1,10,443550
U00201,2026-02,2,11,730100
U00201,2026-02,3,6,399500
U00201,2026-02,4,8,611550
U00202,2026-03,0,5,217000
U00202,2026-03,1,8,381000
U00202,2026-03,2,9,526250
U00203,2025-09,0,6,409600
U00203,2025-09,1,4,98100
U00203,2025-09,2,7,527450
U00203,2025-09,3,6,237500
U00203,2025-09,4,3,124000
U00203,2025-09,5,5,292000
U00203,2025-09,6,7,473100
U00203,2025-09,7,4,97200
U00203,2025-09,8,5,205000
U00203,2025-09,9,5,442400
U00204,2025-03,0,4,114800
U00205,2026-03,0,5,236000
U00206,2025-11,3,6,419600
U00206,2025-11,4,6,392000
U00207,2025-03,0,5,186000
U00208,2025-08,0,6,391600
U00208,2025-08,1,5,159500
U00209,2025-03,0,10,325000
U00211,2025-06,0,5,280000
U00212,2025-02,0,4,200500
U00213,2025-06,0,4,216200
U00213,2025-06,1,3,140400
U00213,2025-06,2,6,241600
U00213,2025-06,3,3,128500
U00213,2025-06,4,8,312100
U00213,2025-06,5,9,473200
U00213,2025-06,6,5,451000
U00213,2025-06,7,5,416750
U00213,2025-06,8,7,391000
U00214,2025-11,0,6,559000
U00215,2025-11,0,5,230000
U00216,2026-04,0,11,973050
U00217,2025-07,0,6,295900
U00217,2025-07,1,3,226000
U00217,2025-07,2,2,38000
U00218,2025-12,0,3,196000
U00218,2025-12,1,2,62800
U00218,2025-12,2,2,47000
U00218,2025-12,3,5,379450
U00218,2025-12,4,5,250000
U00218,2025-12,5,4,148900
U00218,2025-12,6,12,1014200
U00219,2026-05,0,5,114800
U00222,2025-12,0,6,348100
U00227,2026-03,0,3,75000
U00228,2025-03,0,7,508800
U00228,2025-03,1,6,232000
U00229,2025-09,0,5,330000
U00229,2025-09,1,6,449350
U00230,2025-06,0,6,355850
U00230,2025-06,1,7,674650
U00230,2025-06,2,10,740500
U00233,2025-08,0,1,55000
U00233,2025-08,1,4,304000
U00234,2025-02,0,12,453000
U00234,2025-02,1,7,476300
U00234,2025-02,2,6,328000
U00234,2025-02,3,4,196000
U00235,2026-05,0,1,67450
U00236,2025-10,0,4,180000
U00236,2025-10,1,4,203250
U00236,2025-10,2,6,340100
U00241,2026-06,0,7,350450
U00242,2025-12,0,8,439000
U00244,2026-04,0,3,339300
U00244,2026-04,1,4,180000
U00244,2026-04,2,7,319750
U00245,2026-02,0,3,135000
U00245,2026-02,1,7,449000
U00245,2026-02,2,5,289000
U00247,2026-02,0,5,306200
U00247,2026-02,1,6,304000
U00247,2026-02,2,5,324750
U00247,2026-02,3,6,304600
U00248,2025-06,2,4,108000
U00248,2025-06,3,6,280000
U00251,2025-02,0,8,496700
U00251,2025-02,1,7,321950
U00251,2025-02,2,6,200750
U00251,2025-02,3,3,200000
U00251,2025-02,4,2,271000
U00251,2025-02,5,6,356200
U00251,2025-02,6,4,255000
U00251,2025-02,7,4,126150
U00251,2025-02,8,3,194150
U00251,2025-02,9,2,75000
U00251,2025-02,10,4,373000
U00251,2025-02,11,6,292600
U00252,2025-03,0,5,184600
U00253,2025-09,0,2,38750
U00253,2025-09,1,5,181550
U00255,2025-06,0,4,253000
U00255,2025-06,1,5,260700
U00256,2026-03,0,10,417800
U00258,2025-09,0,6,380000
U00258,2025-09,1,10,499800
U00260,2025-10,3,3,135000
U00260,2025-10,4,12,594700
U00260,2025-10,5,9,753500
U00260,2025-10,6,11,540250
U00260,2025-10,7,8,387300
U00260,2025-10,8,10,616550
U00261,2025-04,0,8,238500
U00262,2026-06,0,7,328850
U00263,2026-05,0,3,97850
U00263,2026-05,1,2,114250
U00264,2026-01,0,3,97500
U00265,2025-10,0,5,311000
U00268,2026-04,0,2,362000
U00268,2026-04,1,7,641600
U00268,2026-04,2,8,447900
U00270,2025-04,0,3,185000
U00271,2025-09,0,5,240600
U00272,2025-12,0,5,372000
U00272,2025-12,1,5,204750
U00272,2025-12,2,3,353000
U00275,2026-05,0,13,628600
U00276,2026-03,0,8,405500
U00276,2026-03,1,6,360400
U00276,2026-03,3,2,139000
U00277,2026-05,0,2,143350
U00277,2026-05,1,7,425300
U00278,2025-07,0,7,411150
U00278,2025-07,1,1,102000
U00278,2025-07,2,5,165000
U00278,2025-07,3,2,133000
U00278,2025-07,4,2,48000
U00278,2025-07,5,4,247700
U00278,2025-07,6,4,172000
U00279,2026-01,0,5,262000
U00279,2026-01,1,7,268450
U00279,2026-01,2,3,216600
U00280,2026-01,0,4,434350
U00281,2025-11,0,3,328000
U00285,2025-03,0,4,328000
U00285,2025-03,1,9,451250
U00285,2025-03,2,6,286300
U00285,2025-03,3,3,193000
U00285,2025-03,4,4,132000
U00285,2025-03,5,6,379000
U00285,2025-03,6,6,434000
U00285,2025-03,7,6,363000
U00285,2025-03,8,7,555500
U00285,2025-03,9,9,765750
U00285,2025-03,10,6,525100
U00285,2025-03,11,3,357000
U00285,2025-03,12,5,319450
U00285,2025-03,13,3,112200
U00285,2025-03,14,5,306800
U00285,2025-03,15,3,190800
U00287,2025-01,0,10,359700
U00288,2025-07,0,2,109000
U00288,2025-07,1,5,320000
U00288,2025-07,2,5,267000
U00288,2025-07,4,5,437600
U00288,2025-07,5,6,273000
U00288,2025-07,6,8,679400
U00288,2025-07,7,5,315500
U00290,2026-06,0,4,312000
U00292,2025-04,0,9,462900
U00292,2025-04,1,6,327000
U00292,2025-04,2,3,188000
U00292,2025-04,3,5,274000
U00292,2025-04,4,5,224700
U00292,2025-04,5,5,274000
U00293,2025-01,0,5,232000
U00293,2025-01,1,7,412200
U00293,2025-01,2,6,425000
U00293,2025-01,3,6,408600
U00293,2025-01,4,4,201000
U00293,2025-01,5,1,56000
U00293,2025-01,6,3,143400
U00293,2025-01,7,5,161000
U00293,2025-01,8,3,389600
U00293,2025-01,9,4,293000
U00295,2025-12,0,2,122000
U00296,2025-07,0,7,390900
U00301,2025-02,0,12,585950
U00301,2025-02,1,13,666100
U00301,2025-02,2,3,173600
U00301,2025-02,3,7,444000
U00301,2025-02,4,4,206000
U00301,2025-02,5,5,364700
U00301,2025-02,6,5,263800
U00301,2025-02,7,4,330000
U00301,2025-02,8,14,1331650
U00301,2025-02,9,9,394300
U00302,2026-05,0,9,413500
U00302,2026-05,1,8,636000
U00303,2025-07,0,6,331900
U00303,2025-07,1,5,316000
U00303,2025-07,2,5,359000
U00305,2025-01,0,14,602000
U00306,2025-11,0,5,245200
U00306,2025-11,1,2,61000
U00306,2025-11,2,10,716500
U00306,2025-11,3,1,63000
U00306,2025-11,4,8,286850
U00306,2025-11,5,5,177800
U00306,2025-11,6,11,659650
U00307,2025-05,0,6,327100
U00311,2025-03,0,5,226000
U00312,2025-03,0,7,280700
U00312,2025-03,1,7,354200
U00313,2025-05,0,4,186300
U00313,2025-05,1,3,250700
U00313,2025-05,2,8,498500
U00313,2025-05,3,2,73000
U00314,2026-03,0,6,319000
U00314,2026-03,1,5,239000
U00314,2026-03,2,2,91000
U00315,2025-05,0,11,480950
U00315,2025-05,1,3,44000
U00318,2025-04,0,7,435000
U00319,2025-12,0,3,71600
U00319,2025-12,1,5,325000
U00320,2026-02,0,8,290900
U00320,2026-02,1,9,607150
U00321,2026-04,0,7,450000
U00321,2026-04,1,6,202100
U00323,2025-05,0,10,552000
U00324,2025-08,0,4,250250
U00324,2025-08,1,6,366000
U00325,2025-03,0,10,461400
U00325,2025-03,1,3,195600
U00327,2025-09,0,7,318500
U00327,2025-09,1,8,353300
U00328,2026-02,0,3,83200
U00329,2025-05,0,3,200500
U00330,2025-07,0,5,307000
U00330,2025-07,1,3,312800
U00331,2025-01,0,12,473450
U00332,2025-01,0,7,448200
U00333,2025-10,0,7,374500
U00333,2025-10,1,5,394000
U00335,2025-11,0,5,148200
U00335,2025-11,1,3,217000
U00335,2025-11,2,8,451000
U00335,2025-11,3,4,301750
U00336,2025-01,1,5,267200
U00336,2025-01,2,3,135000
U00337,2025-11,0,4,257000
U00337,2025-11,1,2,268000
U00337,2025-11,2,5,334000
U00337,2025-11,3,1,49500
U00337,2025-11,4,3,115000
U00337,2025-11,5,3,257000
U00337,2025-11,6,6,310000
U00337,2025-11,7,4,148000
U00340,2025-09,0,7,358500
U00340,2025-09,1,4,336000
U00340,2025-09,2,4,162000
U00342,2025-04,0,1,25000
U00342,2025-04,1,7,501000
U00342,2025-04,2,5,482000
U00345,2025-09,0,5,310000
U00345,2025-09,1,4,281500
U00345,2025-09,3,4,277000
U00345,2025-09,4,5,408000
U00345,2025-09,5,6,409100
U00345,2025-09,6,3,144600
U00345,2025-09,7,5,230000
U00345,2025-09,8,5,286000
U00345,2025-09,9,5,294300
U00346,2025-11,0,7,333350
U00346,2025-11,1,3,161000
U00346,2025-11,2,4,183000
U00346,2025-11,3,3,75000
U00346,2025-11,4,3,155000
U00346,2025-11,5,4,348300
U00346,2025-11,6,1,110000
U00346,2025-11,7,5,124000
U00347,2026-01,0,5,328800
U00347,2026-01,1,9,584550
U00347,2026-01,2,10,733300
U00347,2026-01,3,5,424000
U00347,2026-01,4,9,655000
U00347,2026-01,5,7,267250
U00348,2026-06,0,4,299000
U00349,2025-01,0,12,567900
U00350,2026-05,0,7,447000
U00352,2025-02,0,9,260550
U00352,2025-02,1,5,359750
U00354,2026-04,0,6,369000
U00355,2025-06,0,5,211900
U00355,2025-06,1,10,315150
U00355,2025-06,2,7,333500
U00355,2025-06,3,13,684000
U00355,2025-06,4,5,257000
U00355,2025-06,5,8,383000
U00355,2025-06,6,4,259000
U00355,2025-06,7,3,167000
U00355,2025-06,8,5,283250
U00355,2025-06,9,8,489000
U00361,2025-09,0,9,624400
U00361,2025-09,1,4,221000
U00362,2026-01,0,3,59200
U00362,2026-01,1,7,677650
U00362,2026-01,2,7,687000
U00362,2026-01,3,6,225000
U00362,2026-01,4,12,565650
U00362,2026-01,5,10,566250
U00364,2026-01,0,6,437650
U00364,2026-01,1,10,873600
U00366,2026-04,0,5,204000
U00366,2026-04,1,2,48000
U00368,2026-06,0,3,223000
U00369,2026-01,0,4,308000
U00369,2026-01,1,4,204350
U00369,2026-01,2,7,334000
U00369,2026-01,3,6,371000
U00369,2026-01,4,4,390000
U00369,2026-01,5,9,587000
U00371,2026-03,0,4,104100
U00372,2025-12,0,2,156000
U00372,2025-12,1,7,329550
U00374,2026-02,0,5,208600
U00374,2026-02,1,8,371850
U00375,2026-01,0,6,502800
U00378,2025-12,0,5,155400
U00379,2025-08,0,6,169000
U00379,2025-08,1,5,273000
U00380,2025-06,0,1,39600
U00382,2025-03,0,5,268200
U00383,2026-06,0,4,341000
U00384,2025-10,0,7,362000
U00386,2025-09,0,2,106000
U00386,2025-09,1,3,206000
U00386,2025-09,2,9,512000
U00386,2025-09,3,4,249000
U00386,2025-09,4,6,721000
U00386,2025-09,5,4,372000
U00386,2025-09,6,8,375300
U00387,2026-02,0,7,428200
U00388,2025-11,0,7,389000
U00389,2025-10,0,6,462150
U00389,2025-10,1,5,146500
U00390,2025-12,0,3,76600
U00390,2025-12,1,6,397200
U00391,2025-01,0,13,747850
U00391,2025-01,1,7,328000
U00391,2025-01,2,4,175700
U00391,2025-01,3,5,393000
U00391,2025-01,4,2,137800
U00391,2025-01,5,2,215000
U00391,2025-01,6,6,719000
U00391,2025-01,7,7,373500
U00392,2025-09,0,4,242500
U00393,2025-08,0,5,359000
U00395,2025-11,0,9,618750
U00395,2025-11,1,4,111000
U00395,2025-11,2,6,443000
U00396,2025-04,0,4,114500
U00397,2026-04,0,5,222150
U00397,2026-04,1,6,370200
U00397,2026-04,2,6,370850
U00399,2026-06,0,4,215000
U00400,2025-07,0,6,337000
U00400,2025-07,1,7,684400
U00400,2025-07,2,5,491300
U00400,2025-07,3,9,417000
U00400,2025-07,4,6,261000
U00402,2026-02,0,7,530000
U00402,2026-02,1,8,413300
U00402,2026-02,2,6,431000
U00403,2026-01,0,6,323500
U00404,2025-12,0,3,382200
U00405,2025-01,0,9,521500
U00406,2025-04,0,5,318300
U00407,2026-04,0,3,487000
U00407,2026-04,1,2,180000
U00408,2026-02,0,2,165000
U00410,2026-02,0,5,364000
U00410,2026-02,1,4,333000
U00410,2026-02,2,5,394500
U00410,2026-02,3,6,396000
U00410,2026-02,4,11,637000
U00412,2026-02,0,6,275000
U00415,2025-08,0,4,275000
U00418,2026-04,0,6,565050
U00418,2026-04,1,6,635500
U00418,2026-04,2,9,432600
U00421,2025-06,0,5,337000
U00423,2025-05,0,7,349850
U00423,2025-05,1,8,419200
U00423,2025-05,2,5,287000
U00423,2025-05,3,7,428450
U00423,2025-05,4,8,473800
U00423,2025-05,5,4,422800
U00423,2025-05,6,6,426300
U00423,2025-05,7,11,383550
U00423,2025-05,8,4,135000
U00423,2025-05,9,7,480000
U00423,2025-05,10,7,545000
U00423,2025-05,11,9,613650
U00424,2025-10,0,5,467200
U00424,2025-10,1,11,875750
U00424,2025-10,2,6,275000
U00426,2025-05,0,7,412200
U00426,2025-05,1,4,403000
U00426,2025-05,2,7,423150
U00426,2025-05,3,3,221150
U00426,2025-05,4,4,194500
U00426,2025-05,5,4,149750
U00427,2026-01,0,2,101000
U00428,2025-08,0,5,279750
U00428,2025-08,1,3,80000
U00431,2025-02,0,7,372300
U00433,2025-07,0,6,212500
U00433,2025-07,1,4,244100
U00433,2025-07,2,6,217100
U00433,2025-07,3,8,531000
U00433,2025-07,4,2,207000
U00433,2025-07,5,5,355000
U00435,2025-08,0,2,153000
U00436,2026-05,0,4,239000
U00437,2025-09,0,4,257500
U00439,2026-03,0,6,556600
U00439,2026-03,1,6,273700
U00440,2025-04,0,10,441700
U00441,2025-03,0,8,398000
U00442,2025-08,0,6,288000
U00442,2025-08,1,4,103750
U00443,2025-12,0,4,235000
U00445,2025-03,0,6,320100
U00446,2025-12,0,8,769850
U00447,2026-05,0,9,575900
U00449,2026-05,0,4,197250
U00449,2026-05,1,10,732500
U00450,2025-08,0,1,25000
U00452,2025-06,0,4,337500
U00453,2025-10,0,4,335000
U00456,2026-06,0,11,558900
U00457,2025-03,0,7,574950
U00458,2025-10,0,7,391300
U00461,2025-12,0,8,353400
U00461,2025-12,1,8,484000
U00461,2025-12,2,3,270000
U00461,2025-12,3,8,644000
U00461,2025-12,4,2,208000
U00461,2025-12,5,7,553500
U00461,2025-12,6,9,443000
U00463,2025-01,0,16,829400
U00464,2025-04,0,5,456300
U00465,2026-03,0,5,363750
U00465,2026-03,1,4,572000
U00465,2026-03,2,9,377800
U00466,2026-04,0,10,648200
U00466,2026-04,1,4,162750
U00466,2026-04,2,5,253000
U00468,2025-11,0,2,175100
U00468,2025-11,1,7,309000
U00468,2025-11,2,6,291250
U00468,2025-11,3,4,152000
U00468,2025-11,4,5,178000
U00469,2025-12,0,2,56000
U00470,2025-09,0,6,289100
U00475,2026-02,0,5,213000
U00476,2026-01,0,5,332250
U00477,2026-01,0,3,186700
U00479,2025-08,0,3,161000
U00479,2025-08,1,6,374000
U00479,2025-08,2,7,479000
U00480,2025-08,0,2,56000
U00482,2026-02,0,9,348100
U00482,2026-02,1,6,403000
U00482,2026-02,2,4,302600
U00482,2026-02,3,4,232100
U00482,2026-02,4,9,456000
U00483,2025-01,0,14,665200
U00484,2026-05,0,2,151450
U00484,2026-05,1,7,327400
U00485,2026-04,0,8,842000
U00485,2026-04,1,11,599750
U00486,2026-06,0,4,430000
U00487,2025-05,0,6,353000
U00487,2025-05,1,2,83600
U00487,2025-05,2,4,181900
U00487,2025-05,3,5,185600
U00487,2025-05,4,1,54000
U00487,2025-05,5,2,188000
U00487,2025-05,6,3,147500
U00487,2025-05,7,3,84100
U00487,2025-05,8,1,15000
U00488,2025-09,0,3,193000
U00490,2025-03,0,3,210300
U00491,2025-07,0,6,316450
U00491,2025-07,1,7,563700
U00492,2025-01,0,7,305800
U00492,2025-01,1,9,444700
U00492,2025-01,2,5,238400
U00492,2025-01,3,6,406300
U00492,2025-01,4,2,107600
U00492,2025-01,5,7,461350
U00492,2025-01,6,2,143000
U00493,2025-03,0,8,427400
U00493,2025-03,1,8,431000
U00493,2025-03,2,8,319000
U00493,2025-03,3,4,207700
U00493,2025-03,4,6,225000
U00493,2025-03,5,7,226200
U00494,2025-09,0,5,488650
U00494,2025-09,1,3,149000
U00495,2025-06,0,8,405500
U00497,2026-03,0,4,318000
U00498,2025-03,0,5,241400
U00498,2025-03,1,5,201700
U00498,2025-03,2,3,173700
U00498,2025-03,3,2,102000
U00498,2025-03,4,7,421900
U00498,2025-03,5,7,361200
U00498,2025-03,6,2,67000
U00498,2025-03,7,7,595050
U00498,2025-03,8,8,540000
U00498,2025-03,10,4,180000
U00498,2025-03,11,7,461250
U00498,2025-03,12,10,506700
U00498,2025-03,13,6,300200
U00498,2025-03,14,13,852600
U00498,2025-03,15,10,687000
U00500,2025-05,0,11,605550
U00500,2025-05,1,7,360100
U00501,2025-10,0,3,278000
U00501,2025-10,1,2,386000
U00504,2025-03,0,3,130000
U00505,2025-06,0,6,529500
U00505,2025-06,1,6,282000
U00506,2025-03,0,11,564000
U00507,2025-01,0,15,761650
U00507,2025-01,1,5,279200
U00510,2025-12,0,9,466000
U00510,2025-12,1,3,88000
U00514,2025-07,0,2,86000
U00516,2026-05,0,9,561500
U00517,2025-09,0,4,282000
U00517,2025-09,1,9,564200
U00517,2025-09,2,4,90100
U00518,2026-06,0,4,138000
U00519,2025-08,0,7,406750
