pelanggan_id,trx_30d,hari_sejak_transaksi_terakhir,nilai_rata2,pakai_promo,kanal,jumlah_produk_beda,churn
C00163,3,31,40400.0,0,referral,3,0
C00164,4,2,24900.0,0,iklan,1,1
C00165,4,48,91500.0,0,organik,5,0
C00166,3,13,111900.0,1,organik,4,1
C00167,2,28,76200.0,0,referral,4,0
C00168,5,12,77500.0,0,organik,5,0
C00169,2,1,68500.0,0,iklan,1,0
C00170,7,34,92300.0,1,referral,3,0
C00171,2,17,102100.0,1,iklan,4,1
C00172,4,11,45700.0,1,organik,5,0
C00173,3,14,81200.0,0,organik,5,0
C00174,5,38,58800.0,0,organik,3,0
C00175,3,51,78600.0,0,iklan,2,0
C00176,0,46,107500.0,0,iklan,5,1
C00177,6,33,90800.0,1,iklan,5,0
C00178,4,41,52200.0,1,iklan,4,1
C00179,1,36,115900.0,1,iklan,1,0
C00180,3,6,95400.0,0,organik,2,0
C00181,2,53,100500.0,0,iklan,2,1
C00182,6,12,72100.0,0,iklan,5,0
C00183,1,54,61600.0,0,organik,1,1
C00184,2,52,47100.0,1,referral,1,1
C00185,0,59,100300.0,1,organik,3,1
C00186,2,37,44600.0,0,iklan,3,0
C00187,4,15,73200.0,1,iklan,1,0
C00188,5,17,99800.0,0,organik,4,0
C00189,4,18,49100.0,1,organik,4,0
C00190,3,5,110600.0,1,organik,4,0
C00191,3,16,93300.0,1,organik,1,1
C00192,2,4,92600.0,1,organik,1,0
C00193,2,21,120800.0,0,iklan,1,1
C00194,1,32,91600.0,0,iklan,4,1
C00195,4,3,55400.0,1,organik,5,0
C00196,3,19,107800.0,0,iklan,1,0
C00197,4,54,84300.0,1,organik,2,1
C00198,6,5,23100.0,0,organik,2,0
C00199,6,49,94200.0,0,organik,3,0
C00200,7,57,51100.0,0,organik,5,0
C00201,3,38,71100.0,0,referral,3,0
C00202,3,29,82000.0,1,iklan,3,1
C00203,3,7,52800.0,1,organik,4,0
C00204,0,16,86300.0,0,organik,3,1
C00205,3,48,84500.0,0,iklan,3,1
C00206,4,31,77800.0,1,organik,5,0
C00207,3,6,55500.0,0,iklan,3,0
C00208,2,14,68800.0,1,organik,1,1
C00209,4,22,89100.0,1,organik,4,0
C00210,6,40,78200.0,1,iklan,5,0
C00211,1,4,91500.0,0,organik,2,0
C00212,8,59,65600.0,0,organik,5,0
C00213,3,22,40600.0,0,iklan,4,1
C00214,4,36,78700.0,0,organik,3,0
C00215,6,14,115800.0,0,organik,5,0
C00216,4,36,87100.0,0,organik,1,0
C00217,3,4,101300.0,0,iklan,1,0
C00218,7,51,59600.0,1,referral,1,0
C00219,5,15,65700.0,1,iklan,5,0
C00220,4,53,33700.0,1,organik,1,1
C00221,2,40,71100.0,0,organik,1,0
C00222,1,35,81800.0,0,organik,2,1
C00223,4,20,114300.0,1,organik,5,0
C00224,2,4,83600.0,0,iklan,3,0
C00225,4,25,71100.0,1,organik,5,0
C00226,1,44,89300.0,1,organik,3,0
C00227,3,41,44000.0,0,iklan,2,1
C00228,4,46,46700.0,1,iklan,1,1
C00229,2,9,138900.0,0,referral,4,0
C00230,1,15,61300.0,0,organik,4,1
C00231,5,21,94800.0,1,iklan,3,0
C00232,4,30,32000.0,0,organik,2,0
C00233,1,33,76000.0,1,referral,3,1
C00234,5,22,67300.0,1,organik,1,0
C00235,7,2,100700.0,1,iklan,3,0
C00236,2,34,77100.0,0,organik,4,0
C00237,4,26,44300.0,1,organik,4,0
C00238,4,10,126600.0,0,referral,4,0
C00239,1,51,78600.0,0,referral,1,1
C00240,4,5,97200.0,1,iklan,5,0
C00241,1,50,82000.0,0,iklan,1,1
C00242,2,35,72200.0,0,organik,3,0
C00243,4,1,101800.0,1,iklan,3,0
C00244,4,42,80500.0,1,referral,5,0
C00245,2,12,82300.0,1,referral,5,0
C00246,3,34,82900.0,0,iklan,3,0
C00247,2,55,90400.0,0,organik,4,0
C00248,4,57,90100.0,0,iklan,2,1
C00249,3,2,84700.0,0,organik,1,0
C00250,1,43,69800.0,1,organik,1,0
C00251,7,50,125700.0,0,iklan,2,1
C00252,5,7,63800.0,0,iklan,1,0
C00253,6,7,85600.0,1,organik,3,0
C00254,1,52,56600.0,1,iklan,1,1
C00255,6,36,58800.0,0,organik,5,0
C00256,5,38,108700.0,1,organik,1,0
C00257,1,50,105100.0,0,organik,3,0
C00258,5,2,87000.0,1,iklan,4,0
C00259,4,40,88700.0,0,organik,4,0
C00260,4,59,41900.0,0,organik,1,0
C00261,1,16,76400.0,0,iklan,2,0
C00262,2,18,74000.0,1,organik,2,0
C00263,4,27,69600.0,0,organik,4,0
C00264,3,30,73200.0,0,organik,4,0
C00265,1,21,64700.0,1,organik,4,0
C00266,2,19,46100.0,0,referral,2,0
C00267,4,1,119500.0,1,organik,1,0
C00268,4,6,111400.0,1,referral,5,0
C00269,1,19,92000.0,1,iklan,1,1
C00270,4,50,62300.0,1,organik,1,1
C00271,6,41,89500.0,0,iklan,1,0
C00272,2,58,49500.0,0,organik,1,1
C00273,5,16,78100.0,0,iklan,4,0
C00274,5,55,61000.0,0,organik,4,0
C00275,7,57,67200.0,0,organik,4,0
C00276,6,45,88100.0,0,organik,4,0
C00277,2,34,51000.0,0,organik,1,1
C00278,5,1,27800.0,0,iklan,2,0
C00279,2,10,97200.0,0,iklan,1,1
C00280,5,15,140700.0,0,referral,1,0
C00281,2,20,56500.0,0,referral,3,0
C00282,2,4,66100.0,0,iklan,3,0
C00283,3,36,85300.0,0,iklan,1,1
C00284,4,14,100800.0,1,organik,4,0
C00285,1,1,67500.0,0,organik,5,1
C00286,9,1,97200.0,0,organik,5,0
C00287,4,2,81400.0,0,organik,2,0
C00288,4,52,72800.0,0,organik,1,1
C00289,5,46,64200.0,0,organik,2,1
C00290,1,41,55300.0,0,iklan,2,1
C00291,1,21,89000.0,0,referral,2,1
C00292,3,10,31400.0,0,organik,5,0
C00293,6,13,62300.0,1,organik,4,0
C00294,5,40,88300.0,0,organik,5,0
C00295,0,4,93400.0,0,iklan,2,0
C00296,6,18,36300.0,0,iklan,3,0
C00297,2,45,97100.0,1,organik,2,1
C00298,3,52,94900.0,0,iklan,5,0
C00299,3,31,35600.0,0,organik,2,0
C00300,2,55,112100.0,0,referral,1,1
C00301,2,18,41100.0,1,organik,2,0
C00302,2,19,120300.0,0,iklan,5,0
C00303,2,31,18300.0,0,referral,3,0
C00304,5,25,76000.0,0,organik,5,0
C00305,4,32,86000.0,0,iklan,2,0
C00306,1,49,57700.0,1,referral,2,1
C00307,3,25,59200.0,0,organik,3,0
C00308,2,27,61200.0,0,organik,1,1
C00309,1,45,64500.0,0,iklan,1,1
C00310,2,24,57100.0,1,organik,4,0
C00311,10,1,91300.0,0,referral,2,0
C00312,5,17,99500.0,1,organik,2,0
C00313,5,31,99000.0,1,iklan,5,1
C00314,2,39,118600.0,1,iklan,3,1
C00315,3,9,125600.0,1,referral,2,0
C00316,4,26,51300.0,0,organik,5,0
C00317,2,4,65700.0,0,iklan,1,0
C00318,1,43,99800.0,1,iklan,1,1
C00319,1,43,141600.0,0,iklan,1,1
C00320,3,49,60800.0,1,organik,3,1
C00321,2,29,78700.0,0,organik,2,1
C00322,2,7,37500.0,0,iklan,4,0
C00323,1,20,83200.0,0,iklan,4,1
C00324,0,56,36300.0,1,iklan,2,1
C00325,6,25,82600.0,1,iklan,2,0
C00326,5,53,70900.0,1,organik,1,0
C00327,3,17,72800.0,0,organik,3,1
C00328,2,40,56000.0,1,organik,4,1
C00329,6,33,17700.0,1,iklan,3,0
C00330,2,47,106700.0,0,referral,2,1
C00331,2,4,90500.0,1,iklan,3,0
C00332,2,37,53200.0,0,iklan,3,0
C00333,1,23,84400.0,0,iklan,5,0
C00334,4,38,41400.0,1,iklan,3,1
C00335,4,9,42000.0,0,iklan,5,0
C00336,4,25,83900.0,0,organik,5,1
C00337,2,40,58800.0,0,referral,2,1
C00338,5,26,53100.0,0,organik,3,0
C00339,2,4,41900.0,1,iklan,4,0
C00340,1,38,52600.0,0,referral,4,0
C00341,6,45,64900.0,0,organik,5,0
C00342,3,5,91400.0,0,organik,5,1
C00343,3,49,42200.0,0,referral,3,1
C00344,2,34,111800.0,0,referral,3,0
C00345,1,12,101500.0,0,iklan,2,0
C00346,3,46,86000.0,0,organik,5,0
C00347,9,31,61700.0,1,organik,4,1
C00348,3,11,62800.0,1,iklan,3,0
C00349,5,46,54600.0,1,organik,1,1
C00350,2,37,54400.0,1,referral,4,1
C00351,2,56,86800.0,1,iklan,5,0
C00352,5,19,50300.0,0,referral,2,0
C00353,3,41,87800.0,0,referral,2,0
C00354,1,9,37300.0,0,organik,3,0
C00355,1,34,93900.0,1,organik,2,0
C00356,5,29,40300.0,0,organik,5,0
C00357,5,12,108800.0,1,iklan,2,0
C00358,3,33,31300.0,1,iklan,4,0
C00359,0,45,95600.0,1,iklan,5,1
C00360,0,53,84500.0,0,iklan,4,1
C00361,1,56,58600.0,0,organik,3,1
C00362,3,1,70200.0,0,iklan,5,0
C00363,2,12,96400.0,0,organik,3,1
C00364,4,57,92300.0,1,organik,5,1
C00365,3,55,47000.0,1,organik,2,1
C00366,4,59,19400.0,1,organik,3,1
C00367,4,25,81100.0,0,organik,4,0
C00368,3,57,15000.0,0,iklan,1,1
C00369,3,54,93300.0,1,organik,3,0
C00370,7,20,72600.0,0,referral,2,0
C00371,2,10,100800.0,0,organik,5,0
C00372,4,34,78900.0,0,referral,4,0
C00373,6,20,44300.0,0,organik,1,0
C00374,3,55,44500.0,1,iklan,4,1
C00375,1,4,85400.0,0,iklan,5,0
C00376,0,19,88500.0,0,referral,2,1
C00377,3,14,109300.0,0,iklan,4,0
C00378,2,54,65300.0,0,organik,2,1
C00379,4,7,95700.0,0,organik,4,0
C00380,5,20,91100.0,0,referral,3,0
C00381,1,37,50100.0,1,organik,2,1
C00382,7,50,103000.0,0,referral,3,1
C00383,2,52,125800.0,0,organik,2,0
C00384,5,13,105100.0,0,iklan,1,0
C00385,2,17,58000.0,0,organik,2,0
C00386,3,48,69000.0,1,organik,1,0
C00387,6,46,108300.0,0,organik,3,0
C00388,4,53,89600.0,1,iklan,1,1
C00389,6,16,85200.0,1,organik,2,0
C00390,2,38,85500.0,1,organik,4,0
C00391,2,35,63200.0,1,referral,5,1
C00392,2,38,15000.0,1,organik,2,1
C00393,3,55,144100.0,1,organik,5,0
C00394,4,22,82300.0,0,iklan,2,1
C00395,3,50,80900.0,1,organik,1,1
C00396,2,2,52100.0,0,iklan,3,0
C00397,2,46,101600.0,0,organik,4,0
C00398,4,5,104800.0,0,organik,4,0
C00399,4,33,54500.0,0,organik,1,0
C00400,4,41,30100.0,1,iklan,5,0
C00401,3,13,121400.0,0,organik,1,0
C00402,1,52,86700.0,1,organik,5,1
C00403,2,22,41700.0,0,organik,2,1
C00404,1,35,77400.0,0,referral,3,0
C00405,6,59,100600.0,1,referral,2,0
C00406,1,34,115200.0,1,iklan,3,1
C00407,6,58,89500.0,0,iklan,2,0
C00408,2,26,62400.0,0,organik,3,1
C00409,4,54,73500.0,0,iklan,2,1
C00410,4,31,79000.0,1,referral,4,0
C00411,3,58,116500.0,0,organik,3,1
C00412,3,3,102100.0,0,iklan,4,0
C00413,3,1,65800.0,0,iklan,2,0
C00414,1,6,106100.0,1,iklan,3,1
C00415,1,25,70400.0,1,organik,2,1
C00416,5,38,92500.0,1,organik,2,1
C00417,3,10,69400.0,0,iklan,4,0
C00418,3,9,57900.0,0,organik,1,0
C00419,3,56,112100.0,0,organik,1,1
C00420,3,46,84700.0,0,iklan,3,0
C00421,5,18,91000.0,1,organik,2,1
C00422,4,28,68300.0,0,organik,4,0
C00423,2,53,93500.0,0,iklan,2,1
C00424,3,43,65300.0,0,organik,5,0
C00425,9,12,64900.0,0,iklan,4,0
C00426,6,39,67400.0,1,iklan,3,0
C00427,3,8,71500.0,0,organik,1,0
C00428,3,52,75000.0,0,iklan,4,1
C00429,5,40,73500.0,1,organik,1,1
C00430,3,55,120300.0,0,iklan,1,1
C00431,4,59,152500.0,1,iklan,3,1
C00432,2,14,36700.0,1,organik,5,0
C00433,7,9,83100.0,0,iklan,4,0
C00434,4,28,53200.0,0,organik,4,0
C00435,4,56,66600.0,1,iklan,3,1
C00436,1,19,123200.0,1,iklan,3,0
C00437,2,22,67300.0,0,referral,1,0
C00438,5,28,89500.0,1,organik,5,0
C00439,4,40,59000.0,1,organik,2,1
C00440,5,7,36200.0,1,iklan,2,0
C00441,4,29,95500.0,0,organik,5,0
C00442,2,3,78700.0,1,organik,1,0
C00443,5,12,109100.0,1,organik,2,0
C00444,1,45,100400.0,1,organik,5,0
C00445,3,10,105700.0,1,iklan,4,0
C00446,3,2,96100.0,0,iklan,3,0
C00447,2,18,34500.0,1,iklan,2,1
C00448,2,33,57700.0,1,organik,5,1
C00449,2,42,115300.0,1,organik,3,0
C00450,4,49,59000.0,0,referral,4,0
C00451,3,33,46200.0,0,iklan,3,0
C00452,2,13,65500.0,0,organik,2,0
C00453,2,46,106600.0,1,organik,4,1
C00454,7,5,83100.0,1,organik,4,0
C00455,4,52,36900.0,1,iklan,4,0
C00456,5,51,82200.0,1,iklan,5,0
C00457,2,20,64000.0,0,iklan,3,1
C00458,3,2,100200.0,0,iklan,3,0
C00459,7,13,44300.0,1,iklan,5,0
C00460,0,4,81300.0,0,organik,2,1
C00461,0,7,64900.0,1,organik,1,0
C00462,3,19,86200.0,0,iklan,2,0
C00463,4,59,103700.0,0,iklan,1,0
C00464,5,19,30600.0,0,organik,3,0
C00465,4,50,57100.0,0,organik,1,1
C00466,1,38,79900.0,0,organik,3,0
C00467,2,54,121600.0,1,referral,1,1
C00468,2,47,89000.0,1,iklan,4,0
C00469,6,6,83900.0,1,organik,2,0
C00470,6,7,52300.0,0,referral,4,0
C00471,6,41,33700.0,0,iklan,4,1
C00472,4,48,15000.0,0,organik,1,1
C00473,5,45,47700.0,1,referral,1,0
C00474,5,8,94000.0,1,iklan,2,0
C00475,5,42,95900.0,1,iklan,5,0
C00476,3,38,83800.0,0,organik,2,0
C00477,1,29,105900.0,0,iklan,4,0
C00478,4,48,65500.0,0,iklan,5,0
C00479,2,27,76900.0,1,iklan,3,0
C00480,4,9,61400.0,1,organik,3,1
C00481,4,54,82900.0,0,organik,5,0
C00482,1,42,91400.0,0,organik,1,1
C00483,2,27,116300.0,0,iklan,1,1
C00484,2,14,75800.0,1,organik,4,0
C00485,4,51,81000.0,1,iklan,1,1
C00486,4,16,111700.0,0,iklan,1,0
C00487,5,52,44300.0,0,organik,5,0
C00488,8,3,62800.0,1,referral,5,0
C00489,1,8,92500.0,0,organik,1,0
C00490,2,18,83100.0,1,iklan,2,0
C00491,2,33,120500.0,0,organik,1,0
C00492,3,29,47600.0,0,iklan,2,0
C00493,3,59,65300.0,1,organik,5,1
C00494,4,43,70000.0,1,organik,4,1
C00495,1,47,56900.0,0,organik,5,1
C00496,5,56,84300.0,0,iklan,5,0
C00497,2,14,54600.0,0,iklan,5,1
C00498,4,41,75600.0,0,iklan,2,0
C00499,2,50,95500.0,1,referral,1,1
C00500,4,40,83100.0,1,organik,5,0
C00501,4,33,71900.0,0,referral,5,0
C00502,2,25,109200.0,1,organik,4,0
C00503,4,31,59500.0,0,organik,1,0
C00504,3,24,55100.0,0,organik,5,0
C00505,1,26,93500.0,1,organik,4,0
C00506,2,20,84300.0,0,organik,4,0
C00507,5,21,117300.0,1,iklan,2,1
C00508,3,3,104500.0,0,organik,4,0
C00509,2,43,129300.0,0,iklan,3,0
C00510,2,41,61700.0,0,iklan,5,1
C00511,3,42,72000.0,0,iklan,4,1
C00512,2,59,74500.0,1,iklan,1,1
C00513,4,25,98200.0,1,iklan,5,0
C00514,4,20,114000.0,1,organik,2,0
C00515,2,6,94500.0,0,organik,1,1
C00516,1,2,103500.0,1,organik,5,1
C00517,3,15,95500.0,0,organik,4,0
C00518,5,20,79200.0,1,referral,2,0
C00519,1,10,65500.0,0,iklan,5,0
C00520,4,14,88900.0,1,iklan,2,0
C00521,4,25,86600.0,0,organik,5,0
C00522,4,40,39300.0,0,organik,1,1
C00523,2,24,60700.0,1,organik,1,1
C00524,2,44,23300.0,0,referral,1,1
C00525,2,59,90100.0,0,iklan,1,1
C00526,5,3,81700.0,1,referral,2,0
C00527,2,13,75500.0,0,referral,1,1
C00528,5,53,103300.0,0,organik,4,0
C00529,4,16,85100.0,1,iklan,2,0
C00530,3,38,95000.0,0,organik,5,0
C00531,2,32,81700.0,1,organik,3,0
C00532,4,57,91800.0,0,iklan,1,1
C00533,1,2,64700.0,0,iklan,5,0
C00534,2,59,66400.0,0,iklan,2,0
C00535,1,8,109700.0,1,iklan,5,0
C00536,2,40,97400.0,1,referral,3,0
C00537,5,51,126500.0,1,referral,1,0
C00538,5,31,99400.0,0,referral,4,0
C00539,7,8,81900.0,1,iklan,1,0
C00540,1,12,82100.0,0,organik,4,0
C00541,2,4,62600.0,0,iklan,4,0
C00542,4,9,124200.0,1,iklan,1,0
C00543,4,34,80100.0,0,organik,1,1
C00544,4,4,50900.0,0,iklan,5,0
C00545,4,25,69500.0,0,iklan,4,0
C00546,2,3,57500.0,1,iklan,5,0
C00547,4,19,42300.0,1,iklan,2,1
C00548,1,48,44700.0,1,referral,4,1
C00549,6,11,42600.0,1,iklan,5,0
C00550,5,58,79900.0,1,organik,1,1
C00551,5,38,29000.0,0,organik,1,0
C00552,3,16,41900.0,1,organik,3,1
C00553,4,39,77700.0,0,referral,5,0
C00554,1,27,110400.0,0,iklan,3,0
C00555,0,44,48400.0,1,iklan,2,1
C00556,4,17,70300.0,1,referral,5,0
C00557,4,14,50000.0,1,organik,3,1
C00558,2,49,89200.0,0,organik,5,1
C00559,4,44,119800.0,1,iklan,1,1
C00560,0,43,58100.0,0,organik,2,1
C00561,1,47,51200.0,0,iklan,5,0
C00562,7,11,24000.0,0,referral,2,0
C00563,4,34,81900.0,0,organik,1,0
C00564,4,35,24200.0,1,organik,1,1
C00565,3,43,85600.0,1,iklan,4,1
C00566,5,12,85800.0,0,iklan,2,0
C00567,2,32,94700.0,0,iklan,2,1
C00568,2,37,117700.0,0,iklan,5,0
C00569,2,24,69700.0,0,referral,5,1
C00570,3,18,118200.0,0,referral,4,0
C00571,3,48,113200.0,1,organik,4,0
C00572,4,59,92500.0,0,organik,3,0
C00573,5,29,111000.0,0,iklan,1,1
C00574,3,45,92900.0,0,organik,2,1
C00575,3,34,55500.0,1,referral,5,0
C00576,4,27,74200.0,0,iklan,3,0
C00577,3,42,96000.0,0,organik,2,0
C00578,2,41,109400.0,0,organik,5,0
C00579,3,5,109200.0,0,organik,3,0
C00580,2,5,78200.0,0,organik,5,1
C00581,4,36,15000.0,0,iklan,3,0
C00582,5,12,83200.0,0,referral,1,0
C00583,5,8,122200.0,0,iklan,4,0
C00584,3,21,86900.0,1,organik,3,0
C00585,6,21,57800.0,1,organik,1,0
C00586,4,26,63300.0,0,organik,3,0
C00587,2,15,30600.0,1,iklan,2,0
C00588,3,15,106200.0,1,iklan,5,0
C00589,6,58,87700.0,1,organik,3,1
C00590,4,18,45800.0,0,iklan,5,0
C00591,1,36,36400.0,0,referral,2,0
C00592,2,3,71700.0,0,iklan,3,0
C00593,3,49,41700.0,1,organik,5,1
C00594,2,26,96500.0,1,organik,3,0
C00595,2,43,68200.0,0,iklan,4,1
C00596,4,36,105300.0,0,iklan,2,1
C00597,5,31,73000.0,1,organik,5,1
C00598,1,32,71400.0,1,iklan,1,0
C00599,3,43,87000.0,1,organik,3,0
C00600,4,16,79100.0,1,referral,2,0
C00601,7,45,70100.0,0,organik,2,0
C00602,4,19,98400.0,1,organik,5,0
C00603,6,16,48600.0,0,organik,2,0
C00604,3,24,134000.0,0,organik,4,1
C00605,6,39,56900.0,0,organik,5,0
C00606,5,29,104700.0,0,iklan,1,0
C00607,0,58,51200.0,1,iklan,3,1
C00608,7,9,89700.0,0,organik,2,1
C00609,4,23,97000.0,0,organik,5,0
C00610,5,32,97100.0,0,organik,2,0
C00611,1,4,78000.0,0,iklan,1,1
C00612,6,6,70700.0,0,referral,5,0
C00613,6,55,48100.0,0,organik,1,1
C00614,2,21,64100.0,0,iklan,4,0
C00615,2,34,37800.0,1,iklan,5,1
C00616,4,13,89100.0,0,iklan,2,0
C00617,4,22,53500.0,1,iklan,1,1
C00618,4,22,56600.0,0,organik,4,0
