pelanggan_id,tanggal_daftar,kota,kanal_akuisisi,tahun_lahir,jenis_kelamin,member_premium,tipe_pelanggan
U00140,2025-06-19,Jakarta,iklan_google,2001,P,False,biasa
U00141,2025-07-25,Jakarta,iklan_meta,1979,L,False,biasa
U00142,2025-11-03,Jakarta,organik,1978,P,False,biasa
U00143,2025-11-24,Jakarta,iklan_meta,2000,P,True,biasa
U00144,2025-08-13,Denpasar,organik,2002,P,False,biasa
U00145,2025-04-13,Surabaya,iklan_meta,1991,L,False,biasa
U00146,2026-02-23,Jakarta,organik,1995,L,False,biasa
U00147,2025-10-09,Denpasar,iklan_google,1976,P,False,biasa
U00148,2026-06-02,Yogyakarta,iklan_google,1978,P,False,biasa
U00149,2026-05-26,Denpasar,organik,2006,L,True,biasa
U00150,2026-04-25,Surabaya,iklan_google,1982,P,False,biasa
U00151,2026-06-03,Jakarta,organik,1979,L,False,biasa
U00152,2025-12-02,Bandung,organik,1983,P,True,setia
U00153,2025-06-11,Jakarta,iklan_meta,1976,L,True,biasa
U00154,2025-03-28,Surabaya,organik,1997,L,False,setia
U00155,2025-02-26,Jakarta,iklan_meta,1980,P,False,biasa
U00156,2026-05-27,Surabaya,iklan_google,1980,P,False,biasa
U00157,2025-05-26,Yogyakarta,iklan_meta,1995,P,False,biasa
U00158,2025-01-13,Denpasar,iklan_meta,1975,P,False,biasa
U00159,2025-01-21,Jakarta,gojek_grab,2002,P,False,biasa
U00160,2025-06-10,Jakarta,gojek_grab,2000,P,False,biasa
U00161,2026-06-13,Yogyakarta,organik,2006,P,False,biasa
U00162,2025-06-02,Surabaya,iklan_google,1975,P,False,biasa
U00163,2025-02-25,Bandung,organik,1996,L,True,biasa
U00164,2025-12-29,Surabaya,iklan_meta,2004,L,False,biasa
U00165,2025-02-02,Surabaya,iklan_meta,1982,P,False,biasa
U00166,2025-09-21,Jakarta,organik,1990,P,False,biasa
U00167,2025-02-16,Yogyakarta,gojek_grab,1978,P,True,setia
U00168,2025-02-20,Jakarta,iklan_meta,1991,P,False,biasa
U00169,2025-07-14,Jakarta,iklan_meta,1987,P,False,biasa
U00170,2025-01-07,Surabaya,referral,1981,P,False,biasa
U00171,2026-04-05,Yogyakarta,iklan_google,1995,L,True,biasa
U00172,2025-11-23,Surabaya,gojek_grab,1994,L,False,biasa
U00173,2026-05-20,Denpasar,organik,1999,P,False,setia
U00174,2025-09-23,Surabaya,organik,1982,P,False,biasa
U00175,2025-10-28,Jakarta,organik,1998,L,False,setia
U00176,2025-11-21,Bandung,iklan_google,1983,L,False,biasa
U00177,2025-09-09,Jakarta,iklan_google,1975,P,False,setia
U00178,2025-11-01,Yogyakarta,organik,1985,P,False,biasa
U00179,2025-11-06,Jakarta,organik,1983,P,False,biasa
U00180,2026-04-26,Bandung,iklan_meta,2002,L,False,biasa
U00181,2025-06-13,Surabaya,gojek_grab,1987,P,False,biasa
U00182,2026-05-11,Jakarta,organik,2005,L,False,setia
U00183,2025-04-04,Bandung,iklan_meta,1975,L,False,setia
U00184,2025-04-12,Yogyakarta,referral,1985,P,True,biasa
U00185,2025-05-18,Jakarta,referral,2004,P,True,biasa
U00186,2026-05-24,Bandung,iklan_google,2000,L,False,setia
U00187,2025-05-13,Jakarta,referral,1995,L,True,biasa
U00188,2026-03-02,Bandung,iklan_meta,2001,P,True,biasa
U00189,2025-11-11,Denpasar,referral,1975,P,False,biasa
U00190,2025-12-12,Jakarta,organik,1996,P,False,biasa
U00191,2025-02-11,Jakarta,organik,1985,P,True,biasa
U00192,2025-12-23,Jakarta,iklan_google,1983,P,False,biasa
U00193,2025-02-07,Bandung,referral,1975,P,False,setia
U00194,2025-10-22,Jakarta,gojek_grab,1994,P,False,biasa
U00195,2026-03-02,Bandung,iklan_meta,1995,P,False,biasa
U00196,2026-05-11,Surabaya,iklan_google,1994,P,False,biasa
U00197,2026-06-19,Jakarta,gojek_grab,1984,P,False,setia
U00198,2025-05-06,Jakarta,gojek_grab,2000,P,False,biasa
U00199,2026-02-19,Bandung,iklan_meta,1992,P,False,biasa
U00200,2025-11-20,Jakarta,iklan_meta,1989,P,False,biasa
U00201,2026-02-01,Surabaya,organik,1981,P,True,setia
U00202,2026-03-16,Bandung,iklan_meta,1977,L,False,setia
U00203,2025-09-14,Surabaya,organik,1986,L,False,setia
U00204,2025-03-14,Jakarta,organik,1991,P,False,setia
U00205,2026-03-02,Denpasar,iklan_meta,1978,L,True,biasa
U00206,2025-11-29,Denpasar,iklan_meta,1995,P,False,biasa
U00207,2025-03-14,Surabaya,organik,2001,L,True,biasa
U00208,2025-08-06,Jakarta,iklan_meta,2003,P,False,biasa
U00209,2025-03-20,Surabaya,iklan_meta,2006,P,False,biasa
U00210,2026-02-18,Jakarta,gojek_grab,1996,L,False,biasa
U00211,2025-06-30,Surabaya,organik,1975,P,True,biasa
U00212,2025-02-06,Bandung,organik,1979,P,False,biasa
U00213,2025-06-03,Surabaya,gojek_grab,1978,P,False,setia
U00214,2025-11-24,Yogyakarta,iklan_meta,1979,P,True,biasa
U00215,2025-11-16,Jakarta,organik,2002,L,False,biasa
U00216,2026-04-08,Bandung,referral,1988,P,False,biasa
U00217,2025-07-14,Jakarta,gojek_grab,1980,P,False,biasa
U00218,2025-12-06,Yogyakarta,organik,1980,L,False,setia
U00219,2026-05-26,Denpasar,gojek_grab,1997,P,True,biasa
U00220,2025-06-23,Jakarta,iklan_meta,1998,P,True,biasa
U00221,2025-01-17,Surabaya,referral,1980,L,False,biasa
U00222,2025-12-21,Jakarta,referral,1981,P,False,biasa
U00223,2025-11-21,Bandung,iklan_meta,1981,P,False,biasa
U00224,2025-07-02,Surabaya,iklan_meta,2004,P,False,biasa
U00225,2025-10-31,Surabaya,iklan_meta,1998,L,True,biasa
U00226,2025-12-28,Denpasar,iklan_meta,2001,L,False,biasa
U00227,2026-03-18,Bandung,organik,2003,P,False,setia
U00228,2025-03-11,Bandung,organik,1980,L,False,biasa
U00229,2025-09-12,Surabaya,organik,1995,P,False,biasa
U00230,2025-06-01,Bandung,organik,1977,L,False,biasa
U00231,2025-06-30,Denpasar,referral,1978,L,False,biasa
U00232,2025-01-18,Yogyakarta,iklan_meta,1983,P,False,biasa
U00233,2025-08-16,Bandung,organik,1988,P,False,biasa
U00234,2025-02-15,Bandung,organik,1978,L,False,setia
U00235,2026-05-16,Jakarta,iklan_google,2004,P,False,biasa
U00236,2025-10-27,Bandung,iklan_google,1988,L,False,biasa
U00237,2025-08-16,Denpasar,organik,1983,L,True,setia
U00238,2025-05-06,Surabaya,iklan_meta,1994,P,False,biasa
U00239,2026-05-23,Bandung,iklan_google,1998,L,False,biasa
U00240,2025-10-06,Denpasar,iklan_google,1982,P,False,biasa
U00241,2026-06-17,Surabaya,organik,1990,L,False,setia
U00242,2025-12-23,Yogyakarta,iklan_meta,1992,P,False,biasa
U00243,2026-06-21,Denpasar,iklan_meta,1990,P,False,biasa
U00244,2026-04-21,Jakarta,iklan_meta,1981,L,False,biasa
U00245,2026-02-05,Surabaya,referral,1989,P,False,biasa
U00246,2025-07-11,Bandung,iklan_google,1993,L,False,biasa
U00247,2026-02-24,Yogyakarta,iklan_meta,2005,P,False,biasa
U00248,2025-06-22,Yogyakarta,iklan_google,1989,P,False,biasa
U00249,2026-04-10,Yogyakarta,gojek_grab,1982,L,False,biasa
U00250,2025-06-19,Jakarta,organik,1998,L,False,biasa
U00251,2025-02-11,Jakarta,referral,2005,L,False,setia
U00252,2025-03-05,Surabaya,iklan_meta,1996,L,True,biasa
U00253,2025-09-03,Jakarta,iklan_meta,1983,L,False,biasa
U00254,2025-12-25,Yogyakarta,referral,2003,L,False,biasa
U00255,2025-06-06,Jakarta,gojek_grab,1995,L,True,biasa
U00256,2026-03-19,Bandung,iklan_google,1989,P,False,biasa
U00257,2025-05-19,Yogyakarta,gojek_grab,1978,L,False,biasa
U00258,2025-09-13,Yogyakarta,organik,1980,P,False,biasa
U00259,2025-07-01,Jakarta,organik,1998,L,False,biasa
U00260,2025-10-29,Denpasar,iklan_google,1992,L,False,setia
U00261,2025-04-13,Bandung,iklan_meta,1998,P,False,biasa
U00262,2026-06-02,Denpasar,organik,1985,L,True,biasa
U00263,2026-05-15,Jakarta,referral,1975,P,False,biasa
U00264,2026-01-13,Jakarta,gojek_grab,1995,L,True,biasa
U00265,2025-10-14,Jakarta,iklan_meta,1980,P,True,biasa
U00266,2026-02-07,Surabaya,iklan_meta,1988,P,False,setia
U00267,2025-09-11,Jakarta,organik,2005,L,False,biasa
U00268,2026-04-26,Bandung,gojek_grab,1978,L,False,biasa
U00269,2025-02-05,Yogyakarta,gojek_grab,1994,L,False,setia
U00270,2025-04-27,Jakarta,iklan_google,1989,P,False,setia
U00271,2025-09-04,Jakarta,iklan_meta,1975,L,True,biasa
U00272,2025-12-18,Jakarta,organik,1990,P,False,biasa
U00273,2026-01-17,Jakarta,iklan_meta,1999,P,False,biasa
U00274,2026-01-23,Jakarta,organik,1981,P,False,biasa
U00275,2026-05-23,Denpasar,gojek_grab,1985,L,True,biasa
U00276,2026-03-31,Jakarta,organik,1986,P,False,setia
U00277,2026-05-10,Jakarta,organik,1982,P,False,setia
U00278,2025-07-05,Jakarta,organik,1993,P,False,setia
U00279,2026-01-11,Surabaya,iklan_google,1994,P,False,biasa
U00280,2026-01-07,Bandung,iklan_meta,1981,P,False,biasa
U00281,2025-11-23,Jakarta,iklan_meta,1975,P,False,biasa
U00282,2025-11-23,Surabaya,iklan_meta,1976,P,False,biasa
U00283,2025-10-11,Surabaya,organik,2006,P,False,biasa
U00284,2025-08-10,Denpasar,iklan_meta,1980,L,False,biasa
U00285,2025-03-15,Jakarta,organik,1975,L,False,setia
U00286,2025-02-24,Surabaya,gojek_grab,1980,P,True,biasa
U00287,2025-01-02,Jakarta,gojek_grab,1985,L,False,biasa
U00288,2025-07-10,Bandung,iklan_meta,1976,P,False,setia
U00289,2025-07-21,Yogyakarta,referral,1990,P,False,biasa
U00290,2026-06-05,Jakarta,iklan_meta,1996,P,False,biasa
U00291,2025-05-11,Denpasar,organik,2000,P,False,biasa
U00292,2025-04-27,Bandung,organik,2001,L,False,biasa
U00293,2025-01-24,Jakarta,iklan_meta,1989,P,False,setia
U00294,2025-03-03,Bandung,organik,1993,P,False,biasa
U00295,2025-12-22,Jakarta,referral,2001,L,False,biasa
U00296,2025-07-18,Surabaya,referral,1990,L,False,biasa
U00297,2025-12-01,Jakarta,gojek_grab,2001,L,False,biasa
U00298,2025-02-24,Denpasar,gojek_grab,1992,P,False,biasa
U00299,2026-02-16,Surabaya,iklan_meta,1981,P,False,biasa
U00300,2025-05-25,Yogyakarta,referral,1979,L,False,biasa
U00301,2025-02-01,Bandung,iklan_google,1989,P,False,setia
U00302,2026-05-09,Denpasar,organik,1976,L,False,setia
U00303,2025-07-14,Jakarta,iklan_meta,2005,P,False,biasa
U00304,2025-06-22,Jakarta,organik,1990,P,False,biasa
U00305,2025-01-26,Jakarta,organik,1980,P,False,biasa
U00306,2025-11-13,Surabaya,referral,1994,P,False,setia
U00307,2025-05-31,Jakarta,iklan_google,1982,L,False,biasa
U00308,2025-05-09,Jakarta,iklan_meta,1976,L,False,biasa
U00309,2026-01-01,Surabaya,iklan_google,1999,P,False,biasa
U00310,2025-12-27,Jakarta,organik,2001,L,False,biasa
U00311,2025-03-20,Jakarta,iklan_meta,1976,L,False,biasa
U00312,2025-03-10,Bandung,iklan_meta,1987,P,False,biasa
U00313,2025-05-11,Surabaya,organik,1989,L,False,biasa
U00314,2026-03-03,Jakarta,gojek_grab,1982,L,False,biasa
U00315,2025-05-24,Surabaya,gojek_grab,1995,L,False,biasa
U00316,2025-08-17,Bandung,iklan_meta,1989,L,False,biasa
U00317,2025-03-11,Yogyakarta,organik,1994,P,False,biasa
U00318,2025-04-10,Surabaya,organik,1990,L,False,biasa
U00319,2025-12-26,Surabaya,iklan_meta,1978,P,False,biasa
U00320,2026-02-14,Jakarta,referral,1976,L,False,biasa
U00321,2026-04-13,Surabaya,organik,1977,L,False,biasa
U00322,2025-10-27,Jakarta,gojek_grab,1979,L,False,biasa
U00323,2025-05-30,Surabaya,iklan_google,1993,P,False,setia
U00324,2025-08-25,Jakarta,gojek_grab,1990,P,False,biasa
U00325,2025-03-26,Surabaya,gojek_grab,1991,L,False,biasa
U00326,2025-05-10,Denpasar,iklan_google,1984,L,False,biasa
U00327,2025-09-17,Jakarta,organik,1994,P,False,biasa
U00328,2026-02-26,Jakarta,iklan_google,1993,P,False,biasa
U00329,2025-05-20,Surabaya,iklan_meta,1993,P,False,biasa
U00330,2025-07-17,Jakarta,iklan_meta,1995,P,False,biasa
U00331,2025-01-21,Jakarta,iklan_meta,1980,P,False,biasa
U00332,2025-01-24,Jakarta,organik,1994,L,False,biasa
U00333,2025-10-23,Jakarta,iklan_meta,1981,L,False,biasa
U00334,2026-06-06,Yogyakarta,organik,1980,P,False,biasa
U00335,2025-11-07,Yogyakarta,gojek_grab,1989,P,False,biasa
U00336,2025-01-17,Surabaya,organik,1992,L,False,biasa
U00337,2025-11-06,Jakarta,organik,1986,P,False,setia
U00338,2025-03-07,Yogyakarta,iklan_meta,1976,P,False,biasa
U00339,2026-01-09,Jakarta,referral,1999,P,False,biasa
U00340,2025-09-09,Jakarta,gojek_grab,1994,P,False,biasa
U00341,2025-07-16,Yogyakarta,iklan_meta,1994,P,False,biasa
U00342,2025-04-23,Jakarta,iklan_meta,1978,L,False,biasa
U00343,2025-04-06,Bandung,organik,1983,L,True,setia
U00344,2025-06-30,Denpasar,gojek_grab,1981,L,False,biasa
U00345,2025-09-01,Jakarta,organik,1998,L,False,setia
U00346,2025-11-03,Jakarta,organik,2004,P,False,setia
U00347,2026-01-08,Yogyakarta,organik,1988,L,False,setia
U00348,2026-06-02,Jakarta,iklan_google,1987,P,False,biasa
U00349,2025-01-18,Jakarta,organik,1975,L,False,biasa
U00350,2026-05-21,Jakarta,gojek_grab,1999,P,False,biasa
U00351,2025-10-31,Jakarta,referral,1976,L,False,biasa
U00352,2025-02-09,Bandung,referral,1982,L,False,biasa
U00353,2026-04-14,Yogyakarta,organik,1977,P,False,biasa
U00354,2026-04-06,Jakarta,iklan_google,1982,P,False,biasa
U00355,2025-06-05,Bandung,gojek_grab,1996,L,False,setia
U00356,2025-04-01,Denpasar,referral,1982,L,False,biasa
U00357,2025-06-12,Denpasar,organik,1993,P,False,biasa
U00358,2026-03-15,Jakarta,organik,1995,P,False,biasa
U00359,2026-05-12,Surabaya,iklan_meta,2000,L,False,biasa
U00360,2025-06-10,Yogyakarta,organik,1993,P,False,biasa
U00361,2025-09-14,Bandung,organik,1995,L,False,biasa
U00362,2026-01-23,Denpasar,organik,2004,P,False,setia
U00363,2025-04-08,Denpasar,iklan_meta,1993,P,False,biasa
U00364,2026-01-24,Yogyakarta,iklan_google,1998,P,False,biasa
U00365,2025-05-02,Denpasar,organik,1997,L,False,biasa
U00366,2026-04-05,Surabaya,organik,1975,P,False,biasa
U00367,2025-03-14,Jakarta,organik,1991,L,False,biasa
U00368,2026-06-13,Jakarta,referral,1984,P,False,biasa
U00369,2026-01-25,Bandung,organik,1987,L,False,setia
U00370,2025-05-29,Bandung,organik,2006,P,False,biasa
U00371,2026-03-12,Jakarta,gojek_grab,1991,L,True,biasa
U00372,2025-12-06,Surabaya,referral,2003,P,False,biasa
U00373,2025-09-15,Denpasar,organik,2004,L,False,biasa
U00374,2026-02-04,Bandung,organik,1997,P,False,biasa
U00375,2026-01-08,Yogyakarta,gojek_grab,1989,P,True,biasa
U00376,2025-02-12,Surabaya,organik,2001,P,True,biasa
U00377,2025-05-04,Denpasar,referral,1975,P,False,biasa
U00378,2025-12-24,Bandung,iklan_meta,1982,P,False,biasa
U00379,2025-08-07,Yogyakarta,referral,1988,L,False,setia
U00380,2025-06-23,Jakarta,iklan_meta,1999,P,False,biasa
U00381,2025-10-22,Jakarta,iklan_meta,1978,L,False,biasa
U00382,2025-03-29,Jakarta,organik,1991,L,True,biasa
U00383,2026-06-15,Surabaya,iklan_google,1984,P,False,biasa
U00384,2025-10-24,Bandung,gojek_grab,1984,L,False,biasa
U00385,2025-01-04,Surabaya,iklan_meta,2002,P,False,biasa
U00386,2025-09-07,Bandung,iklan_meta,1978,L,False,setia
U00387,2026-02-06,Denpasar,referral,1999,P,False,biasa
U00388,2025-11-08,Jakarta,iklan_google,1981,P,False,biasa
U00389,2025-10-03,Jakarta,referral,1997,P,False,setia
U00390,2025-12-13,Jakarta,organik,2001,P,False,biasa
U00391,2025-01-14,Jakarta,referral,1997,P,False,setia
U00392,2025-09-27,Surabaya,gojek_grab,1975,L,True,biasa
U00393,2025-08-06,Yogyakarta,iklan_google,1983,L,False,biasa
U00394,2026-05-04,Bandung,organik,1994,P,False,biasa
U00395,2025-11-12,Jakarta,iklan_google,2001,L,False,biasa
U00396,2025-04-07,Jakarta,iklan_meta,1993,P,False,biasa
U00397,2026-04-06,Jakarta,gojek_grab,1998,L,False,setia
U00398,2025-06-05,Bandung,iklan_google,2005,L,False,setia
U00399,2026-06-22,Jakarta,iklan_meta,1998,P,False,biasa
U00400,2025-07-12,Bandung,iklan_meta,1998,P,True,setia
U00401,2026-04-04,Bandung,organik,1995,L,False,biasa
U00402,2026-02-23,Bandung,gojek_grab,1986,P,False,biasa
U00403,2026-01-26,Surabaya,iklan_google,1987,P,False,biasa
U00404,2025-12-19,Bandung,referral,1983,P,False,biasa
U00405,2025-01-13,Jakarta,iklan_google,1977,P,True,biasa
U00406,2025-04-22,Jakarta,organik,1990,L,False,biasa
U00407,2026-04-17,Bandung,iklan_google,1997,P,True,biasa
U00408,2026-02-06,Jakarta,organik,1997,L,False,biasa
U00409,2025-09-07,Surabaya,organik,2005,L,False,biasa
U00410,2026-02-21,Bandung,iklan_meta,1986,L,True,setia
U00411,2025-12-21,Jakarta,iklan_meta,1992,P,False,setia
U00412,2026-02-20,Bandung,iklan_google,1987,L,True,biasa
U00413,2025-10-15,Jakarta,gojek_grab,1977,L,False,biasa
U00414,2025-02-12,Denpasar,iklan_meta,1990,P,False,setia
U00415,2025-08-09,Jakarta,referral,2000,P,False,biasa
U00416,2025-04-25,Jakarta,iklan_meta,1983,P,False,biasa
U00417,2026-04-11,Bandung,referral,1999,L,True,biasa
U00418,2026-04-29,Bandung,iklan_google,1990,L,True,biasa
U00419,2025-04-20,Jakarta,iklan_meta,1983,P,False,biasa
U00420,2026-04-20,Jakarta,iklan_meta,1979,P,False,biasa
U00421,2025-06-27,Jakarta,iklan_meta,1984,L,False,biasa
