tanggal,jumlah_transaksi,omzet,diskon,hari,akhir_pekan,hari_libur
2024-02-16,35,1680600,4400,Jumat,False,False
2024-02-17,38,1742750,8250,Sabtu,True,False
2024-02-18,35,1623850,13150,Minggu,True,False
2024-02-19,23,1182000,4000,Senin,False,False
2024-02-20,19,791750,3250,Selasa,False,False
2024-02-21,35,1605500,13500,Rabu,False,False
2024-02-22,33,1643850,11150,Kamis,False,False
2024-02-23,25,1545450,4550,Jumat,False,False
2024-02-24,29,1547750,4250,Sabtu,True,False
2024-02-25,33,1752350,6650,Minggu,True,False
2024-02-26,29,1244300,700,Senin,False,False
2024-02-27,19,791800,3200,Selasa,False,False
2024-02-28,26,1018500,16500,Rabu,False,False
2024-02-29,34,1682000,1000,Kamis,False,False
2024-03-01,48,2353350,6650,Jumat,False,False
2024-03-02,42,2123600,13400,Sabtu,True,False
2024-03-03,34,1681800,7200,Minggu,True,False
2024-03-04,28,1079800,4200,Senin,False,False
2024-03-05,21,801650,2350,Selasa,False,False
2024-03-06,26,1379700,9300,Rabu,False,False
2024-03-07,23,1021000,0,Kamis,False,False
2024-03-08,33,1587300,4700,Jumat,False,False
2024-03-09,24,1167650,5350,Sabtu,True,False
2024-03-10,36,1667000,15000,Minggu,True,False
2024-03-11,41,2125350,8650,Senin,False,True
2024-03-12,23,959000,0,Selasa,False,False
2024-03-13,40,1900250,5750,Rabu,False,False
2024-03-14,34,1543000,7000,Kamis,False,False
2024-03-15,56,2559800,14200,Jumat,False,False
2024-03-16,57,2793250,6750,Sabtu,True,False
2024-03-17,61,2663150,4850,Minggu,True,False
2024-03-18,52,2588250,12750,Senin,False,False
2024-03-19,41,2227450,14550,Selasa,False,False
2024-03-20,46,1908250,750,Rabu,False,False
2024-03-21,65,3227500,25500,Kamis,False,False
2024-03-22,65,3044150,12850,Jumat,False,False
2024-03-23,70,3167450,5550,Sabtu,True,False
2024-03-24,47,2570300,18700,Minggu,True,False
2024-03-25,41,2142050,5950,Senin,False,False
2024-03-26,42,1877300,7700,Selasa,False,False
2024-03-27,63,3097650,24350,Rabu,False,False
2024-03-28,52,2407100,13900,Kamis,False,False
2024-03-29,64,2824000,17000,Jumat,False,True
2024-03-30,62,3117850,16150,Sabtu,True,False
2024-03-31,58,3041200,16800,Minggu,True,False
2024-04-01,58,2852750,19250,Senin,False,False
2024-04-02,43,2196350,8650,Selasa,False,False
2024-04-03,60,3119900,25100,Rabu,False,False
2024-04-04,45,2230400,11600,Kamis,False,False
2024-04-05,73,3558300,8700,Jumat,False,False
2024-04-06,88,4138200,17800,Sabtu,True,False
2024-04-07,65,2961600,3400,Minggu,True,False
2024-04-08,52,2646850,13150,Senin,False,False
2024-04-09,38,1735550,2450,Selasa,False,False
2024-04-10,64,3142250,16750,Rabu,False,True
2024-04-11,83,4180300,22700,Kamis,False,True
2024-04-12,66,3125050,17950,Jumat,False,False
2024-04-13,65,3474700,14300,Sabtu,True,False
2024-04-14,57,2838450,16550,Minggu,True,False
2024-04-15,53,2971400,10600,Senin,False,False
2024-04-16,50,2357000,8000,Selasa,False,False
2024-04-17,55,2997000,5000,Rabu,False,False
2024-04-18,63,2983450,11550,Kamis,False,False
2024-04-19,63,3224350,10650,Jumat,False,False
2024-04-20,58,2646500,8500,Sabtu,True,False
2024-04-21,63,2750750,5250,Minggu,True,False
2024-04-22,54,2757000,17000,Senin,False,False
2024-04-23,57,3038700,27300,Selasa,False,False
2024-04-24,50,2538300,13700,Rabu,False,False
2024-04-25,54,2545150,14850,Kamis,False,False
2024-04-26,63,3073200,3800,Jumat,False,False
2024-04-27,79,3651300,12700,Sabtu,True,False
2024-04-28,64,3172900,25100,Minggu,True,False
2024-04-29,40,2020850,6150,Senin,False,False
2024-04-30,49,2361400,4600,Selasa,False,False
2024-05-01,66,3142850,21150,Rabu,False,True
2024-05-02,70,3724900,7100,Kamis,False,False
2024-05-03,69,3286750,10250,Jumat,False,False
2024-05-04,73,3598050,12950,Sabtu,True,False
2024-05-05,81,4244300,30700,Minggu,True,False
2024-05-06,58,2704300,10700,Senin,False,False
2024-05-07,50,2412350,4650,Selasa,False,False
2024-05-08,59,2922100,10900,Rabu,False,False
2024-05-09,87,3989450,24550,Kamis,False,True
2024-05-10,67,3297550,27450,Jumat,False,False
2024-05-11,86,4799900,19100,Sabtu,True,False
2024-05-12,61,3421100,12900,Minggu,True,False
2024-05-13,45,2172100,5900,Senin,False,False
2024-05-14,50,2501450,8550,Selasa,False,False
2024-05-15,53,2693000,16000,Rabu,False,False
2024-05-16,60,2702800,2200,Kamis,False,False
2024-05-17,58,2851000,36000,Jumat,False,False
2024-05-18,68,3148100,14900,Sabtu,True,False
2024-05-19,63,2856100,8900,Minggu,True,False
2024-05-20,59,3278250,25750,Senin,False,False
2024-05-21,43,2133750,10250,Selasa,False,False
2024-05-22,71,3382000,21000,Rabu,False,False
2024-05-23,75,3902700,19300,Kamis,False,False
2024-05-24,70,3632200,19800,Jumat,False,False
2024-05-25,62,2796950,15050,Sabtu,True,False
2024-05-26,57,3065450,4550,Minggu,True,False
2024-05-27,62,3037950,4050,Senin,False,False
2024-05-28,48,2499950,12050,Selasa,False,False
2024-05-29,54,2277500,4500,Rabu,False,False
2024-05-30,82,3907600,18400,Kamis,False,False
2024-05-31,74,3772500,22500,Jumat,False,False
2024-06-01,63,3060150,22850,Sabtu,True,False
2024-06-02,68,3430300,13700,Minggu,True,False
2024-06-03,43,2267500,18500,Senin,False,False
2024-06-04,52,2343200,8800,Selasa,False,False
2024-06-05,56,3114750,15250,Rabu,False,False
2024-06-06,62,3087100,9900,Kamis,False,False
2024-06-07,78,3931600,1400,Jumat,False,False
2024-06-08,77,3943850,11150,Sabtu,True,False
2024-06-09,71,3417250,8750,Minggu,True,False
2024-06-10,56,2757850,6150,Senin,False,False
2024-06-11,44,2377250,2750,Selasa,False,False
2024-06-12,51,2542400,5600,Rabu,False,False
2024-06-13,70,3510400,15600,Kamis,False,False
2024-06-14,88,4446800,14200,Jumat,False,False
2024-06-15,76,3912600,8400,Sabtu,True,False
2024-06-16,74,3447850,3150,Minggu,True,False
2024-06-17,55,2316600,13400,Senin,False,True
2024-06-18,45,2361150,8850,Selasa,False,False
2024-06-19,57,2925700,18300,Rabu,False,False
2024-06-20,68,3955650,11350,Kamis,False,False
2024-06-21,92,4523150,10850,Jumat,False,False
2024-06-22,83,3934850,8150,Sabtu,True,False
2024-06-23,77,3791800,30200,Minggu,True,False
2024-06-24,56,2246950,8050,Senin,False,False
2024-06-25,56,3107100,8900,Selasa,False,False
2024-06-26,64,3185900,10100,Rabu,False,False
2024-06-27,56,2966050,10950,Kamis,False,False
2024-06-28,86,4675200,17800,Jumat,False,False
2024-06-29,80,4515900,10100,Sabtu,True,False
2024-06-30,84,4306450,11550,Minggu,True,False
2024-07-01,78,4156750,9250,Senin,False,False
2024-07-02,93,4683250,16750,Selasa,False,False
2024-07-03,85,4128750,11250,Rabu,False,False
2024-07-04,118,5651800,22200,Kamis,False,False
2024-07-05,130,6523500,25500,Jumat,False,False
2024-07-06,130,6309900,24100,Sabtu,True,False
2024-07-07,110,5348400,21600,Minggu,True,False
2024-07-08,79,3911350,9650,Senin,False,False
2024-07-09,84,4099250,15750,Selasa,False,False
2024-07-10,102,4832850,16150,Rabu,False,False
2024-07-11,109,5932550,32450,Kamis,False,False
2024-07-12,104,5247400,17600,Jumat,False,False
2024-07-13,127,6230900,38100,Sabtu,True,False
2024-07-14,96,4990200,28800,Minggu,True,False
2024-07-15,94,4890950,9050,Senin,False,False
2024-07-16,82,3734700,6300,Selasa,False,False
2024-07-17,79,3507550,15450,Rabu,False,False
2024-07-18,93,4474400,18600,Kamis,False,False
2024-07-19,100,5404550,11450,Jumat,False,False
2024-07-20,108,4945450,12550,Sabtu,True,False
2024-07-21,104,5253550,21450,Minggu,True,False
2024-07-22,97,5006150,19850,Senin,False,False
2024-07-23,86,4711100,30900,Selasa,False,False
2024-07-24,88,3962950,15050,Rabu,False,False
2024-07-25,97,4906500,21500,Kamis,False,False
2024-07-26,84,4265100,16900,Jumat,False,False
2024-07-27,131,7049900,16100,Sabtu,True,False
2024-07-28,109,5790600,28400,Minggu,True,False
2024-07-29,78,4707200,14800,Senin,False,False
2024-07-30,92,5189200,15800,Selasa,False,False
2024-07-31,91,4496100,18900,Rabu,False,False
2024-08-01,91,4884450,22550,Kamis,False,False
2024-08-02,126,6354100,22900,Jumat,False,False
2024-08-03,153,8091300,16700,Sabtu,True,False
2024-08-04,114,5901700,11300,Minggu,True,False
2024-08-05,109,5575000,26000,Senin,False,False
2024-08-06,88,4419850,20150,Selasa,False,False
2024-08-07,95,5358750,21250,Rabu,False,False
2024-08-08,95,4840750,19250,Kamis,False,False
2024-08-09,119,6134600,31400,Jumat,False,False
2024-08-10,152,7752700,52300,Sabtu,True,False
2024-08-11,106,5213550,25450,Minggu,True,False
2024-08-12,85,4897400,23600,Senin,False,False
2024-08-13,89,4529900,7100,Selasa,False,False
2024-08-14,85,4666150,14850,Rabu,False,False
2024-08-15,101,5187150,17850,Kamis,False,False
2024-08-16,101,5542300,33700,Jumat,False,False
2024-08-17,180,9250950,26050,Sabtu,True,True
2024-08-18,135,7304850,23150,Minggu,True,False
2024-08-19,94,5122150,22850,Senin,False,False
2024-08-20,83,3858100,11900,Selasa,False,False
2024-08-21,99,4898850,10150,Rabu,False,False
2024-08-22,109,6186100,11900,Kamis,False,False
2024-08-23,109,5589250,34750,Jumat,False,False
2024-08-24,135,6558000,19000,Sabtu,True,False
2024-08-25,114,5967650,32350,Minggu,True,False
2024-08-26,105,5684800,30200,Senin,False,False
2024-08-27,77,4105100,4900,Selasa,False,False
2024-08-28,113,5929750,15250,Rabu,False,False
2024-08-29,114,5574200,37800,Kamis,False,False
2024-08-30,105,5263650,23350,Jumat,False,False
2024-08-31,121,5731950,25050,Sabtu,True,False
2024-09-01,107,5623400,19600,Minggu,True,False
2024-09-02,84,4413350,14650,Senin,False,False
2024-09-03,90,4667450,25550,Selasa,False,False
2024-09-04,125,6958250,24750,Rabu,False,False
2024-09-05,116,6025750,30250,Kamis,False,False
2024-09-06,103,5078400,36600,Jumat,False,False
2024-09-07,145,7914350,26650,Sabtu,True,False
2024-09-08,119,5944900,28100,Minggu,True,False
2024-09-09,91,4660350,43650,Senin,False,False
2024-09-10,73,3942400,21600,Selasa,False,False
2024-09-11,97,5122450,15550,Rabu,False,False
2024-09-12,109,5986700,21300,Kamis,False,False
2024-09-13,133,7088350,17650,Jumat,False,False
2024-09-14,162,8696450,11550,Sabtu,True,False
2024-09-15,148,7722400,36600,Minggu,True,False
2024-09-16,72,3824700,26300,Senin,False,False
2024-09-17,98,5673900,27100,Selasa,False,False
2024-09-18,115,5863400,28600,Rabu,False,False
2024-09-19,113,5365050,23950,Kamis,False,False
2024-09-20,113,6140100,22900,Jumat,False,False
2024-09-21,133,6734500,32500,Sabtu,True,False
2024-09-22,138,7767900,24100,Minggu,True,False
2024-09-23,100,5811850,9150,Senin,False,False
2024-09-24,82,4164400,21600,Selasa,False,False
2024-09-25,121,6428250,17750,Rabu,False,False
2024-09-26,118,5976900,23100,Kamis,False,False
2024-09-27,117,6552850,17150,Jumat,False,False
2024-09-28,128,6006700,30300,Sabtu,True,False
2024-09-29,143,7706500,30500,Minggu,True,False
2024-09-30,96,4942050,22950,Senin,False,False
2024-10-01,82,4460050,12950,Selasa,False,False
2024-10-02,95,4774350,16650,Rabu,False,False
2024-10-03,114,5935350,18650,Kamis,False,False
2024-10-04,143,7247650,26350,Jumat,False,False
2024-10-05,132,7011700,24300,Sabtu,True,False
2024-10-06,126,6770150,41850,Minggu,True,False
2024-10-07,83,4678300,27700,Senin,False,False
2024-10-08,88,4946450,33550,Selasa,False,False
2024-10-09,91,4929200,7800,Rabu,False,False
2024-10-10,87,4447900,21100,Kamis,False,False
2024-10-11,133,6332050,16950,Jumat,False,False
2024-10-12,130,7347700,39300,Sabtu,True,False
2024-10-13,124,6345650,18350,Minggu,True,False
2024-10-14,112,5511500,29500,Senin,False,False
2024-10-15,82,4340950,18050,Selasa,False,False
2024-10-16,110,6137400,37600,Rabu,False,False
2024-10-17,116,6353350,17650,Kamis,False,False
2024-10-18,136,7057750,36250,Jumat,False,False
2024-10-19,129,7274750,26250,Sabtu,True,False
2024-10-20,128,7107150,29850,Minggu,True,False
2024-10-21,95,4591750,22250,Senin,False,False
2024-10-22,62,3157300,16700,Selasa,False,False
2024-10-23,97,5134850,16150,Rabu,False,False
2024-10-24,94,4609650,11350,Kamis,False,False
2024-10-25,150,8531850,35150,Jumat,False,False
2024-10-26,146,7913000,21000,Sabtu,True,False
2024-10-27,152,7226900,32100,Minggu,True,False
2024-10-28,104,4892100,8900,Senin,False,False
2024-10-29,95,5297050,19950,Selasa,False,False
2024-10-30,78,3645950,11050,Rabu,False,False
2024-10-31,112,5860450,25550,Kamis,False,False
2024-11-01,115,6340500,17500,Jumat,False,False
2024-11-02,146,8204400,40600,Sabtu,True,False
2024-11-03,127,6725350,30650,Minggu,True,False
2024-11-04,110,5692550,13450,Senin,False,False
2024-11-05,92,4433950,19050,Selasa,False,False
2024-11-06,118,6657650,37350,Rabu,False,False
2024-11-07,123,6222750,27250,Kamis,False,False
2024-11-08,106,5935600,36400,Jumat,False,False
2024-11-09,151,7372550,31450,Sabtu,True,False
2024-11-10,107,5533450,35550,Minggu,True,False
2024-11-11,90,4711700,19300,Senin,False,False
2024-11-12,99,5105750,9250,Selasa,False,False
2024-11-13,108,5812200,7800,Rabu,False,False
2024-11-14,94,4752100,26900,Kamis,False,False
2024-11-15,125,6674650,15350,Jumat,False,False
2024-11-16,146,7364150,41850,Sabtu,True,False
2024-11-17,125,7040750,24250,Minggu,True,False
2024-11-18,105,5154900,6100,Senin,False,False
2024-11-19,91,4591600,25400,Selasa,False,False
2024-11-20,101,5163250,15750,Rabu,False,False
2024-11-21,122,6162900,11100,Kamis,False,False
2024-11-22,123,6149100,13900,Jumat,False,False
2024-11-23,181,9477650,45350,Sabtu,True,False
2024-11-24,132,6833600,22400,Minggu,True,False
2024-11-25,89,4578450,20550,Senin,False,False
2024-11-26,86,4602650,22350,Selasa,False,False
2024-11-27,109,5525450,26550,Rabu,False,False
2024-11-28,115,5579950,19050,Kamis,False,False
2024-11-29,146,7409750,24250,Jumat,False,False
2024-11-30,140,7115400,33600,Sabtu,True,False
2024-12-01,123,6227050,27950,Minggu,True,False
2024-12-02,103,5519750,21250,Senin,False,False
2024-12-03,83,4360850,32150,Selasa,False,False
2024-12-04,86,4485950,25050,Rabu,False,False
2024-12-05,132,7811350,30650,Kamis,False,False
2024-12-06,135,7126900,44100,Jumat,False,False
2024-12-07,151,7995900,32100,Sabtu,True,False
2024-12-08,118,6127150,8850,Minggu,True,False
2024-12-09,104,5202100,17900,Senin,False,False
2024-12-10,101,4822500,24500,Selasa,False,False
2024-12-11,103,5154050,18950,Rabu,False,False
2024-12-12,118,6148450,8550,Kamis,False,False
2024-12-13,130,6780950,23050,Jumat,False,False
2024-12-14,138,6948300,30700,Sabtu,True,False
2024-12-15,128,6707650,36350,Minggu,True,False
2024-12-16,105,5567050,13950,Senin,False,False
2024-12-17,94,5453150,30850,Selasa,False,False
2024-12-18,93,5055850,15150,Rabu,False,False
2024-12-19,106,5472850,31150,Kamis,False,False
2024-12-20,138,6642600,35400,Jumat,False,False
2024-12-21,149,7208650,36350,Sabtu,True,False
2024-12-22,143,7300050,58950,Minggu,True,False
2024-12-23,115,6466600,21400,Senin,False,False
2024-12-24,90,4251250,29750,Selasa,False,False
2024-12-25,141,6787050,38950,Rabu,False,True
2024-12-26,105,5545200,18800,Kamis,False,False
2024-12-27,118,6315750,34250,Jumat,False,False
2024-12-28,169,8531700,36300,Sabtu,True,False
2024-12-29,169,8944000,41000,Minggu,True,False
2024-12-30,97,4459350,4650,Senin,False,False
2024-12-31,89,4821400,11600,Selasa,False,False
2025-01-01,134,7561650,62350,Rabu,False,True
2025-01-02,116,6054550,65450,Kamis,False,False
2025-01-03,106,5649100,42900,Jumat,False,False
2025-01-04,159,8478050,56950,Sabtu,True,False
2025-01-05,146,7733150,36850,Minggu,True,False
2025-01-06,91,4811500,26500,Senin,False,False
2025-01-07,107,5774500,60500,Selasa,False,False
2025-01-08,113,5871400,42600,Rabu,False,False
2025-01-09,127,6679300,38700,Kamis,False,False
2025-01-10,127,6210400,37600,Jumat,False,False
2025-01-11,140,8177900,67100,Sabtu,True,False
2025-01-12,138,7563000,64000,Minggu,True,False
2025-01-13,96,5257250,37750,Senin,False,False
2025-01-14,120,6838600,56400,Selasa,False,False
2025-01-15,113,6072050,63950,Rabu,False,False
2025-01-16,117,5672250,48750,Kamis,False,False
2025-01-17,141,7111550,76450,Jumat,False,False
2025-01-18,156,7821500,38500,Sabtu,True,False
2025-01-19,140,6907250,68750,Minggu,True,False
2025-01-20,97,5121150,44850,Senin,False,False
2025-01-21,117,5558700,45300,Selasa,False,False
2025-01-22,133,7095300,82700,Rabu,False,False
2025-01-23,104,5196350,42650,Kamis,False,False
2025-01-24,148,7491750,60250,Jumat,False,False
2025-01-25,154,8574950,72050,Sabtu,True,False
2025-01-26,152,8008250,52750,Minggu,True,False
2025-01-27,106,5549900,34100,Senin,False,False
2025-01-28,105,5516200,37800,Selasa,False,False
2025-01-29,126,6320900,51100,Rabu,False,True
2025-01-30,125,6682150,56850,Kamis,False,False
2025-01-31,125,5600000,54000,Jumat,False,False
2025-02-01,195,10097250,70750,Sabtu,True,False
2025-02-02,170,8260050,51950,Minggu,True,False
2025-02-03,127,5818600,22400,Senin,False,False
2025-02-04,117,6694950,27050,Selasa,False,False
2025-02-05,156,7439050,75950,Rabu,False,False
2025-02-06,157,7849100,71900,Kamis,False,False
2025-02-07,157,7954000,71000,Jumat,False,False
2025-02-08,201,9444050,126950,Sabtu,True,False
2025-02-09,209,11044150,91850,Minggu,True,False
2025-02-10,132,6860400,40600,Senin,False,False
2025-02-11,123,5875200,57800,Selasa,False,False
2025-02-12,121,6052150,50850,Rabu,False,False
2025-02-13,159,8596600,42400,Kamis,False,False
2025-02-14,192,9217350,70650,Jumat,False,False
2025-02-15,169,8641850,69150,Sabtu,True,False
2025-02-16,170,9139150,67850,Minggu,True,False
2025-02-17,169,8763150,73850,Senin,False,False
2025-02-18,134,6185300,63700,Selasa,False,False
2025-02-19,146,7902050,59950,Rabu,False,False
2025-02-20,143,7463100,56900,Kamis,False,False
2025-02-21,201,10170100,83900,Jumat,False,False
2025-02-22,204,10102250,57750,Sabtu,True,False
2025-02-23,175,9711050,65950,Minggu,True,False
2025-02-24,137,6432750,45250,Senin,False,False
2025-02-25,125,6347550,48450,Selasa,False,False
2025-02-26,153,7091950,43050,Rabu,False,False
2025-02-27,141,7654050,52950,Kamis,False,False
2025-02-28,208,10567100,61900,Jumat,False,False
2025-03-01,203,10036200,86800,Sabtu,True,False
2025-03-02,177,9375700,65300,Minggu,True,False
2025-03-03,142,7473900,52100,Senin,False,False
2025-03-04,149,7230200,56800,Selasa,False,False
2025-03-05,145,7164550,64450,Rabu,False,False
2025-03-06,169,8255450,82550,Kamis,False,False
2025-03-07,183,9069750,73250,Jumat,False,False
2025-03-08,175,8357250,56750,Sabtu,True,False
2025-03-09,192,9945250,89750,Minggu,True,False
2025-03-10,132,6398550,34450,Senin,False,False
2025-03-11,136,7091200,40800,Selasa,False,False
2025-03-12,140,7457950,40050,Rabu,False,False
2025-03-13,164,8340350,58650,Kamis,False,False
2025-03-14,171,9494650,62350,Jumat,False,False
2025-03-15,196,9536400,61600,Sabtu,True,False
2025-03-16,168,8220750,103250,Minggu,True,False
2025-03-17,126,6141300,44700,Senin,False,False
2025-03-18,134,7004950,36050,Selasa,False,False
2025-03-19,153,7981100,61900,Rabu,False,False
2025-03-20,147,6954600,71400,Kamis,False,False
2025-03-21,182,9300100,63900,Jumat,False,False
2025-03-22,165,9141450,93550,Sabtu,True,False
2025-03-23,182,8897400,100600,Minggu,True,False
2025-03-24,144,7810050,60950,Senin,False,False
2025-03-25,163,8344050,59950,Selasa,False,False
2025-03-26,167,9536500,73500,Rabu,False,False
2025-03-27,157,8311500,71500,Kamis,False,False
2025-03-28,175,8989900,83100,Jumat,False,False
2025-03-29,265,13911300,91700,Sabtu,True,True
2025-03-30,184,8975150,49850,Minggu,True,False
2025-03-31,167,8774450,65550,Senin,False,True
2025-04-01,170,8440150,60850,Selasa,False,True
2025-04-02,161,8343350,59650,Rabu,False,False
2025-04-03,159,8764050,25950,Kamis,False,False
2025-04-04,162,7766700,87300,Jumat,False,False
2025-04-05,178,8978250,79750,Sabtu,True,False
2025-04-06,174,9093850,86150,Minggu,True,False
2025-04-07,139,6832900,59100,Senin,False,False
2025-04-08,131,6257700,61300,Selasa,False,False
2025-04-09,151,8092350,56650,Rabu,False,False
2025-04-10,143,7170950,57050,Kamis,False,False
2025-04-11,173,9113950,59050,Jumat,False,False
2025-04-12,193,9352500,71500,Sabtu,True,False
2025-04-13,178,9172500,70500,Minggu,True,False
2025-04-14,133,6819550,67450,Senin,False,False
2025-04-15,168,8766950,44050,Selasa,False,False
2025-04-16,149,8060600,50400,Rabu,False,False
2025-04-17,160,7502950,71050,Kamis,False,False
2025-04-18,191,9315950,65050,Jumat,False,False
2025-04-19,211,10187450,99550,Sabtu,True,False
2025-04-20,234,12107350,76650,Minggu,True,False
2025-04-21,155,7680950,73050,Senin,False,False
2025-04-22,107,5052250,24750,Selasa,False,False
2025-04-23,172,9070300,73700,Rabu,False,False
2025-04-24,161,8409400,57600,Kamis,False,False
2025-04-25,188,9811750,57250,Jumat,False,False
2025-04-26,185,8701700,68300,Sabtu,True,False
2025-04-27,184,9370950,96050,Minggu,True,False
2025-04-28,121,6178600,47400,Senin,False,False
2025-04-29,171,8441200,73800,Selasa,False,False
2025-04-30,128,6000350,41650,Rabu,False,False
2025-05-01,192,9445250,77750,Kamis,False,True
2025-05-02,170,8606050,58950,Jumat,False,False
2025-05-03,234,12481600,145400,Sabtu,True,False
2025-05-04,204,9759300,96700,Minggu,True,False
2025-05-05,156,7662450,37550,Senin,False,False
2025-05-06,154,8034350,44650,Selasa,False,False
2025-05-07,146,7823900,55100,Rabu,False,False
2025-05-08,174,9961850,61150,Kamis,False,False
2025-05-09,181,8953350,89650,Jumat,False,False
2025-05-10,193,9139700,88300,Sabtu,True,False
2025-05-11,178,9069750,106250,Minggu,True,False
2025-05-12,164,7824850,65150,Senin,False,False
2025-05-13,138,7568350,43650,Selasa,False,False
2025-05-14,156,8174850,64150,Rabu,False,False
2025-05-15,142,7059550,63450,Kamis,False,False
2025-05-16,203,9707300,64700,Jumat,False,False
2025-05-17,192,10101300,47700,Sabtu,True,False
2025-05-18,178,9119900,51100,Minggu,True,False
2025-05-19,134,6740800,21200,Senin,False,False
2025-05-20,143,7177100,38900,Selasa,False,False
2025-05-21,143,7613550,64450,Rabu,False,False
2025-05-22,155,8469150,56850,Kamis,False,False
2025-05-23,182,8607400,65600,Jumat,False,False
2025-05-24,201,10219200,57800,Sabtu,True,False
2025-05-25,169,8726650,82350,Minggu,True,False
2025-05-26,165,8142800,77200,Senin,False,False
2025-05-27,119,5853650,61350,Selasa,False,False
2025-05-28,177,9068700,86300,Rabu,False,False
2025-05-29,220,11184650,65350,Kamis,False,True
2025-05-30,198,9676850,76150,Jumat,False,False
2025-05-31,221,11316150,97850,Sabtu,True,False
2025-06-01,208,12813400,102600,Minggu,True,False
2025-06-02,154,10333150,63850,Senin,False,False
2025-06-03,126,7593950,36050,Selasa,False,False
2025-06-04,135,8612100,53900,Rabu,False,False
2025-06-05,161,10249400,37600,Kamis,False,False
2025-06-06,212,13065700,73300,Jumat,False,True
2025-06-07,206,11752750,59250,Sabtu,True,False
2025-06-08,204,12400050,84950,Minggu,True,False
2025-06-09,152,9121900,70100,Senin,False,False
2025-06-10,142,7712050,83950,Selasa,False,False
2025-06-11,144,8148550,71450,Rabu,False,False
2025-06-12,168,9273250,94750,Kamis,False,False
2025-06-13,175,10133650,78350,Jumat,False,False
2025-06-14,191,11501850,115150,Sabtu,True,False
2025-06-15,178,9337650,68350,Minggu,True,False
2025-06-16,151,9783250,51750,Senin,False,False
2025-06-17,144,8299350,64650,Selasa,False,False
2025-06-18,168,9161700,96300,Rabu,False,False
2025-06-19,145,8282300,77700,Kamis,False,False
2025-06-20,197,11059750,91250,Jumat,False,False
2025-06-21,200,11293150,80850,Sabtu,True,False
2025-06-22,193,10988250,124750,Minggu,True,False
2025-06-23,147,10018300,53700,Senin,False,False
2025-06-24,140,8678500,54500,Selasa,False,False
2025-06-25,181,11008850,65150,Rabu,False,False
2025-06-26,157,9100250,53750,Kamis,False,False
2025-06-27,186,11008850,85150,Jumat,False,False
2025-06-28,207,13094200,130800,Sabtu,True,False
2025-06-29,207,12615450,89550,Minggu,True,False
2025-06-30,180,11180900,62100,Senin,False,False
2025-07-01,162,9296550,90450,Selasa,False,False
2025-07-02,147,7952900,88100,Rabu,False,False
2025-07-03,187,11269200,127800,Kamis,False,False
2025-07-04,202,12369300,110700,Jumat,False,False
2025-07-05,166,9321850,96150,Sabtu,True,False
2025-07-06,206,12195350,116650,Minggu,True,False
2025-07-07,153,9290300,106700,Senin,False,False
2025-07-08,153,9251500,84500,Selasa,False,False
2025-07-09,161,9672050,65950,Rabu,False,False
2025-07-10,180,9576650,101350,Kamis,False,False
