transaksi_id,tanggal,cabang_id,kota,saluran,metode_bayar,total
T0121921,2026-03-24,C01,Jakarta,Takeaway,E-Wallet,120000
T0103489,2026-01-19,C02,Jakarta,Takeaway,QRIS,65000
T0123862,2026-03-30,C05,JKT,Takeaway,QRIS,90000
T0114245,2026-02-26,C01,Jakarta,Dine-in,E-Wallet,
T0110960,2026-02-14,C05,Yogyakarta,Dine-in,QRIS,35000
T0117032,2026-03-07,C03,Bandung,Dine-in,Kartu Debit,48000
T0114567,2026-02-27,C02,Jakarta,Takeaway,QRIS,38000
T0119248,2026-03-15,C02,,Dine-in,QRIS,Rp 58.000
T0120783,2026-03-20,C05,Yogyakarta,Takeaway,E-Wallet,113000
T0110103,2026-02-12,C01,Jakarta,Delivery,-,48000
T0123140,2026-03-28,C03,Bandung,Delivery,Tunai,15000
T0118511,2026-03-13,C01,Jakarta,Delivery,E-Wallet,39000
T0102454,15/01/2026,C06,Denpasar,Takeaway,Tunai,18000
T0112398,2026-02-19,C05,Yogyakarta,Delivery,E-Wallet,80000
T0122918,2026-03-27,C05,Yogyakarta,Takeaway,Kartu Debit,25000
T0120167,19-Mar-2026,C01,Jakarta,Takeaway,E-Wallet,20000
T0115759,03/03/2026,C01,Jakarta,Dine-in,E-Wallet,120000
T0112478,2026-02-20,C01,Jakarta,Dine-in,E-Wallet,51000
T0104494,2026-01-23,C02,Jakarta,Delivery,E-Wallet,98000
T0117626,09-Mar-2026,C03,bandung,Dine-in,qris,Rp 75.000
T0109084,2026-02-08,C01,Jakarta,Delivery,QRIS,Rp 45.000
T0122809,2026-03-27,C03,Bandung,DINE-IN,QRIS,79000
T0101925,2026-01-13,C03,Bandung,DINE-IN,QRIS,68000
T0100446,2026-01-07,C03, bandung  ,Delivery,E-Wallet,15000
T0100685,2026-01-08,C03,Bandung,Dine-in,QRIS,39000
T0109232,2026-02-08,C04,Surabaya,Dine-in,QRIS,37000
T0109944,2026-02-11,C03,Bandung,Delivery,QRIS,81700
T0114979,28/02/2026,C03,Bandung,Takeaway,Kartu Debit,28000
T0114383,2026-02-26,C04,surabaya,Dine-in,QRIS,85000
T0102904,2026-01-17,C02,Jakarta,Takeaway,E-Wallet,Rp 12.000
T0106662,2026-01-30,C06,Denpasar,Takeaway,Tunai,62000
T0114556,2026-02-27,C02,Jakarta,Delivery,QRIS,30000
T0104109,2026-01-21,C05,Yogyakarta,DINE-IN,QRIS,98000
T0099425,01-Mar-2026,C02,Jakarta,Delivery,QRIS,30000
T0119288,2026-03-15,C03,Bandung,Dine-in,QRIS,171000
T0109642,2026-02-10,C02,JKT,Takeaway,QRIS,150000
T0103598,2026-01-19,C04,surabaya,Takeaway,QRIS,14250
T0113422,2026-02-22,C06,Denpasar,Takeaway,Tunai,39000
T0106548,2026-01-30,C04,Surabaya,Dine-in,QRIS,37800
T0098854,2026-01-01,C02,Jakarta,Dine-in,QRIS,Rp 144.000
T0104862,2026-01-24,C03,,dine in,Tunai,99000
T0116551,2026-03-06,C02,Jakarta,Delivery,QRIS,40000
T0112439,2026-02-20,C01,JAKARTA,Dine-in,QRIS,100000
T0102208,2026-01-15,C01,Jakarta,Takeaway,QRIS,86000
T0106465,2026-01-30,C03, Bandung  ,Takeaway,-,18000
T0116498,2026-03-06,C01,Jakarta,Dine-in,E-Wallet,25000
T0117129,2026-03-07,C05,Yogyakarta,Delivery,E-Wallet,131000
T0109958,2026-02-11,C03,Bandung,Dine-in,Tunai,25000
T0117487,2026-03-08,C06, Denpasar  ,Dine-in,QRIS,46000
T0123523,29/03/2026,C03,Bandung,Delivery,QRIS,20000
T0103145,18/01/2026,C01,,Delivery,Tunai,44000
T0111656,17-Feb-2026,C02, JAKARTA  ,Takeaway,Kartu Debit,96000
T0111339,2026-02-16,C01,Jakarta,Takeaway,Tunai,66000
T0118162,2026-03-11,C04, Surabaya  ,Dine-in,Kartu Debit,
T0118801,2026-03-13,C06,Denpasar,Dine-in,QRIS,168000
T0119779,17-Mar-2026,C02,Jakarta,Takeaway,Kartu Debit,86000
T0103601,2026-01-19,C04,SURABAYA,Takeaway,Tunai,
T0116777,2026-03-06,C06, Denpasar  ,Takeaway,Kartu Debit,132000
T0100561,2026-01-08,C01,Jakarta,Dine-in,Tunai,25000
T0107930,2026-02-04,C03,Bandung,Takeaway,QRIS,24000
T0102177,14-Jan-2026,C05,Yogyakarta,Delivery,E-Wallet,43000
T0116032,2026-03-04,C02,,Delivery,QRIS,35000
T0099004,2026-01-01,C04,Surabaya,Takeaway,E-Wallet,72000
T0104453,2026-01-23,C01,JAKARTA,Takeaway,Tunai,72000
T0114471,27/02/2026,C01,Jakarta,Takeaway,Kartu Debit,36000
,,,,,,
T0121330,2026-03-22,C01,Jakarta,Takeaway,QRIS,105000
T0108378,06/02/2026,C01,Jakarta,Dine-in,QRIS,25000
T0116948,2026-03-07,C02,Jakarta,Dine-in,E-Wallet,72000
T0115301,2026-03-01,C02,Jakarta,DINE-IN,QRIS,70000
T0102156,14/01/2026,C04,Surabaya,Takeaway,Kartu Debit,22000
T0112685,2026-02-20,C05,YOGYAKARTA,Dine-in,Tunai,
T0101760,2026-01-12,C04,surabaya,Delivery,QRIS,18000
T0109278,08-Feb-2026,C05,Yogyakarta,Takeaway,QRIS,126000
T0101697,2026-01-12,C02,Jakarta,Takeaway,QRIS,Rp 48.000
T0107767,2026-02-03,C05,Yogyakarta,Dine-in,E-Wallet,-185000.0
T0103605,2026-01-19,C05,YOGYAKARTA,Takeaway,Kartu Debit,80000
T0109454,2026-02-09,C03,Bandung,Dine-in,Tunai,89000
T0117663,2026-03-09,C04,Surabaya,Delivery,QRIS,12000
T0122408,2026-03-25,C06,Denpasar,Delivery,Kartu Debit,25000
T0118524,2026-03-13,C01,JAKARTA,Delivery,QRIS,Rp 20.000
T0099681,04-Jan-2026,C01,,Takeaway,Kartu Debit,87000
T0099091,01/01/2026,C05,YOGYAKARTA,Dine-in,E-Wallet,32000
T0105343,2026-01-25,C05,Yogyakarta,Takeaway,Tunai,93000
T0114304,2026-02-26,C03,BANDUNG,Delivery,Kartu Debit,130000
T0105165,2026-01-25,C02,Jakarta,Dine-in,QRIS,65000
T0105989,2026-01-28,C03,Bandung,Dine-in,Tunai,151000
T0119215,2026-03-15,C01,Jakarta,Dine-in,Tunai,Rp 256.000
T0120104,2026-03-18,C05,YOGYAKARTA,Dine-in,QRIS,55000
T0110840,2026-02-14,C03,BANDUNG,Takeaway,QRIS,178000
T0105556,2026-01-26,C03,Bandung,Dine-in,QRIS,43000
T0116015,2026-03-04,C02,Jakarta,Dine-in,Tunai,43000
T0107436,2026-02-02,C03,Bandung,Takeaway,Kartu Debit,18000
T0118356,12/03/2026,C03,Bandung,Takeaway,E-Wallet,42000
T0102767,2026-01-16,C06,Denpasar,Takeaway,Tunai,50000
T0121055,2026-03-21,C03,BANDUNG,Takeaway,Tunai,150000
T0112724,2026-02-20,C06,,Dine-in,Kartu Debit,84000
T0114925,2026-02-28,C02,Jakarta,Takeaway,E-Wallet,47500
T0100768,08/01/2026,C05,Yogyakarta,Dine-in,Kartu Debit,145000
T0119656,2026-03-16,C04,Surabaya,Dine-in,E-Wallet,46000
,,,,,,
T0112567,2026-02-20,C03,JKT,Takeaway,QRIS,Rp 12.000
T0106674,2026-01-31,C01, Jakarta  ,DINE-IN,Tunai,78850
T0107827,2026-02-04,C01,Jakarta,Delivery,QRIS,95000
T0099862,2026-01-04,C04,Surabaya,Takeaway,QRIS,146000
T0099375,2026-01-03,C01,Jakarta,Dine-in,Tunai,22000
T0122432,2026-03-25,C06,Denpasar,Dine-in,Kartu Debit,65000
T0117751,2026-03-10,C01,Jakarta,Takeaway,E-Wallet,15000
T0112663,2026-02-20,C05,Yogyakarta,Delivery,qris,40000
T0101293,01-Oct-2026,C04,Surabaya,Takeaway,Kartu Debit,77000
T0107031,2026-02-01,C01,jakarta,Takeaway,Kartu Debit,73000
T0114597,2026-02-27,C02,Jakarta,Dine-in,QRIS,128000
,,,,,,
T0099789,2026-01-04,C03,BANDUNG,Dine-in,Tunai,139000
T0121744,2026-03-23,C01,Jakarta,Takeaway,E-Wallet,50000
T0121952,2026-03-24,C01,Jakarta,Dine-in,Tunai,28000
T0102944,2026-01-17,C03,Bandung,Delivery,QRIS,17100
T0113811,2026-02-24,C03,Bandung,Dine-in,QRIS,66000
T0106432,2026-01-30,C02,Jakarta,Takeaway,Tunai,14000
T0119023,2026-03-14,C04,Surabaya,Dine-in,Tunai,18000
T0120160,2026-03-18,C06,Denpasar,Delivery,Tunai,53200
T0111919,2026-02-18,C01,Jakarta,Takeaway,Tunai,134000
T0121701,2026-03-22,C06,Denpasar,Dine-in,QRIS,22000
T0123783,2026-03-30,C03, Bandung  ,Dine-in,QRIS,Rp 95.000
T0114237,26/02/2026,C01,Jakarta,Delivery,QRIS,-27000.0
T0107386,2026-02-02,C02,Jakarta,Delivery,QRIS,15000
T0105486,26-Jan-2026,C02,Jakarta,Takeaway,Tunai,43000
T0101853,2026-01-13,C01, Jakarta  ,Takeaway,E-Wallet,96000
T0099210,2026-01-02,C03,Bandung,Dine-in,Kartu Debit,47500
T0123669,30/03/2026,C01,Jakarta,Dine-in,Tunai,108000
T0119508,16-Mar-2026,C01,Jakarta,Dine-in,Tunai,22000
T0100845,2026-01-09,C01,jakarta,Takeaway,QRIS,94000
T0102248,15/01/2026,C02,Jakarta,Dine-in,Kartu Debit,-33000.0
T0118236,12-Mar-2026,C01,Jakarta,Dine-in,QRIS,43000
T0109916,2026-02-11,C03,Bandung,Dine-in,Kartu Debit,79000
T0108083,2026-02-05,C01,Jakarta,Dine-in,Tunai,43000
T0113566,2026-02-23,C03,Bandung,Dine-in,QRIS,23750
T0105110,2026-01-25,C01,Jakarta,Takeaway,QRIS,18000
T0100060,05/01/2026,C03,BANDUNG,Takeaway,QRIS,40000
T0098997,2026-01-01,C04,Surabaya,Takeaway,Tunai,18000
T0110901,2026-02-14,C04,Surabaya,Takeaway,E-Wallet,
T0099593,2026-01-03,C04, SURABAYA  ,Delivery,Tunai,240000
T0104969,2026-01-24,C04,Surabaya,Takeaway,QRIS,25000
T0117788,2026-03-10,C01,Jakarta,Delivery,QRIS,18000
T0110896,2026-02-14,C04,Surabaya,Dine-in,QRIS,35000
T0123969,2026-03-31,C02,Jakarta,Dine-in,Tunai,28000
T0118885,2026-03-14,C02,Jakarta,Delivery,E-Wallet,16200
T0099737,2026-01-04,C02,Jakarta,Delivery,Kartu Debit,100000
T0112272,2026-02-19,C03,Bandung,Takeaway,E-Wallet,56000
T0113847,2026-02-24,C04,Surabaya,Dine-in,Tunai,34000
T0116186,04-Mar-2026,C06,Denpasar,Dine-in,QRIS,145000
T0118606,2026-03-13,C02,Jakarta,Delivery,Tunai,20000
T0105420,26-Jan-2026,C01,JAKARTA,Takeaway,E-Wallet,116000
T0117613,09-Mar-2026,C03,Bandung,Dine-in,QRIS,136000
T0113264,2026-02-22,C03,Bandung,Dine-in,Tunai,53000
T0114551,2026-02-27,C02,JKT,Dine-in,E-Wallet,125400
T0101615,11-Jan-2026,C05,Yogyakarta,Delivery,Tunai,53200
T0099773,2026-01-04,C02,,dine in,QRIS,Rp 15.000
T0104262,22/01/2026,C03,,Dine-in,Tunai,87000
T0105236,2026-01-25,C03,Bandung,Dine-in,QRIS,130000
T0122181,25/03/2026,C01,Jakarta,Dine-in,Kartu Debit,18000
T0109592,2026-02-10,C01,Jakarta,Takeaway,Tunai,99000
T0107352,2026-02-02,C01, Jakarta  ,Takeaway,QRIS,15000
T0102688,2026-01-16,C04,Surabaya,Takeaway,E-Wallet,57000
T0112331,2026-02-19,C04,Surabaya,Dine-in,QRIS,43000
T0120274,2026-03-19,C02,Jakarta,Takeaway,E-Wallet,15000
T0104618,2026-01-23,C04,Surabaya,Delivery,QRIS,60000
T0120661,2026-03-20,C03,Bandung,Dine-in,E-Wallet,15000
T0115559,2026-03-02,C03,Bandung,Dine-in,Kartu Debit,
T0105292,2026-01-25,C04,Surabaya,Dine-in,Kartu Debit,24000
T0119940,2026-03-18,C01,Jakarta,Delivery,E-Wallet,28500
T0118957,2026-03-14,C03,Bandung,Dine-in,qris,70000
T0102955,2026-01-17,C03,Bandung,Takeaway,QRIS,43200
T0105629,26/01/2026,C06,Denpasar,Dine-in,QRIS,180000
T0108520,2026-02-06,C03,Bandung,Dine-in,E-Wallet,Rp 217.000
T0121284,2026-03-22,C01,Jakarta,Takeaway,QRIS,Rp 78.000
T0106662,2026-01-30,C06,Denpasar,Takeaway,Tunai,62000
T0101207,2026-01-10,C03, Bandung  ,Delivery,Tunai,113000
T0120427,2026-03-19,C04,,Delivery,E-Wallet,25200
T0112603,2026-02-20,C03,Bandung,Takeaway,Kartu Debit,149000
T0117327,2026-03-08,C03,Bandung,Dine-in,-,30000
T0113731,2026-02-24,C01,Jakarta,Dine-in,QRIS,87000
T0115065,2026-02-28,C04,Surabaya,Takeaway,E-Wallet,130000
T0102997,2026-01-17,C04,Surabaya,Dine-in,E-Wallet,25000
T0099684,2026-01-04,C01,Jakarta,Takeaway,E-Wallet,28000
T0101140,2026-01-10,C02,jakarta,Delivery,Tunai,
T0104711,2026-01-23,C06,Denpasar,Takeaway,Tunai,65000
T0120282,2026-03-19,C02,Jakarta,Dine-in,QRIS,66000
T0110520,13/02/2026,C03,Bandung,Dine-in,Kartu Debit,25000
T0117413,2026-03-08,C05,Yogyakarta,Dine-in,Tunai,20000
T0113735,2026-02-24,C01,Jakarta,Dine-in,Kartu Debit,
T0103432,2026-01-18,C06,Denpasar,Dine-in,E-Wallet,86000
T0115258,2026-03-01,C01,Jakarta,Takeaway,QRIS,28000
T0118237,2026-03-12,C01,Jakarta,Dine-in,QRIS,25000
T0108692,2026-02-07,C01,JKT,Takeaway,QRIS,24000
T0118801,2026-03-13,C06,Denpasar,Dine-in,QRIS,168000
T0115662,2026-03-02,C05,Yogyakarta,Takeaway,Tunai,28000
T0109491,2026-02-09,C04,Surabaya,Dine-in,E-Wallet,101000
T0106597,2026-01-30,C05,,Dine-in,QRIS,49000
T0116903,2026-03-07,C02,Jakarta,Delivery,QRIS,44000
T0104452,2026-01-23,C01,Jakarta,Takeaway,QRIS,62000
T0115132,2026-02-28,C05,Yogyakarta,Takeaway,QRIS,54000
T0114854,28-Feb-2026,C01,Jakarta,Dine-in,E-Wallet,71250
T0100067,05-Jan-2026,C04,Surabaya,Dine-in,Tunai,41800
T0118589,2026-03-13,C02,Jakarta,Delivery,QRIS,36000
T0104447,2026-01-23,C01,,Takeaway,QRIS,18000
T0122829,27/03/2026,C03,Bandung,Dine-in,Kartu Debit,33250
T0102429,2026-01-15,C05,Yogyakarta,Dine-in,QRIS,52000
T0123517,2026-03-29,C03,Bandung,Takeaway,E-Wallet,0
T0109332,2026-02-08,C06,Denpasar,Takeaway,QRIS,15000
T0123671,2026-03-30,C01,jakarta,Takeaway,E-Wallet,109000
T0110308,2026-02-12,C05,YOGYAKARTA,Dine-in,QRIS,18000
T0098785,2026-01-01,C01,Jakarta,Delivery,Tunai,
T0122133,2026-03-24,C06,DENPASAR,Delivery,Kartu Debit,76000
T0110336,12/02/2026,C06,Denpasar,Dine-in,Tunai,25000
T0107189,2026-02-01,C04, Surabaya  ,Delivery,Tunai,95000
T0113187,2026-02-22,C02,Jakarta,Takeaway,E-Wallet,214000
T0104335,2026-01-22,C05,Yogyakarta,Dine-in,Tunai,126000
T0104845,2026-01-24,C02,Jakarta,Takeaway,QRIS,24000
T0106087,2026-01-28,C06, Denpasar  ,Takeaway,QRIS,51300
T0115323,2026-03-01,C02, Jakarta  ,Dine-in,QRIS,Rp 179.000
T0123504,2026-03-29,C03,Bandung,Delivery,QRIS,Rp 45.000
T0103969,2026-01-21,C01,Jakarta,Dine-in,Kartu Debit,101000
T0118288,12/03/2026,C01,JAKARTA,Delivery,QRIS,28000
T0121149,2026-03-21,C04,Surabaya,Dine-in,Kartu Debit,155000
T0123881,2026-03-30,C06,Denpasar,Delivery,Kartu Debit,15000
T0099439,2026-01-03,C02, Jakarta  ,Dine-in,E-Wallet,
T0100508,2026-01-07,C04,Surabaya,Delivery,-,165000
T0107647,2026-02-03,C02,Jakarta,Takeaway,QRIS,66000
T0105485,2026-01-26,C02,Jakarta,Takeaway,QRIS,49000
T0119172,14/03/2026,C06,Denpasar,Delivery,QRIS,Rp 171.000
T0100152,2026-01-06,C01,Jakarta,Takeaway,qris,64000
T0120110,18-Mar-2026,C05,Yogyakarta,Dine-in,qris,55000
T0115052,2026-02-28,C04,Surabaya,Dine-in,QRIS,53000
T0107587,2026-02-03,C01,Jakarta,Delivery,Kartu Debit,50000
T0123136,2026-03-28,C02,Jakarta,Dine-in,QRIS,25000
T0109959,2026-02-11,C03,,Takeaway,E-Wallet,18000
T0119703,16/03/2026,C06,Denpasar,Takeaway,QRIS,28000
,,,,,,
T0102411,15/01/2026,C05,yogyakarta,Takeaway,QRIS,54900
T0107958,2026-02-04,C04,Surabaya,Takeaway,QRIS,63000
T0100008,2026-01-05,C02,Jakarta,Dine-in,Kartu Debit,18000
T0101289,2026-01-10,C04,Surabaya,Dine-in,E-Wallet,15000
T0123324,2026-03-28,C06,Denpasar,Dine-in,E-Wallet,25000
T0118927,2026-03-14,C02,Jakarta,Dine-in,QRIS,154000
T0121914,2026-03-24,C01,JKT,Dine-in,QRIS,Rp 49.000
T0114179,2026-02-25,C06,Denpasar,Takeaway,Kartu Debit,24000
,,,,,,
T0112976,2026-02-21,C04,Surabaya,Dine-in,QRIS,158000
T0101465,2026-01-11,C03,Bandung,Delivery,E-Wallet,32000
T0122270,2026-03-25,C03,Bandung,Takeaway,Kartu Debit,24000
T0123917,2026-03-31,C01,Jakarta,Delivery,Tunai,50000
T0121955,2026-03-24,C01,Jakarta,Takeaway,QRIS,24000
T0103660,2026-01-19,C06,Denpasar,Dine-in,QRIS,18000
T0118042,2026-03-11,C02,,Dine-in,QRIS,58000
T0114385,2026-02-26,C04,Surabaya,Dine-in,QRIS,43000
T0100409,2026-01-07,C02,Jakarta,Delivery,QRIS,108000
T0121068,2026-03-21,C03,Bandung,Dine-in,E-Wallet,58000
T0112361,2026-02-19,C05,Yogyakarta,Dine-in,Tunai,76000
T0117958,10/03/2026,C06,Denpasar,Takeaway,QRIS,0
T0109053,2026-02-08,C01,Jakarta,Dine-in,QRIS,48000
,,,,,,
T0122260,2026-03-25,C03,Bandung,Takeaway,Tunai,65000
T0105263,25/01/2026,C04,Surabaya,Takeaway,E-Wallet,86000
T0112615,2026-02-20,C03,,Takeaway,Kartu Debit,296000
T0115524,02/03/2026,C01,Jakarta,Delivery,QRIS,58500
T0116622,2026-03-06,C03,Bandung,Dine-in,Kartu Debit,72000
T0116602,06/03/2026,C03,Bandung,Dine-in,E-Wallet,Rp 25.000
T0104941,2026-01-24,C04,Surabaya,Dine-in,Kartu Debit,Rp 63.000
T0100159,2026-01-06,C01,Jakarta,Dine-in,QRIS,37000
T0109161,2026-02-08,C03,Bandung,Dine-in,Kartu Debit,74000
T0115089,2026-02-28,C04, Surabaya  ,Takeaway,QRIS,18000
T0121044,2026-03-21,C03,,Dine-in,QRIS,167000
T0117643,2026-03-09,C04,surabaya,Dine-in,E-Wallet,24000
T0107933,2026-02-04,C03,Bandung,Delivery,QRIS,50000
T0112101,2026-02-18,C05,Yogyakarta,Takeaway,QRIS,14000
T0111937,2026-02-18,C01,Jakarta,Dine-in,Tunai,67000
T0121475,2026-03-22,C03,Bandung,Delivery,QRIS,50000
T0112299,2026-02-19,C03,Bandung,Dine-in,Kartu Debit,15000
T0112807,2026-02-21,C02,Jakarta,Takeaway,QRIS,18000
T0102109,14/01/2026,C03,Bandung,dine in,Kartu Debit,97000
T0116081,04-Mar-2026,C03,Bandung,Delivery,Kartu Debit,24000
T0098836,2026-01-01,C01,Jakarta,Dine-in,QRIS,24000
T0112545,2026-02-20,C02,jakarta,Dine-in,Kartu Debit,83000
T0114714,2026-02-27,C04,surabaya,Takeaway,Kartu Debit,0
T0105828,2026-01-27,C05,JKT,Dine-in,Tunai,Rp 37.000
T0104237,2026-01-22,C03,BANDUNG,Delivery,Tunai,55000
T0099501,2026-01-03,C03,Bandung,Delivery,Tunai,37000
T0103206,2026-01-18,C02,Jakarta,Delivery,E-Wallet,46000
T0118692,13-Mar-2026,C04,Surabaya,Takeaway,QRIS,35100
T0105114,2026-01-25,C01,Jakarta,Takeaway,Kartu Debit,90000
T0113043,2026-02-21,C05,Yogyakarta,Delivery,E-Wallet,45000
T0104628,2026-01-23,C04,Surabaya,Delivery,E-Wallet,37000
T0106560,2026-01-30,C04, Surabaya  ,Takeaway,Kartu Debit,25000
T0110455,2026-02-13,C02,Jakarta,Dine-in,Tunai,37000
T0112572,2026-02-20,C03,Bandung,Delivery,E-Wallet,66500
T0110643,2026-02-13,C06,denpasar,Dine-in,E-Wallet,22000
T0102213,15/01/2026,C01,Jakarta,Takeaway,Tunai,78000
T0101339,2026-01-11,C01,Jakarta,Delivery,QRIS,79000
T0115617,2026-03-02,C04,surabaya,Takeaway,Tunai,110000
T0111532,2026-02-16,C05,Yogyakarta,Dine-in,Kartu Debit,52000
T0118906,2026-03-14,C02, jakarta  ,Dine-in,Tunai,0
,,,,,,
T0116317,2026-03-05,C03,JKT,Dine-in,-,22000
T0121476,2026-03-22,C03,BANDUNG,Takeaway,QRIS,48000
T0109052,2026-02-08,C01,Jakarta,Dine-in,QRIS,22000
T0101008,2026-01-09,C04, Surabaya  ,Dine-in,Kartu Debit,67000
T0123585,2026-03-29,C05,Yogyakarta,Takeaway,Tunai,70000
T0105979,2026-01-28,C03,Bandung,Delivery,Tunai,72000
T0111328,2026-02-16,C01,Jakarta,Delivery,Tunai,57000
T0110165,2026-02-12,C02,Jakarta,Dine-in,QRIS,Rp 54.000
T0120992,21-Mar-2026,C03,Bandung,Takeaway,QRIS,46000
T0102724,2026-01-16,C04,Surabaya,Takeaway,Kartu Debit,24000
T0116364,2026-03-05,C04,Surabaya,Takeaway,Tunai,Rp 45.000
T0120249,2026-03-19,C02,Jakarta,Dine-in,Kartu Debit,22000
T0107894,2026-02-04,C02,Jakarta,Dine-in,Kartu Debit,64000
T0102290,15/01/2026,C02,Jakarta,Delivery,QRIS,30400
T0107880,04/02/2026,C02,Jakarta,Delivery,QRIS,94000
T0111343,2026-02-16,C01,Jakarta,Delivery,Kartu Debit,56000
T0110536,2026-02-13,C03,Bandung,dine in,QRIS,18000
T0119411,15/03/2026,C05,YOGYAKARTA,Dine-in,QRIS,49000
T0102524,2026-01-16,C01,Jakarta,Takeaway,-,Rp 118.000
T0103311,2026-01-18,C04,SURABAYA,Delivery,Kartu Debit,
T0104163,2026-01-22,C01,Jakarta,Takeaway,E-Wallet,108000
T0116199,2026-03-04,C06,DENPASAR,Delivery,Tunai,92000
T0101596,2026-01-11,C05, Yogyakarta  ,Takeaway,E-Wallet,49000
T0110205,2026-02-12,C03,BANDUNG,Delivery,Tunai,91000
T0121767,23-Mar-2026,C02, Jakarta  ,Takeaway,Kartu Debit,18000
T0102454,15/01/2026,C06,Denpasar,Takeaway,Tunai,18000
T0101360,2026-01-11,C01,Jakarta,Takeaway,QRIS,15000
T0103872,2026-01-20,C05,Yogyakarta,Takeaway,E-Wallet,47500
T0112077,2026-02-18,C04,Surabaya,Takeaway,Kartu Debit,17100
T0111198,2026-02-15,C04,SURABAYA,Dine-in,QRIS,72000
T0122169,25/03/2026,C01,Jakarta,DINE-IN,E-Wallet,-43000.0
T0124018,2026-03-31,C03,BANDUNG,Takeaway,QRIS,25000
T0119185,15/03/2026,C01,Jakarta,Delivery,QRIS,60800
T0107053,01/02/2026,C01,Jakarta,Takeaway,QRIS,32000
T0123003,2026-03-27,C06,denpasar,Delivery,Kartu Debit,39000
T0115944,2026-03-03,C06,Denpasar,DINE-IN,E-Wallet,120000
