transaksi_id,produk_id,jumlah,harga_satuan,nilai
T0000100,P04,2,25000,50000
T0000101,P10,1,20000,20000
T0000102,P07,1,24000,24000
T0000103,P12,1,14000,14000
T0000104,P04,1,25000,25000
T0000105,P01,1,22000,22000
T0000106,P07,1,24000,24000
T0000106,P05,1,15000,15000
T0000107,P04,1,25000,25000
T0000108,P01,2,22000,44000
T0000109,P07,2,24000,48000
T0000109,P01,1,22000,22000
T0000110,P01,1,22000,22000
T0000110,P03,1,25000,25000
T0000111,P01,1,22000,22000
T0000112,P01,2,22000,44000
T0000112,P05,2,15000,30000
T0000113,P04,2,25000,50000
T0000113,P02,1,18000,18000
T0000114,P03,1,25000,25000
T0000115,P02,1,18000,18000
T0000116,P05,1,15000,15000
T0000116,P02,1,18000,18000
T0000116,P03,2,25000,50000
T0000116,P07,1,24000,24000
T0000117,P02,2,18000,36000
T0000117,P05,1,15000,15000
T0000118,P10,1,20000,20000
T0000118,P07,1,24000,24000
T0000118,P04,1,25000,25000
T0000119,P04,1,25000,25000
T0000120,P05,1,15000,15000
T0000120,P01,1,22000,22000
T0000121,P05,2,15000,30000
T0000122,P05,2,15000,30000
T0000123,P04,1,25000,25000
T0000123,P02,2,18000,36000
T0000123,P05,2,15000,30000
T0000124,P01,1,22000,22000
T0000124,P05,2,15000,30000
T0000124,P10,2,20000,40000
T0000125,P03,1,25000,25000
T0000125,P09,1,15000,15000
T0000126,P01,1,22000,22000
T0000126,P07,1,24000,24000
T0000126,P09,1,15000,15000
T0000126,P03,2,25000,50000
T0000127,P04,2,25000,50000
T0000128,P12,1,14000,14000
T0000128,P10,2,20000,40000
T0000128,P07,2,24000,48000
T0000128,P05,1,15000,15000
T0000129,P04,1,25000,25000
T0000129,P09,1,15000,15000
T0000129,P07,1,24000,24000
T0000130,P02,3,18000,54000
T0000130,P03,2,25000,50000
T0000131,P04,1,25000,25000
T0000132,P04,1,25000,25000
T0000132,P05,1,15000,15000
T0000133,P04,1,25000,25000
T0000134,P03,2,25000,50000
T0000135,P04,2,25000,50000
T0000136,P03,1,25000,25000
T0000136,P07,1,24000,24000
T0000137,P01,1,22000,22000
T0000137,P05,1,15000,15000
T0000138,P02,1,18000,18000
T0000138,P07,1,24000,24000
T0000139,P03,1,25000,25000
T0000139,P05,1,15000,15000
T0000139,P01,1,22000,22000
T0000140,P01,1,22000,22000
T0000141,P04,2,25000,50000
T0000142,P05,1,15000,15000
T0000142,P02,1,18000,18000
T0000143,P01,1,22000,22000
T0000144,P05,1,15000,15000
T0000145,P04,1,25000,25000
T0000145,P07,1,24000,24000
T0000146,P01,1,22000,22000
T0000146,P03,1,25000,25000
T0000146,P07,1,24000,24000
T0000147,P07,1,24000,24000
T0000148,P07,1,24000,24000
T0000148,P01,1,22000,22000
T0000149,P07,1,24000,24000
T0000149,P01,1,22000,22000
T0000150,P01,1,22000,22000
T0000150,P07,1,24000,24000
T0000151,P02,1,18000,18000
T0000151,P03,1,25000,25000
T0000151,P12,1,14000,14000
T0000152,P07,1,24000,24000
T0000152,P03,2,25000,50000
T0000153,P05,1,15000,15000
T0000153,P01,1,22000,22000
T0000154,P10,1,20000,20000
T0000155,P03,3,25000,75000
T0000155,P05,1,15000,15000
T0000156,P02,1,18000,18000
T0000156,P05,1,15000,15000
T0000156,P07,1,24000,24000
T0000157,P03,1,25000,25000
T0000157,P04,2,25000,50000
T0000158,P04,1,25000,25000
T0000158,P07,1,24000,24000
T0000159,P01,1,22000,22000
T0000160,P10,1,20000,20000
T0000161,P02,1,18000,18000
T0000162,P03,1,25000,25000
T0000162,P05,1,15000,15000
T0000162,P04,1,25000,25000
T0000163,P10,1,20000,20000
T0000164,P07,1,24000,24000
T0000164,P05,1,15000,15000
T0000165,P07,1,24000,24000
T0000166,P07,1,24000,24000
T0000167,P10,1,20000,20000
T0000167,P01,1,22000,22000
T0000167,P05,1,15000,15000
T0000167,P02,1,18000,18000
T0000168,P12,2,14000,28000
T0000168,P03,1,25000,25000
T0000169,P05,1,15000,15000
T0000170,P05,1,15000,15000
T0000171,P01,1,22000,22000
T0000172,P09,1,15000,15000
T0000173,P03,1,25000,25000
T0000174,P10,2,20000,40000
T0000174,P07,1,24000,24000
T0000174,P02,1,18000,18000
T0000175,P10,1,20000,20000
T0000175,P12,1,14000,14000
T0000175,P01,2,22000,44000
T0000176,P04,1,25000,25000
T0000176,P01,1,22000,22000
T0000177,P09,1,15000,15000
T0000177,P05,1,15000,15000
T0000177,P01,1,22000,22000
T0000177,P04,3,25000,75000
T0000178,P01,1,22000,22000
T0000178,P04,2,25000,50000
T0000179,P04,1,25000,25000
T0000180,P05,2,15000,30000
T0000180,P04,1,25000,25000
T0000181,P09,2,15000,30000
T0000181,P02,1,18000,18000
T0000181,P07,1,24000,24000
T0000182,P03,2,25000,50000
T0000183,P04,1,25000,25000
T0000183,P10,1,20000,20000
T0000183,P03,1,25000,25000
T0000184,P05,1,15000,15000
T0000185,P07,1,24000,24000
T0000185,P01,1,22000,22000
T0000185,P05,1,15000,15000
T0000186,P12,2,14000,28000
T0000186,P07,2,24000,48000
T0000186,P04,1,25000,25000
T0000187,P01,2,22000,44000
T0000188,P10,3,20000,60000
T0000188,P12,2,14000,28000
T0000189,P07,1,24000,24000
T0000190,P01,2,22000,44000
T0000191,P10,1,20000,20000
T0000191,P07,1,24000,24000
T0000192,P10,1,20000,20000
T0000192,P01,1,22000,22000
T0000193,P04,1,25000,25000
T0000193,P12,1,14000,14000
T0000193,P07,1,24000,24000
T0000193,P02,1,18000,18000
T0000194,P02,1,18000,18000
T0000195,P10,1,20000,20000
T0000195,P04,1,25000,25000
T0000195,P03,2,25000,50000
T0000196,P04,1,25000,25000
T0000196,P07,1,24000,24000
T0000197,P10,1,20000,20000
T0000198,P05,1,15000,15000
T0000198,P04,1,25000,25000
T0000199,P05,2,15000,30000
T0000200,P02,1,18000,18000
T0000200,P03,1,25000,25000
T0000201,P01,1,22000,22000
T0000201,P02,2,18000,36000
T0000202,P07,1,24000,24000
T0000202,P03,1,25000,25000
T0000202,P05,2,15000,30000
T0000203,P05,2,15000,30000
T0000204,P07,2,24000,48000
T0000204,P12,1,14000,14000
T0000204,P02,2,18000,36000
T0000205,P04,1,25000,25000
T0000205,P02,1,18000,18000
T0000205,P07,2,24000,48000
T0000206,P02,2,18000,36000
T0000206,P05,1,15000,15000
T0000206,P09,1,15000,15000
T0000207,P04,1,25000,25000
T0000207,P03,1,25000,25000
T0000207,P05,2,15000,30000
T0000207,P07,1,24000,24000
T0000208,P03,2,25000,50000
T0000209,P02,1,18000,18000
T0000210,P09,1,15000,15000
T0000211,P04,2,25000,50000
T0000211,P12,2,14000,28000
T0000212,P12,1,14000,14000
T0000212,P03,1,25000,25000
T0000212,P02,1,18000,18000
T0000213,P05,1,15000,15000
T0000213,P02,3,18000,54000
T0000213,P07,1,24000,24000
T0000214,P05,1,15000,15000
T0000214,P09,1,15000,15000
T0000214,P12,1,14000,14000
T0000215,P03,2,25000,50000
T0000216,P03,1,25000,25000
T0000217,P07,1,24000,24000
T0000217,P10,1,20000,20000
T0000218,P12,1,14000,14000
T0000218,P04,1,25000,25000
T0000218,P01,1,22000,22000
T0000219,P02,1,18000,18000
T0000220,P01,1,22000,22000
T0000220,P07,1,24000,24000
T0000221,P02,2,18000,36000
T0000222,P05,1,15000,15000
T0000222,P07,1,24000,24000
T0000222,P02,1,18000,18000
T0000223,P01,1,22000,22000
T0000223,P07,2,24000,48000
T0000224,P07,1,24000,24000
T0000225,P04,1,25000,25000
T0000225,P12,1,14000,14000
T0000226,P02,1,18000,18000
T0000227,P05,1,15000,15000
T0000228,P02,1,18000,18000
T0000228,P05,1,15000,15000
T0000229,P02,1,18000,18000
T0000229,P05,2,15000,30000
T0000229,P07,2,24000,48000
T0000229,P01,1,22000,22000
T0000230,P04,1,25000,25000
T0000230,P02,1,18000,18000
T0000231,P02,1,18000,18000
T0000232,P07,2,24000,48000
T0000233,P03,1,25000,25000
T0000234,P04,1,25000,25000
T0000234,P02,1,18000,18000
T0000235,P03,2,25000,50000
T0000236,P01,2,22000,44000
T0000237,P07,1,24000,24000
T0000237,P03,1,25000,25000
T0000237,P01,1,22000,22000
T0000238,P03,1,25000,25000
T0000239,P02,1,18000,18000
T0000240,P03,1,25000,25000
T0000241,P02,1,18000,18000
T0000242,P01,1,22000,22000
T0000242,P04,1,25000,25000
T0000243,P02,1,18000,18000
T0000243,P07,1,24000,24000
T0000244,P09,1,15000,15000
T0000245,P02,1,18000,18000
T0000245,P01,1,22000,22000
T0000246,P10,1,20000,20000
T0000247,P02,1,18000,18000
T0000248,P04,1,25000,25000
T0000248,P09,1,15000,15000
T0000249,P03,1,25000,25000
T0000249,P05,1,15000,15000
T0000249,P12,1,14000,14000
T0000250,P03,1,25000,25000
T0000251,P12,1,14000,14000
T0000251,P03,1,25000,25000
T0000252,P12,1,14000,14000
T0000253,P12,1,14000,14000
T0000254,P05,1,15000,15000
T0000255,P07,1,24000,24000
T0000256,P01,2,22000,44000
T0000257,P02,2,18000,36000
T0000258,P01,1,22000,22000
T0000258,P05,2,15000,30000
T0000258,P03,1,25000,25000
T0000258,P12,1,14000,14000
T0000259,P02,2,18000,36000
T0000260,P04,2,25000,50000
T0000261,P12,1,14000,14000
T0000261,P04,1,25000,25000
T0000262,P03,1,25000,25000
T0000262,P02,1,18000,18000
T0000262,P05,1,15000,15000
T0000262,P04,1,25000,25000
T0000263,P07,1,24000,24000
T0000264,P02,1,18000,18000
T0000265,P07,1,24000,24000
T0000266,P10,1,20000,20000
T0000266,P05,3,15000,45000
T0000267,P02,1,18000,18000
T0000268,P10,1,20000,20000
T0000269,P03,1,25000,25000
T0000269,P07,1,24000,24000
T0000269,P01,2,22000,44000
T0000270,P05,1,15000,15000
T0000271,P04,1,25000,25000
T0000271,P05,1,15000,15000
T0000272,P01,1,22000,22000
T0000272,P03,1,25000,25000
T0000273,P03,1,25000,25000
T0000273,P02,1,18000,18000
T0000273,P07,1,24000,24000
T0000273,P04,1,25000,25000
T0000274,P05,2,15000,30000
T0000275,P02,1,18000,18000
T0000275,P05,1,15000,15000
T0000276,P05,1,15000,15000
T0000277,P05,1,15000,15000
T0000277,P12,2,14000,28000
T0000278,P05,3,15000,45000
T0000279,P02,1,18000,18000
T0000280,P04,1,25000,25000
T0000280,P03,1,25000,25000
T0000281,P02,2,18000,36000
T0000282,P07,1,24000,24000
T0000283,P03,1,25000,25000
T0000283,P01,1,22000,22000
T0000284,P04,1,25000,25000
T0000284,P01,1,22000,22000
T0000284,P10,1,20000,20000
T0000285,P03,1,25000,25000
T0000285,P01,1,22000,22000
T0000285,P07,1,24000,24000
T0000286,P02,2,18000,36000
T0000286,P03,1,25000,25000
T0000287,P03,1,25000,25000
T0000288,P04,1,25000,25000
T0000288,P02,1,18000,18000
T0000289,P04,1,25000,25000
T0000289,P09,1,15000,15000
T0000290,P02,1,18000,18000
T0000290,P07,2,24000,48000
T0000290,P10,1,20000,20000
T0000291,P02,1,18000,18000
T0000291,P01,1,22000,22000
T0000291,P03,1,25000,25000
T0000292,P01,1,22000,22000
T0000292,P02,1,18000,18000
T0000293,P04,2,25000,50000
T0000293,P12,2,14000,28000
T0000294,P07,1,24000,24000
T0000295,P01,1,22000,22000
T0000295,P04,2,25000,50000
T0000296,P03,1,25000,25000
T0000296,P05,1,15000,15000
T0000296,P01,3,22000,66000
T0000296,P04,1,25000,25000
T0000297,P04,1,25000,25000
T0000297,P03,1,25000,25000
T0000297,P02,1,18000,18000
T0000298,P03,2,25000,50000
T0000299,P07,1,24000,24000
T0000299,P05,1,15000,15000
T0000300,P07,1,24000,24000
T0000300,P02,1,18000,18000
T0000300,P05,1,15000,15000
T0000301,P01,1,22000,22000
T0000301,P02,1,18000,18000
T0000302,P03,1,25000,25000
T0000302,P12,1,14000,14000
T0000303,P02,1,18000,18000
T0000304,P09,1,15000,15000
T0000304,P04,2,25000,50000
T0000305,P01,1,22000,22000
T0000305,P05,1,15000,15000
T0000305,P03,1,25000,25000
T0000306,P05,1,15000,15000
T0000307,P03,1,25000,25000
T0000308,P04,1,25000,25000
T0000308,P09,1,15000,15000
T0000309,P03,1,25000,25000
T0000309,P02,1,18000,18000
T0000309,P05,1,15000,15000
T0000309,P01,1,22000,22000
T0000310,P02,1,18000,18000
T0000310,P04,1,25000,25000
T0000310,P01,1,22000,22000
T0000311,P05,1,15000,15000
T0000312,P04,1,25000,25000
T0000313,P03,1,25000,25000
T0000314,P04,1,25000,25000
T0000314,P12,1,14000,14000
T0000314,P01,2,22000,44000
T0000314,P03,1,25000,25000
T0000315,P10,1,20000,20000
T0000316,P09,1,15000,15000
T0000317,P02,1,18000,18000
T0000318,P12,1,14000,14000
T0000318,P07,1,24000,24000
T0000318,P04,1,25000,25000
T0000318,P05,1,15000,15000
T0000319,P04,1,25000,25000
T0000320,P04,1,25000,25000
T0000321,P05,1,15000,15000
T0000322,P01,1,22000,22000
T0000322,P07,1,24000,24000
T0000323,P07,1,24000,24000
T0000323,P09,2,15000,30000
T0000323,P04,1,25000,25000
T0000324,P02,3,18000,54000
T0000324,P04,1,25000,25000
T0000325,P05,1,15000,15000
T0000326,P01,1,22000,22000
T0000326,P09,2,15000,30000
T0000326,P03,2,25000,50000
T0000326,P04,1,25000,25000
T0000327,P01,2,22000,44000
T0000327,P10,1,20000,20000
T0000327,P02,2,18000,36000
T0000328,P10,1,20000,20000
T0000328,P02,1,18000,18000
T0000328,P07,1,24000,24000
T0000329,P02,1,18000,18000
T0000329,P05,2,15000,30000
T0000330,P04,1,25000,25000
T0000330,P07,1,24000,24000
T0000331,P04,1,25000,25000
T0000332,P05,1,15000,15000
T0000332,P02,1,18000,18000
T0000333,P07,1,24000,24000
T0000334,P02,1,18000,18000
T0000335,P03,1,25000,25000
T0000335,P02,1,18000,18000
T0000335,P01,1,22000,22000
T0000336,P04,2,25000,50000
T0000337,P01,1,22000,22000
T0000337,P05,2,15000,30000
T0000337,P07,1,24000,24000
T0000338,P04,1,25000,25000
T0000339,P05,2,15000,30000
T0000340,P04,1,25000,25000
T0000340,P09,1,15000,15000
T0000341,P04,2,25000,50000
T0000342,P07,1,24000,24000
T0000342,P04,1,25000,25000
T0000343,P04,1,25000,25000
T0000343,P07,1,24000,24000
T0000343,P09,2,15000,30000
T0000344,P04,1,25000,25000
T0000344,P05,1,15000,15000
T0000345,P02,2,18000,36000
T0000346,P02,1,18000,18000
T0000346,P03,1,25000,25000
T0000346,P07,3,24000,72000
T0000346,P04,1,25000,25000
T0000347,P02,1,18000,18000
T0000348,P05,1,15000,15000
T0000348,P10,2,20000,40000
T0000348,P03,1,25000,25000
T0000348,P07,1,24000,24000
T0000349,P09,1,15000,15000
T0000350,P01,1,22000,22000
T0000351,P03,2,25000,50000
T0000352,P07,1,24000,24000
T0000353,P03,1,25000,25000
T0000353,P07,1,24000,24000
T0000354,P04,1,25000,25000
T0000354,P02,2,18000,36000
T0000355,P12,1,14000,14000
T0000356,P07,1,24000,24000
T0000356,P09,3,15000,45000
T0000356,P04,2,25000,50000
T0000357,P09,1,15000,15000
T0000357,P03,1,25000,25000
T0000358,P07,1,24000,24000
T0000358,P02,2,18000,36000
T0000359,P01,1,22000,22000
T0000360,P07,1,24000,24000
T0000360,P04,1,25000,25000
T0000361,P03,2,25000,50000
T0000362,P05,1,15000,15000
T0000363,P03,1,25000,25000
T0000363,P02,1,18000,18000
T0000364,P02,2,18000,36000
T0000364,P04,1,25000,25000
T0000365,P03,1,25000,25000
T0000366,P05,1,15000,15000
T0000366,P01,1,22000,22000
T0000367,P01,1,22000,22000
T0000368,P07,1,24000,24000
T0000368,P02,2,18000,36000
T0000369,P03,2,25000,50000
T0000370,P02,1,18000,18000
T0000370,P03,1,25000,25000
T0000371,P02,1,18000,18000
T0000372,P12,2,14000,28000
T0000372,P02,1,18000,18000
T0000373,P03,1,25000,25000
T0000373,P04,1,25000,25000
T0000373,P05,2,15000,30000
T0000374,P10,1,20000,20000
T0000375,P02,1,18000,18000
T0000376,P12,1,14000,14000
T0000376,P07,1,24000,24000
T0000377,P01,1,22000,22000
T0000378,P02,2,18000,36000
T0000379,P04,1,25000,25000
T0000380,P02,2,18000,36000
T0000380,P01,2,22000,44000
T0000381,P07,1,24000,24000
T0000382,P04,1,25000,25000
T0000383,P02,1,18000,18000
T0000384,P02,1,18000,18000
T0000384,P01,3,22000,66000
T0000385,P02,1,18000,18000
T0000385,P03,1,25000,25000
T0000385,P04,1,25000,25000
T0000386,P02,1,18000,18000
T0000386,P01,1,22000,22000
T0000386,P03,1,25000,25000
T0000387,P10,1,20000,20000
T0000387,P02,1,18000,18000
T0000388,P01,1,22000,22000
T0000389,P01,2,22000,44000
T0000389,P10,1,20000,20000
T0000390,P02,1,18000,18000
T0000390,P01,3,22000,66000
T0000390,P03,1,25000,25000
T0000390,P04,2,25000,50000
T0000391,P02,1,18000,18000
T0000391,P03,1,25000,25000
T0000392,P03,1,25000,25000
T0000392,P02,1,18000,18000
T0000392,P04,1,25000,25000
T0000393,P10,1,20000,20000
T0000394,P05,1,15000,15000
T0000395,P05,1,15000,15000
T0000395,P07,1,24000,24000
T0000396,P05,1,15000,15000
T0000396,P03,1,25000,25000
T0000396,P02,1,18000,18000
T0000396,P12,1,14000,14000
T0000397,P07,1,24000,24000
T0000398,P01,1,22000,22000
T0000399,P02,1,18000,18000
T0000400,P02,1,18000,18000
T0000401,P04,1,25000,25000
T0000401,P02,1,18000,18000
T0000402,P04,1,25000,25000
T0000403,P05,1,15000,15000
T0000404,P01,2,22000,44000
T0000405,P04,1,25000,25000
T0000406,P03,2,25000,50000
T0000406,P12,1,14000,14000
T0000406,P01,2,22000,44000
T0000406,P10,1,20000,20000
T0000407,P02,1,18000,18000
T0000407,P05,1,15000,15000
T0000407,P07,1,24000,24000
T0000408,P02,2,18000,36000
T0000408,P05,1,15000,15000
T0000409,P03,2,25000,50000
T0000410,P02,1,18000,18000
T0000411,P02,1,18000,18000
T0000412,P05,1,15000,15000
T0000413,P03,1,25000,25000
T0000413,P05,1,15000,15000
T0000414,P07,1,24000,24000
T0000415,P07,1,24000,24000
T0000416,P01,1,22000,22000
T0000416,P04,1,25000,25000
T0000417,P07,1,24000,24000
T0000418,P04,1,25000,25000
T0000419,P01,2,22000,44000
T0000419,P07,2,24000,48000
T0000420,P01,1,22000,22000
T0000420,P05,2,15000,30000
T0000421,P03,1,25000,25000
T0000422,P04,1,25000,25000
T0000422,P05,1,15000,15000
T0000422,P03,1,25000,25000
T0000422,P07,2,24000,48000
T0000423,P07,2,24000,48000
T0000423,P10,1,20000,20000
T0000424,P01,2,22000,44000
T0000425,P07,1,24000,24000
T0000426,P05,2,15000,30000
T0000426,P03,1,25000,25000
T0000427,P02,1,18000,18000
T0000427,P05,2,15000,30000
T0000428,P01,1,22000,22000
T0000429,P01,1,22000,22000
T0000429,P07,1,24000,24000
T0000430,P07,1,24000,24000
T0000431,P01,2,22000,44000
T0000431,P05,1,15000,15000
T0000432,P07,1,24000,24000
T0000433,P02,1,18000,18000
T0000434,P12,1,14000,14000
T0000434,P07,1,24000,24000
T0000435,P07,1,24000,24000
T0000435,P05,1,15000,15000
T0000435,P01,1,22000,22000
T0000436,P05,1,15000,15000
T0000436,P07,2,24000,48000
T0000436,P04,1,25000,25000
T0000436,P02,1,18000,18000
T0000437,P04,1,25000,25000
T0000437,P01,3,22000,66000
T0000438,P04,1,25000,25000
T0000438,P12,1,14000,14000
T0000439,P02,2,18000,36000
T0000440,P07,2,24000,48000
T0000441,P09,1,15000,15000
T0000441,P02,1,18000,18000
T0000441,P04,1,25000,25000
T0000441,P03,1,25000,25000
T0000442,P12,2,14000,28000
T0000442,P07,1,24000,24000
T0000442,P02,1,18000,18000
T0000443,P03,2,25000,50000
T0000443,P02,1,18000,18000
T0000443,P04,1,25000,25000
T0000444,P05,1,15000,15000
T0000444,P02,1,18000,18000
T0000445,P04,1,25000,25000
T0000445,P12,1,14000,14000
T0000446,P03,1,25000,25000
T0000447,P05,1,15000,15000
T0000448,P05,1,15000,15000
T0000448,P01,3,22000,66000
T0000448,P07,1,24000,24000
T0000449,P02,1,18000,18000
T0000450,P12,1,14000,14000
T0000450,P03,1,25000,25000
T0000451,P04,1,25000,25000
T0000451,P07,1,24000,24000
T0000452,P07,1,24000,24000
T0000453,P04,1,25000,25000
T0000454,P09,1,15000,15000
T0000454,P07,1,24000,24000
T0000454,P05,2,15000,30000
T0000455,P07,2,24000,48000
T0000455,P10,1,20000,20000
T0000455,P01,1,22000,22000
T0000456,P03,2,25000,50000
T0000457,P03,1,25000,25000
T0000457,P01,2,22000,44000
T0000457,P05,2,15000,30000
T0000457,P04,1,25000,25000
T0000458,P10,1,20000,20000
T0000458,P03,1,25000,25000
T0000459,P05,2,15000,30000
T0000459,P04,1,25000,25000
T0000459,P07,3,24000,72000
T0000460,P01,1,22000,22000
T0000461,P02,2,18000,36000
T0000461,P05,1,15000,15000
T0000461,P03,1,25000,25000
T0000462,P02,1,18000,18000
T0000462,P03,1,25000,25000
T0000463,P07,1,24000,24000
T0000464,P01,1,22000,22000
T0000465,P04,1,25000,25000
T0000465,P07,1,24000,24000
T0000465,P03,3,25000,75000
T0000466,P09,1,15000,15000
T0000466,P01,1,22000,22000
T0000466,P10,1,20000,20000
T0000467,P07,2,24000,48000
T0000467,P04,2,25000,50000
T0000468,P07,1,24000,24000
T0000468,P03,1,25000,25000
T0000468,P01,1,22000,22000
T0000469,P09,1,15000,15000
T0000469,P04,1,25000,25000
T0000469,P07,1,24000,24000
T0000470,P03,1,25000,25000
T0000471,P07,2,24000,48000
T0000472,P09,1,15000,15000
T0000473,P04,2,25000,50000
T0000473,P01,1,22000,22000
T0000473,P05,2,15000,30000
