sumur_id,tanggal,oil_bopd,gas_mscfd,water_bwpd,watercut,berproduksi
CDN-001,2023-05-23,310.89,267.41,140.38,0.327,1
CDN-001,2023-05-24,337.42,307.55,177.0,0.3277,1
CDN-001,2023-05-25,343.11,308.29,173.56,0.3283,1
CDN-001,2023-05-26,332.39,307.39,172.28,0.329,1
CDN-001,2023-05-27,312.41,272.22,164.77,0.3296,1
CDN-001,2023-05-28,336.29,296.44,153.85,0.3303,1
CDN-001,2023-05-29,347.19,306.97,165.69,0.3309,1
CDN-001,2023-05-30,350.84,304.22,176.65,0.3316,1
CDN-001,2023-05-31,355.6,321.3,182.33,0.3323,1
CDN-001,2023-06-01,286.74,258.83,141.21,0.3329,1
CDN-001,2023-06-02,336.44,276.42,175.82,0.3336,1
CDN-001,2023-06-03,336.0,299.22,162.71,0.3342,1
CDN-001,2023-06-04,327.36,289.48,160.22,0.3349,1
CDN-001,2023-06-05,324.82,286.34,157.9,0.3355,1
CDN-001,2023-06-06,313.88,285.7,147.61,0.3362,1
CDN-001,2023-06-07,335.82,301.54,171.68,0.3368,1
CDN-001,2023-06-08,340.93,310.93,180.23,0.3375,1
CDN-001,2023-06-09,320.96,280.23,140.17,0.3381,1
CDN-001,2023-06-10,323.73,255.8,173.96,0.3388,1
CDN-001,2023-06-11,315.18,247.72,170.7,0.3395,1
CDN-001,2023-06-12,346.42,308.41,184.02,0.3401,1
CDN-001,2023-06-13,311.44,277.3,162.09,0.3408,1
CDN-001,2023-06-14,322.35,277.3,168.73,0.3414,1
CDN-001,2023-06-15,307.92,273.37,157.92,0.3421,1
CDN-001,2023-06-16,322.38,301.2,159.34,0.3427,1
CDN-001,2023-06-17,316.54,292.16,168.3,0.3434,1
CDN-001,2023-06-18,329.44,312.76,174.34,0.344,1
CDN-001,2023-06-19,313.88,259.26,166.26,0.3447,1
CDN-001,2023-06-20,356.31,323.26,183.69,0.3453,1
CDN-001,2023-06-21,344.33,306.0,195.71,0.346,1
CDN-001,2023-06-22,294.67,269.26,163.84,0.3467,1
CDN-001,2023-06-23,338.1,289.32,182.04,0.3473,1
CDN-001,2023-06-24,341.2,286.86,186.27,0.348,1
CDN-001,2023-06-25,283.31,253.58,139.19,0.3486,1
CDN-001,2023-06-26,299.19,289.03,175.17,0.3493,1
CDN-001,2023-06-27,333.3,285.14,174.34,0.3499,1
CDN-001,2023-06-28,321.44,280.8,176.14,0.3506,1
CDN-001,2023-06-29,325.54,300.21,170.34,0.3512,1
CDN-001,2023-06-30,293.11,246.6,175.1,0.3519,1
CDN-001,2023-07-01,301.57,257.28,161.75,0.3526,1
CDN-001,2023-07-02,325.09,303.44,175.44,0.3532,1
CDN-001,2023-07-03,306.6,278.82,178.45,0.3539,1
CDN-001,2023-07-04,317.46,278.31,194.63,0.3545,1
CDN-001,2023-07-05,315.3,275.33,170.04,0.3552,1
CDN-001,2023-07-06,329.83,298.46,193.92,0.3558,1
CDN-001,2023-07-07,323.19,285.5,191.16,0.3565,1
CDN-001,2023-07-08,303.96,268.72,181.37,0.3571,1
CDN-001,2023-07-09,319.38,295.0,172.62,0.3578,1
CDN-001,2023-07-10,328.65,312.98,202.08,0.3584,1
CDN-001,2023-07-11,334.75,303.43,186.33,0.3591,1
CDN-001,2023-07-12,307.42,252.39,191.08,0.3598,1
CDN-001,2023-07-13,322.75,291.08,182.76,0.3604,1
CDN-001,2023-07-14,315.12,282.47,191.03,0.3611,1
CDN-001,2023-07-15,294.92,274.28,175.06,0.3617,1
CDN-001,2023-07-16,342.26,321.39,206.74,0.3624,1
CDN-001,2023-07-17,333.69,281.2,199.33,0.363,1
CDN-001,2023-07-18,311.47,272.47,171.55,0.3637,1
CDN-001,2023-07-19,312.1,269.13,164.13,0.3643,1
CDN-001,2023-07-20,310.62,272.82,170.0,0.365,1
CDN-001,2023-07-21,316.74,281.56,186.32,0.3657,1
CDN-001,2023-07-22,330.26,295.62,183.09,0.3663,1
CDN-001,2023-07-23,308.18,275.53,186.17,0.367,1
CDN-001,2023-07-24,309.33,290.24,190.78,0.3676,1
CDN-001,2023-07-25,344.38,305.23,189.34,0.3683,1
CDN-001,2023-07-26,373.93,351.6,207.22,0.3689,1
CDN-001,2023-07-27,308.82,276.48,167.2,0.3696,1
CDN-001,2023-07-28,299.23,267.63,163.29,0.3702,1
CDN-001,2023-07-29,318.73,296.18,190.93,0.3709,1
CDN-001,2023-07-30,327.88,304.04,186.61,0.3716,1
CDN-001,2023-07-31,329.42,281.0,172.42,0.3722,1
CDN-001,2023-08-01,292.23,228.34,174.67,0.3729,1
CDN-001,2023-08-02,287.68,269.0,179.63,0.3735,1
CDN-001,2023-08-03,335.98,284.89,174.8,0.3742,1
CDN-001,2023-08-04,297.42,284.5,185.23,0.3748,1
CDN-001,2023-08-05,314.64,277.99,175.51,0.3755,1
CDN-001,2023-08-06,334.79,294.75,202.56,0.3761,1
CDN-001,2023-08-07,329.6,279.56,191.1,0.3768,1
CDN-001,2023-08-08,281.89,254.96,158.86,0.3774,1
CDN-001,2023-08-09,293.34,252.69,161.07,0.3781,1
CDN-001,2023-08-10,294.54,251.88,201.45,0.3788,1
CDN-001,2023-08-11,292.9,241.48,187.3,0.3794,1
CDN-001,2023-08-12,328.18,282.91,202.83,0.3801,1
CDN-001,2023-08-13,338.75,301.54,207.93,0.3807,1
CDN-001,2023-08-14,305.02,270.05,203.64,0.3814,1
CDN-001,2023-08-15,306.79,299.71,202.76,0.382,1
CDN-001,2023-08-16,317.66,311.03,189.26,0.3827,1
CDN-001,2023-08-17,307.06,250.98,187.64,0.3833,1
CDN-001,2023-08-18,305.96,281.25,192.03,0.384,1
CDN-001,2023-08-19,309.64,262.35,193.31,0.3847,1
CDN-001,2023-08-20,302.77,272.87,198.05,0.3853,1
CDN-001,2023-08-21,293.69,257.57,165.2,0.386,1
CDN-001,2023-08-22,285.94,244.8,160.15,0.3866,1
CDN-001,2023-08-23,311.99,283.17,175.39,0.3873,1
CDN-001,2023-08-24,306.86,275.81,176.08,0.3879,1
CDN-001,2023-08-25,317.23,279.03,189.51,0.3886,1
CDN-001,2023-08-26,308.47,264.51,208.99,0.3892,1
CDN-001,2023-08-27,307.26,256.69,196.67,0.3899,1
CDN-001,2023-08-28,292.31,274.05,193.02,0.3905,1
CDN-001,2023-08-29,310.73,267.25,178.32,0.3912,1
CDN-001,2023-08-30,333.37,292.51,239.2,0.3919,1
CDN-001,2023-08-31,301.2,256.85,184.81,0.3925,1
CDN-001,2023-09-01,302.4,264.73,188.71,0.3932,1
CDN-001,2023-09-02,316.98,272.66,221.98,0.3938,1
CDN-001,2023-09-03,280.17,252.95,185.74,0.3945,1
CDN-001,2023-09-04,327.63,300.93,240.35,0.3951,1
CDN-001,2023-09-05,297.91,276.07,215.22,0.3958,1
CDN-001,2023-09-06,335.2,335.43,197.24,0.3964,1
CDN-001,2023-09-07,309.7,280.25,215.31,0.3971,1
CDN-001,2023-09-08,308.15,248.18,209.98,0.3978,1
CDN-001,2023-09-09,312.6,273.17,218.14,0.3984,1
CDN-001,2023-09-10,282.02,266.68,209.17,0.3991,1
CDN-001,2023-09-11,307.88,279.17,202.07,0.3997,1
CDN-001,2023-09-12,329.99,299.87,207.95,0.4004,1
CDN-001,2023-09-13,305.75,275.84,230.77,0.401,1
CDN-001,2023-09-14,324.29,265.73,208.25,0.4017,1
CDN-001,2023-09-15,306.66,276.31,199.4,0.4023,1
CDN-001,2023-09-16,335.78,307.69,240.72,0.403,1
CDN-001,2023-09-17,318.32,280.99,198.39,0.4036,1
CDN-001,2023-09-18,291.21,265.21,224.46,0.4043,1
CDN-001,2023-09-19,301.55,291.69,218.71,0.405,1
CDN-001,2023-09-20,296.62,266.68,189.85,0.4056,1
CDN-001,2023-09-21,285.14,241.52,197.26,0.4063,1
CDN-001,2023-09-22,298.01,252.04,203.01,0.4069,1
CDN-001,2023-09-23,286.68,259.62,202.19,0.4076,1
CDN-001,2023-09-24,277.01,253.2,194.77,0.4082,1
CDN-001,2023-09-25,321.22,284.17,233.97,0.4089,1
CDN-001,2023-09-26,299.25,256.1,203.36,0.4095,1
CDN-001,2023-09-27,322.55,272.61,215.03,0.4102,1
CDN-001,2023-09-28,313.35,284.39,234.76,0.4109,1
CDN-001,2023-09-29,317.18,275.64,197.92,0.4115,1
CDN-001,2023-09-30,312.88,281.52,224.21,0.4122,1
CDN-001,2023-10-01,326.53,268.9,225.57,0.4128,1
CDN-001,2023-10-02,310.71,291.41,239.67,0.4135,1
CDN-001,2023-10-03,305.36,279.86,224.02,0.4141,1
CDN-001,2023-10-04,285.57,238.4,216.68,0.4148,1
CDN-001,2023-10-05,300.05,268.77,222.3,0.4154,1
CDN-001,2023-10-06,303.38,278.23,203.81,0.4161,1
CDN-001,2023-10-07,292.6,259.7,176.07,0.4167,1
CDN-001,2023-10-08,275.49,222.58,202.57,0.4174,1
CDN-001,2023-10-09,287.25,255.4,217.08,0.4181,1
CDN-001,2023-10-10,305.28,272.42,234.6,0.4187,1
CDN-001,2023-10-11,319.18,295.54,219.64,0.4194,1
CDN-001,2023-10-12,294.99,260.09,217.42,0.42,1
CDN-001,2023-10-13,275.2,248.86,217.08,0.4207,1
CDN-001,2023-10-14,318.12,281.62,212.31,0.4213,1
CDN-001,2023-10-15,265.44,237.57,210.68,0.422,1
CDN-001,2023-10-16,290.57,281.82,189.12,0.4226,1
CDN-001,2023-10-17,296.07,260.35,223.5,0.4233,1
CDN-001,2023-10-18,278.04,243.93,202.33,0.424,1
CDN-001,2023-10-19,298.82,264.73,221.63,0.4246,1
CDN-001,2023-10-20,309.0,253.32,229.56,0.4253,1
CDN-001,2023-10-21,275.65,242.48,189.37,0.4259,1
CDN-001,2023-10-22,287.44,260.05,219.56,0.4266,1
CDN-001,2023-10-23,294.09,269.01,224.21,0.4272,1
CDN-001,2023-10-24,303.45,267.51,242.88,0.4279,1
CDN-001,2023-10-25,326.77,293.82,253.35,0.4285,1
CDN-001,2023-10-26,284.39,260.48,223.11,0.4292,1
CDN-001,2023-10-27,320.31,283.86,223.43,0.4298,1
CDN-001,2023-10-28,0.0,0.0,0.0,0.4305,0
CDN-001,2023-10-29,0.0,0.0,0.0,0.4312,0
CDN-001,2023-10-30,0.0,0.0,0.0,0.4318,0
CDN-001,2023-10-31,0.0,0.0,0.0,0.4325,0
CDN-001,2023-11-01,318.1,272.45,211.88,0.4331,1
CDN-001,2023-11-02,284.25,246.57,229.84,0.4338,1
CDN-001,2023-11-03,283.18,227.96,214.41,0.4344,1
CDN-001,2023-11-04,291.25,263.46,244.6,0.4351,1
CDN-001,2023-11-05,0.0,0.0,0.0,0.4357,0
CDN-001,2023-11-06,296.64,249.85,225.8,0.4364,1
CDN-001,2023-11-07,302.79,267.09,245.02,0.4371,1
CDN-001,2023-11-08,271.17,245.52,211.84,0.4377,1
CDN-001,2023-11-09,265.62,230.13,228.59,0.4384,1
CDN-001,2023-11-10,316.63,281.15,261.89,0.439,1
CDN-001,2023-11-11,278.09,246.52,220.44,0.4397,1
CDN-001,2023-11-12,283.9,248.35,241.49,0.4403,1
CDN-001,2023-11-13,330.11,271.24,233.77,0.441,1
CDN-001,2023-11-14,305.33,280.1,252.1,0.4416,1
CDN-001,2023-11-15,307.89,266.41,254.61,0.4423,1
CDN-001,2023-11-16,268.09,242.02,196.38,0.4429,1
CDN-001,2023-11-17,304.36,272.19,257.83,0.4436,1
CDN-001,2023-11-18,298.67,256.16,258.98,0.4443,1
CDN-001,2023-11-19,319.62,272.38,245.85,0.4449,1
CDN-001,2023-11-20,295.16,254.15,259.36,0.4456,1
CDN-001,2023-11-21,285.18,250.79,226.33,0.4462,1
CDN-001,2023-11-22,291.24,271.49,227.73,0.4469,1
CDN-001,2023-11-23,296.68,256.76,260.89,0.4475,1
CDN-001,2023-11-24,275.77,236.26,214.85,0.4482,1
CDN-001,2023-11-25,290.01,262.9,236.93,0.4488,1
CDN-001,2023-11-26,308.67,279.94,240.19,0.4495,1
CDN-001,2023-11-27,307.05,252.9,270.75,0.4501,1
CDN-001,2023-11-28,306.56,277.08,260.17,0.4508,1
CDN-001,2023-11-29,303.51,264.86,249.29,0.4515,1
CDN-001,2023-11-30,266.09,243.71,194.19,0.4521,1
CDN-001,2023-12-01,315.72,269.16,251.92,0.4528,1
CDN-001,2023-12-02,285.78,245.73,242.37,0.4534,1
CDN-001,2023-12-03,289.9,260.58,262.44,0.4541,1
CDN-001,2023-12-04,269.7,246.21,229.8,0.4547,1
CDN-001,2023-12-05,303.61,263.42,221.85,0.4554,1
CDN-001,2023-12-06,306.44,289.03,250.32,0.456,1
CDN-001,2023-12-07,284.49,258.53,232.41,0.4567,1
CDN-001,2023-12-08,269.49,242.58,206.77,0.4574,1
CDN-001,2023-12-09,295.23,250.41,249.07,0.458,1
CDN-001,2023-12-10,278.8,233.77,234.48,0.4587,1
CDN-001,2023-12-11,288.18,268.46,247.66,0.4593,1
CDN-001,2023-12-12,329.22,301.77,260.87,0.46,1
CDN-001,2023-12-13,286.15,253.99,264.42,0.4606,1
CDN-001,2023-12-14,299.35,252.86,250.56,0.4613,1
CDN-001,2023-12-15,283.56,262.12,235.27,0.4619,1
CDN-001,2023-12-16,314.36,269.26,289.81,0.4626,1
CDN-001,2023-12-17,289.86,245.37,247.02,0.4632,1
CDN-001,2023-12-18,299.41,250.83,278.21,0.4639,1
CDN-001,2023-12-19,298.54,250.6,246.39,0.4646,1
CDN-001,2023-12-20,322.46,275.72,271.23,0.4652,1
CDN-001,2023-12-21,313.18,271.2,289.97,0.4659,1
CDN-001,2023-12-22,297.43,249.29,260.12,0.4665,1
CDN-001,2023-12-23,314.71,279.67,270.32,0.4672,1
CDN-001,2023-12-24,291.43,274.21,244.29,0.4678,1
CDN-001,2023-12-25,296.11,264.74,269.54,0.4685,1
CDN-001,2023-12-26,277.36,246.95,250.75,0.4691,1
CDN-001,2023-12-27,307.01,277.47,266.23,0.4698,1
CDN-001,2023-12-28,297.82,260.94,260.02,0.4705,1
CDN-001,2023-12-29,276.81,247.32,235.3,0.4711,1
CDN-001,2023-12-30,285.91,273.51,292.68,0.4718,1
CDN-001,2023-12-31,285.55,261.11,261.9,0.4724,1
CDN-001,2024-01-01,306.19,281.87,292.41,0.4731,1
CDN-001,2024-01-02,295.69,268.79,268.38,0.4737,1
CDN-001,2024-01-03,295.86,255.96,264.89,0.4744,1
CDN-001,2024-01-04,293.09,275.69,303.09,0.475,1
CDN-001,2024-01-05,280.09,255.12,259.49,0.4757,1
CDN-001,2024-01-06,284.25,238.56,231.71,0.4763,1
CDN-001,2024-01-07,321.23,275.25,307.67,0.477,1
CDN-001,2024-01-08,272.06,256.74,234.23,0.4777,1
CDN-001,2024-01-09,294.54,289.06,271.17,0.4783,1
CDN-001,2024-01-10,290.27,262.68,250.5,0.479,1
CDN-001,2024-01-11,297.42,270.57,290.69,0.4796,1
CDN-001,2024-01-12,304.89,265.25,256.99,0.4803,1
CDN-001,2024-01-13,279.08,235.04,241.5,0.4809,1
CDN-001,2024-01-14,276.31,250.85,244.06,0.4816,1
CDN-001,2024-01-15,302.28,280.34,262.77,0.4822,1
CDN-001,2024-01-16,308.24,270.74,295.72,0.4829,1
CDN-001,2024-01-17,298.32,284.86,301.8,0.4836,1
CDN-001,2024-01-18,299.32,250.9,263.08,0.4842,1
CDN-001,2024-01-19,286.5,240.56,254.34,0.4849,1
CDN-001,2024-01-20,270.08,241.4,230.69,0.4855,1
CDN-001,2024-01-21,304.9,264.37,297.06,0.4862,1
CDN-001,2024-01-22,284.24,249.92,274.83,0.4868,1
CDN-001,2024-01-23,309.3,261.15,289.93,0.4875,1
CDN-001,2024-01-24,265.5,247.49,262.21,0.4881,1
CDN-001,2024-01-25,307.58,259.95,287.12,0.4888,1
CDN-001,2024-01-26,272.18,237.5,259.78,0.4895,1
CDN-001,2024-01-27,297.02,271.69,295.11,0.4901,1
CDN-001,2024-01-28,296.98,254.24,270.88,0.4908,1
CDN-001,2024-01-29,311.6,274.34,293.88,0.4914,1
CDN-001,2024-01-30,267.85,236.69,263.36,0.4921,1
CDN-001,2024-01-31,269.88,229.11,249.15,0.4927,1
CDN-001,2024-02-01,305.65,267.47,294.87,0.4934,1
CDN-001,2024-02-02,275.92,253.28,262.44,0.494,1
CDN-001,2024-02-03,306.73,263.87,275.93,0.4947,1
CDN-001,2024-02-04,312.37,284.41,327.67,0.4953,1
CDN-001,2024-02-05,261.01,222.01,242.05,0.496,1
CDN-001,2024-02-06,284.39,249.31,290.6,0.4967,1
CDN-001,2024-02-07,255.03,223.0,262.97,0.4973,1
CDN-001,2024-02-08,305.56,275.9,320.02,0.498,1
CDN-001,2024-02-09,285.67,244.65,282.17,0.4986,1
CDN-001,2024-02-10,312.16,292.28,323.64,0.4993,1
CDN-001,2024-02-11,286.2,252.68,298.63,0.4999,1
CDN-001,2024-02-12,284.67,235.89,282.73,0.5006,1
CDN-001,2024-02-13,274.22,248.94,280.59,0.5012,1
CDN-001,2024-02-14,280.59,252.33,282.89,0.5019,1
CDN-001,2024-02-15,287.33,260.01,283.03,0.5026,1
CDN-001,2024-02-16,275.39,249.66,250.56,0.5032,1
CDN-001,2024-02-17,0.0,0.0,0.0,0.5039,0
CDN-001,2024-02-18,268.84,231.46,279.56,0.5045,1
CDN-001,2024-02-19,278.51,260.93,303.58,0.5052,1
CDN-001,2024-02-20,263.14,240.5,271.08,0.5058,1
CDN-001,2024-02-21,268.53,238.8,277.81,0.5065,1
CDN-001,2024-02-22,302.03,274.02,292.03,0.5071,1
CDN-001,2024-02-23,280.91,239.63,300.36,0.5078,1
CDN-001,2024-02-24,280.13,265.69,265.81,0.5084,1
CDN-001,2024-02-25,277.61,252.62,282.8,0.5091,1
CDN-001,2024-02-26,270.66,241.56,300.21,0.5098,1
CDN-001,2024-02-27,276.21,244.62,292.14,0.5104,1
CDN-001,2024-02-28,265.35,208.45,277.96,0.5111,1
CDN-001,2024-02-29,300.98,249.41,327.64,0.5117,1
CDN-001,2024-03-01,332.26,309.78,353.78,0.5124,1
CDN-001,2024-03-02,272.19,242.97,309.94,0.513,1
CDN-001,2024-03-03,288.01,264.28,295.34,0.5137,1
CDN-001,2024-03-04,308.75,291.13,331.27,0.5143,1
CDN-001,2024-03-05,275.6,229.95,318.97,0.515,1
CDN-001,2024-03-06,301.96,273.54,294.5,0.5157,1
CDN-001,2024-03-07,252.57,224.22,274.06,0.5163,1
CDN-001,2024-03-08,310.55,280.98,353.34,0.517,1
CDN-001,2024-03-09,280.06,227.57,323.1,0.5176,1
CDN-001,2024-03-10,309.46,275.36,323.82,0.5183,1
CDN-001,2024-03-11,285.36,246.36,271.52,0.5189,1
