sumur_id,tanggal_mulai,durasi_hari,penyebab,kategori
CDN-007,2023-04-05,1,Power Outage,Tidak Terencana
CDN-008,2024-02-18,1,Power Outage,Tidak Terencana
CDN-008,2025-01-29,2,Weather,Tidak Terencana
CDN-008,2024-04-12,1,Pump Failure,Tidak Terencana
CDN-008,2026-06-17,1,Pump Failure,Tidak Terencana
CDN-008,2024-07-31,3,Sand Production,Tidak Terencana
CDN-008,2024-03-03,1,Power Outage,Tidak Terencana
CDN-009,2026-04-02,1,Power Outage,Tidak Terencana
CDN-009,2025-09-27,1,Pump Failure,Tidak Terencana
CDN-009,2023-05-07,2,Sand Production,Tidak Terencana
CDN-009,2024-01-21,6,Power Outage,Tidak Terencana
CDN-009,2023-10-13,1,Weather,Tidak Terencana
CDN-010,2023-12-13,4,Flowline Leak,Tidak Terencana
CDN-010,2024-04-20,1,Flowline Leak,Tidak Terencana
CDN-010,2024-08-07,1,Pump Failure,Tidak Terencana
CDN-010,2023-03-27,2,Facility Shutdown,Terencana
CDN-010,2025-05-22,3,Power Outage,Tidak Terencana
CDN-010,2025-06-04,9,Pump Failure,Tidak Terencana
CDN-011,2026-01-08,1,Facility Shutdown,Terencana
CDN-011,2025-02-01,1,Power Outage,Tidak Terencana
CDN-011,2023-07-12,4,Sand Production,Tidak Terencana
CDN-011,2025-08-17,2,Pump Failure,Tidak Terencana
CDN-011,2025-08-12,2,Pump Failure,Tidak Terencana
CDN-011,2024-05-07,1,Facility Shutdown,Terencana
CDN-012,2024-08-19,2,Pump Failure,Tidak Terencana
CDN-012,2025-01-13,2,Facility Shutdown,Terencana
CDN-012,2025-07-01,2,Facility Shutdown,Terencana
CDN-012,2026-01-23,3,Pump Failure,Tidak Terencana
CDN-012,2023-10-28,4,Flowline Leak,Tidak Terencana
CDN-013,2026-05-30,1,Facility Shutdown,Terencana
CDN-013,2025-03-01,2,Facility Shutdown,Terencana
CDN-013,2025-12-05,2,Pump Failure,Tidak Terencana
CDN-013,2025-03-04,2,Power Outage,Tidak Terencana
CDN-013,2024-10-28,2,Facility Shutdown,Terencana
CDN-013,2025-05-19,1,Flowline Leak,Tidak Terencana
CDN-013,2025-12-25,2,Power Outage,Tidak Terencana
CDN-014,2025-08-27,2,Pump Failure,Tidak Terencana
CDN-014,2025-01-22,1,Flowline Leak,Tidak Terencana
CDN-015,2026-01-07,2,Power Outage,Tidak Terencana
CDN-015,2024-12-27,4,Power Outage,Tidak Terencana
CDN-015,2024-06-22,4,Pump Failure,Tidak Terencana
CDN-015,2024-07-13,1,Facility Shutdown,Terencana
CDN-015,2024-08-26,1,Pump Failure,Tidak Terencana
CDN-015,2026-04-02,1,Facility Shutdown,Terencana
CDN-015,2023-04-22,1,Flowline Leak,Tidak Terencana
CDN-017,2024-01-12,9,Facility Shutdown,Terencana
CDN-017,2026-04-17,1,Facility Shutdown,Terencana
CDN-017,2023-04-05,1,Sand Production,Tidak Terencana
CDN-017,2024-12-09,1,Power Outage,Tidak Terencana
CDN-017,2024-01-23,1,Flowline Leak,Tidak Terencana
CDN-018,2026-01-24,1,Power Outage,Tidak Terencana
CDN-018,2026-02-03,1,Pump Failure,Tidak Terencana
CDN-019,2023-09-27,4,Sand Production,Tidak Terencana
CDN-019,2024-03-25,2,Weather,Tidak Terencana
CDN-019,2024-09-13,1,Pump Failure,Tidak Terencana
CDN-019,2024-06-20,3,Flowline Leak,Tidak Terencana
CDN-019,2024-04-04,3,Sand Production,Tidak Terencana
CDN-019,2024-09-30,1,Facility Shutdown,Terencana
CDN-019,2023-10-21,6,Weather,Tidak Terencana
CDN-020,2023-02-16,1,Pump Failure,Tidak Terencana
CDN-020,2026-03-18,1,Pump Failure,Tidak Terencana
CDN-020,2025-05-13,2,Pump Failure,Tidak Terencana
CDN-020,2023-05-27,6,Sand Production,Tidak Terencana
CDN-021,2024-11-21,1,Pump Failure,Tidak Terencana
CDN-021,2023-02-21,1,Weather,Tidak Terencana
CDN-021,2024-07-28,1,Weather,Tidak Terencana
CDN-021,2025-01-16,1,Pump Failure,Tidak Terencana
CDN-021,2025-03-08,2,Pump Failure,Tidak Terencana
CDN-022,2023-05-22,1,Sand Production,Tidak Terencana
CDN-022,2024-05-23,1,Pump Failure,Tidak Terencana
CDN-022,2024-12-09,2,Pump Failure,Tidak Terencana
CDN-022,2024-05-31,2,Facility Shutdown,Terencana
CDN-022,2026-01-19,1,Power Outage,Tidak Terencana
CDN-023,2024-02-06,1,Sand Production,Tidak Terencana
CDN-024,2023-02-15,2,Weather,Tidak Terencana
CDN-024,2025-09-14,1,Pump Failure,Tidak Terencana
CDN-024,2023-10-08,6,Weather,Tidak Terencana
CDN-024,2023-09-13,1,Power Outage,Tidak Terencana
CDN-024,2024-04-29,3,Pump Failure,Tidak Terencana
CDN-025,2026-01-12,1,Facility Shutdown,Terencana
CDN-025,2024-11-17,1,Sand Production,Tidak Terencana
CDN-025,2026-04-28,2,Weather,Tidak Terencana
CDN-025,2026-04-06,2,Weather,Tidak Terencana
CDN-025,2024-01-15,9,Pump Failure,Tidak Terencana
CDN-026,2025-02-26,1,Weather,Tidak Terencana
CDN-026,2023-11-24,6,Power Outage,Tidak Terencana
CDN-026,2024-01-31,1,Flowline Leak,Tidak Terencana
CDN-026,2026-05-08,1,Pump Failure,Tidak Terencana
CDN-026,2024-01-10,6,Pump Failure,Tidak Terencana
CDN-026,2025-08-13,4,Power Outage,Tidak Terencana
CDN-026,2023-01-24,1,Pump Failure,Tidak Terencana
CDN-026,2025-12-28,1,Power Outage,Tidak Terencana
CDN-027,2025-02-21,2,Flowline Leak,Tidak Terencana
CDN-028,2026-05-30,1,Pump Failure,Tidak Terencana
CDN-028,2026-06-23,6,Flowline Leak,Tidak Terencana
CDN-028,2026-02-06,9,Pump Failure,Tidak Terencana
CDN-028,2025-04-01,2,Facility Shutdown,Terencana
CDN-029,2026-02-16,1,Flowline Leak,Tidak Terencana
CDN-029,2026-02-03,1,Sand Production,Tidak Terencana
CDN-029,2024-11-09,1,Power Outage,Tidak Terencana
CDN-029,2023-01-18,1,Pump Failure,Tidak Terencana
CDN-030,2025-06-17,9,Pump Failure,Tidak Terencana
CDN-030,2023-04-15,2,Facility Shutdown,Terencana
CDN-030,2023-09-23,1,Weather,Tidak Terencana
CDN-030,2023-08-24,1,Pump Failure,Tidak Terencana
CDN-030,2024-09-24,1,Power Outage,Tidak Terencana
CDN-030,2026-03-10,2,Power Outage,Tidak Terencana
CDN-031,2024-11-04,2,Sand Production,Tidak Terencana
CDN-031,2025-09-22,1,Flowline Leak,Tidak Terencana
CDN-032,2023-03-03,1,Power Outage,Tidak Terencana
CDN-032,2024-05-05,9,Flowline Leak,Tidak Terencana
CDN-032,2026-03-06,1,Pump Failure,Tidak Terencana
CDN-032,2024-10-24,6,Pump Failure,Tidak Terencana
CDN-032,2025-02-13,1,Power Outage,Tidak Terencana
CDN-033,2024-11-09,4,Pump Failure,Tidak Terencana
CDN-033,2026-04-15,2,Flowline Leak,Tidak Terencana
CDN-033,2023-12-01,1,Sand Production,Tidak Terencana
CDN-033,2025-01-16,1,Power Outage,Tidak Terencana
CDN-033,2024-08-17,1,Pump Failure,Tidak Terencana
CDN-033,2023-06-12,2,Facility Shutdown,Terencana
CDN-033,2024-04-08,1,Pump Failure,Tidak Terencana
CDN-033,2023-06-28,1,Sand Production,Tidak Terencana
CDN-034,2025-11-28,1,Facility Shutdown,Terencana
CDN-034,2025-08-10,1,Facility Shutdown,Terencana
CDN-034,2026-03-07,6,Flowline Leak,Tidak Terencana
CDN-034,2025-04-01,3,Flowline Leak,Tidak Terencana
CDN-034,2025-12-07,2,Weather,Tidak Terencana
CDN-034,2025-10-21,2,Pump Failure,Tidak Terencana
CDN-034,2025-10-02,2,Facility Shutdown,Terencana
CDN-034,2025-03-07,1,Power Outage,Tidak Terencana
CDN-034,2024-06-24,1,Weather,Tidak Terencana
CDN-034,2026-04-24,2,Weather,Tidak Terencana
CDN-035,2023-09-09,2,Pump Failure,Tidak Terencana
CDN-035,2023-08-03,1,Pump Failure,Tidak Terencana
CDN-035,2025-02-27,1,Flowline Leak,Tidak Terencana
CDN-035,2023-02-05,1,Sand Production,Tidak Terencana
CDN-035,2023-04-21,1,Sand Production,Tidak Terencana
CDN-035,2025-10-31,3,Flowline Leak,Tidak Terencana
CDN-035,2025-02-03,3,Facility Shutdown,Terencana
CDN-036,2024-09-07,1,Weather,Tidak Terencana
CDN-036,2024-11-05,1,Sand Production,Tidak Terencana
CDN-036,2025-01-17,4,Sand Production,Tidak Terencana
CDN-036,2023-08-24,1,Facility Shutdown,Terencana
CDN-036,2023-10-15,1,Power Outage,Tidak Terencana
CDN-036,2023-01-11,4,Facility Shutdown,Terencana
CDN-036,2024-10-01,4,Power Outage,Tidak Terencana
CDN-036,2024-01-10,6,Weather,Tidak Terencana
CDN-036,2024-10-03,1,Sand Production,Tidak Terencana
CDN-036,2023-02-17,1,Power Outage,Tidak Terencana
CDN-037,2026-01-09,2,Weather,Tidak Terencana
CDN-037,2023-11-21,1,Pump Failure,Tidak Terencana
CDN-037,2024-11-24,4,Sand Production,Tidak Terencana
CDN-037,2025-10-27,1,Facility Shutdown,Terencana
CDN-037,2026-05-04,1,Facility Shutdown,Terencana
CDN-037,2025-01-21,4,Pump Failure,Tidak Terencana
CDN-037,2024-04-23,2,Weather,Tidak Terencana
CDN-037,2026-01-18,2,Weather,Tidak Terencana
CDN-038,2024-11-29,1,Sand Production,Tidak Terencana
CDN-038,2024-08-27,1,Power Outage,Tidak Terencana
CDN-038,2024-11-04,1,Power Outage,Tidak Terencana
CDN-038,2025-05-20,1,Weather,Tidak Terencana
CDN-040,2024-08-11,2,Pump Failure,Tidak Terencana
CDN-040,2024-08-23,2,Flowline Leak,Tidak Terencana
CDN-040,2025-08-28,2,Pump Failure,Tidak Terencana
CDN-040,2024-08-25,6,Pump Failure,Tidak Terencana
CDN-041,2025-04-17,4,Weather,Tidak Terencana
CDN-041,2025-07-11,1,Pump Failure,Tidak Terencana
CDN-041,2023-01-18,3,Sand Production,Tidak Terencana
CDN-043,2024-04-05,2,Facility Shutdown,Terencana
CDN-043,2024-06-17,1,Flowline Leak,Tidak Terencana
CDN-043,2026-05-19,1,Weather,Tidak Terencana
CDN-043,2025-04-07,1,Flowline Leak,Tidak Terencana
CDN-043,2025-12-26,1,Pump Failure,Tidak Terencana
CDN-044,2023-06-08,3,Flowline Leak,Tidak Terencana
CDN-044,2025-07-18,1,Power Outage,Tidak Terencana
CDN-044,2023-01-30,1,Facility Shutdown,Terencana
CDN-044,2024-01-23,1,Pump Failure,Tidak Terencana
CDN-044,2023-11-14,2,Weather,Tidak Terencana
CDN-044,2025-05-08,1,Pump Failure,Tidak Terencana
CDN-045,2024-05-03,1,Weather,Tidak Terencana
CDN-045,2025-10-08,1,Pump Failure,Tidak Terencana
CDN-045,2025-08-04,1,Power Outage,Tidak Terencana
CDN-045,2023-12-11,1,Sand Production,Tidak Terencana
CDN-045,2024-03-27,1,Facility Shutdown,Terencana
CDN-046,2023-10-26,2,Facility Shutdown,Terencana
CDN-046,2024-05-31,1,Power Outage,Tidak Terencana
CDN-046,2024-08-03,1,Sand Production,Tidak Terencana
CDN-046,2026-05-31,2,Facility Shutdown,Terencana
CDN-046,2023-02-10,4,Pump Failure,Tidak Terencana
CDN-047,2026-03-19,1,Power Outage,Tidak Terencana
CDN-047,2025-11-15,1,Sand Production,Tidak Terencana
CDN-047,2023-04-26,1,Pump Failure,Tidak Terencana
CDN-047,2023-05-10,3,Pump Failure,Tidak Terencana
CDN-047,2023-09-08,1,Pump Failure,Tidak Terencana
CDN-047,2023-08-12,1,Pump Failure,Tidak Terencana
CDN-048,2023-06-15,2,Facility Shutdown,Terencana
CDN-048,2026-03-16,3,Power Outage,Tidak Terencana
CDN-048,2023-11-02,1,Flowline Leak,Tidak Terencana
CDN-048,2023-12-24,9,Pump Failure,Tidak Terencana
CDN-048,2024-02-26,6,Pump Failure,Tidak Terencana
CDN-048,2025-09-28,4,Sand Production,Tidak Terencana
CDN-048,2024-04-12,1,Facility Shutdown,Terencana
CDN-049,2023-06-08,1,Power Outage,Tidak Terencana
CDN-049,2024-10-25,2,Power Outage,Tidak Terencana
CDN-049,2025-10-08,1,Pump Failure,Tidak Terencana
CDN-049,2023-11-07,1,Flowline Leak,Tidak Terencana
CDN-049,2025-12-04,1,Flowline Leak,Tidak Terencana
CDN-049,2025-02-28,1,Pump Failure,Tidak Terencana
CDN-050,2023-02-03,2,Facility Shutdown,Terencana
CDN-050,2025-09-21,1,Pump Failure,Tidak Terencana
CDN-050,2024-04-04,2,Power Outage,Tidak Terencana
CDN-050,2025-02-09,1,Pump Failure,Tidak Terencana
CDN-051,2025-09-27,2,Power Outage,Tidak Terencana
CDN-051,2025-11-15,1,Pump Failure,Tidak Terencana
CDN-051,2023-12-20,9,Weather,Tidak Terencana
CDN-051,2025-05-28,2,Power Outage,Tidak Terencana
CDN-051,2023-02-03,1,Sand Production,Tidak Terencana
CDN-051,2024-01-19,2,Flowline Leak,Tidak Terencana
CDN-051,2025-03-26,2,Power Outage,Tidak Terencana
CDN-052,2025-12-29,6,Pump Failure,Tidak Terencana
CDN-052,2025-02-23,2,Power Outage,Tidak Terencana
CDN-053,2023-03-13,1,Power Outage,Tidak Terencana
CDN-053,2023-03-28,2,Power Outage,Tidak Terencana
CDN-053,2024-11-01,2,Flowline Leak,Tidak Terencana
CDN-053,2025-01-03,2,Facility Shutdown,Terencana
CDN-053,2024-09-27,1,Pump Failure,Tidak Terencana
CDN-054,2025-06-20,1,Sand Production,Tidak Terencana
CDN-054,2024-04-13,2,Facility Shutdown,Terencana
CDN-054,2026-03-31,3,Pump Failure,Tidak Terencana
CDN-054,2023-11-19,6,Pump Failure,Tidak Terencana
CDN-054,2023-02-06,9,Weather,Tidak Terencana
CDN-054,2023-06-23,2,Pump Failure,Tidak Terencana
CDN-056,2025-04-04,2,Weather,Tidak Terencana
CDN-056,2024-07-11,1,Pump Failure,Tidak Terencana
CDN-056,2025-01-09,1,Power Outage,Tidak Terencana
CDN-056,2024-11-08,1,Facility Shutdown,Terencana
CDN-056,2026-01-18,1,Weather,Tidak Terencana
CDN-057,2025-03-03,2,Power Outage,Tidak Terencana
CDN-057,2026-01-28,1,Power Outage,Tidak Terencana
CDN-057,2025-08-24,1,Power Outage,Tidak Terencana
CDN-057,2025-09-24,1,Pump Failure,Tidak Terencana
CDN-057,2026-02-11,4,Facility Shutdown,Terencana
CDN-059,2023-04-05,1,Flowline Leak,Tidak Terencana
CDN-059,2023-03-19,2,Facility Shutdown,Terencana
CDN-059,2026-01-21,2,Flowline Leak,Tidak Terencana
CDN-059,2023-09-19,2,Weather,Tidak Terencana
CDN-059,2023-02-06,1,Pump Failure,Tidak Terencana
CDN-059,2023-07-21,1,Pump Failure,Tidak Terencana
CDN-059,2023-01-03,2,Facility Shutdown,Terencana
CDN-059,2023-05-18,1,Pump Failure,Tidak Terencana
CDN-060,2026-03-15,1,Sand Production,Tidak Terencana
CDN-060,2025-11-30,1,Power Outage,Tidak Terencana
CDN-060,2024-04-18,1,Pump Failure,Tidak Terencana
CDN-060,2024-01-15,2,Facility Shutdown,Terencana
CDN-060,2025-04-13,1,Weather,Tidak Terencana
CDN-060,2026-02-21,6,Power Outage,Tidak Terencana
CDN-060,2024-02-11,3,Weather,Tidak Terencana
CDN-060,2026-04-10,1,Power Outage,Tidak Terencana
CDN-060,2023-04-12,1,Flowline Leak,Tidak Terencana
CDN-060,2024-09-19,2,Pump Failure,Tidak Terencana
CDN-061,2025-09-02,1,Power Outage,Tidak Terencana
CDN-061,2024-04-13,3,Power Outage,Tidak Terencana
CDN-061,2025-07-01,2,Weather,Tidak Terencana
CDN-061,2024-05-13,2,Pump Failure,Tidak Terencana
CDN-061,2024-02-15,1,Pump Failure,Tidak Terencana
CDN-061,2023-09-21,2,Pump Failure,Tidak Terencana
CDN-061,2023-05-22,2,Weather,Tidak Terencana
CDN-062,2023-02-27,1,Pump Failure,Tidak Terencana
CDN-062,2024-09-14,3,Pump Failure,Tidak Terencana
CDN-062,2024-03-22,2,Weather,Tidak Terencana
CDN-062,2026-02-14,2,Power Outage,Tidak Terencana
CDN-062,2023-12-26,4,Facility Shutdown,Terencana
CDN-062,2023-02-24,1,Pump Failure,Tidak Terencana
CDN-062,2023-08-19,1,Facility Shutdown,Terencana
CDN-062,2023-01-18,1,Pump Failure,Tidak Terencana
CDN-063,2025-09-23,4,Sand Production,Tidak Terencana
CDN-063,2023-09-01,2,Flowline Leak,Tidak Terencana
CDN-063,2023-01-09,1,Facility Shutdown,Terencana
CDN-063,2023-02-21,1,Facility Shutdown,Terencana
CDN-063,2026-03-20,1,Weather,Tidak Terencana
CDN-063,2026-06-08,1,Power Outage,Tidak Terencana
CDN-063,2026-04-26,3,Pump Failure,Tidak Terencana
CDN-063,2023-08-15,1,Flowline Leak,Tidak Terencana
CDN-063,2023-08-28,1,Facility Shutdown,Terencana
CDN-064,2023-04-14,1,Pump Failure,Tidak Terencana
CDN-064,2025-10-09,1,Pump Failure,Tidak Terencana
CDN-064,2024-11-04,1,Pump Failure,Tidak Terencana
CDN-064,2025-07-12,1,Flowline Leak,Tidak Terencana
CDN-064,2026-04-22,2,Flowline Leak,Tidak Terencana
CDN-064,2024-09-01,1,Weather,Tidak Terencana
