workover_id,sumur_id,tanggal_mulai,jenis_pekerjaan,durasi_hari,biaya_usd,faktor_kenaikan
WO-0028,CDN-018,2024-04-29,Acidizing,11,987162,1.432
WO-0029,CDN-019,2023-10-01,ESP Replacement,4,1359027,1.294
WO-0030,CDN-019,2025-08-26,ESP Replacement,7,991670,1.223
WO-0031,CDN-021,2025-06-07,Reperforation,5,1278094,1.388
WO-0032,CDN-021,2023-11-09,Acidizing,3,752204,1.314
WO-0033,CDN-021,2024-08-02,Reperforation,5,856834,1.142
WO-0034,CDN-022,2024-12-08,Zone Change,9,795296,1.263
WO-0035,CDN-022,2025-08-05,Acidizing,8,983055,1.161
WO-0036,CDN-024,2023-04-16,ESP Replacement,6,1257449,1.333
WO-0037,CDN-025,2024-02-17,Acidizing,8,810258,1.486
WO-0038,CDN-025,2026-04-16,ESP Replacement,10,466906,1.266
WO-0039,CDN-026,2025-05-01,ESP Replacement,14,579985,1.451
WO-0040,CDN-028,2026-04-15,Zone Change,14,1279275,1.423
WO-0041,CDN-028,2025-11-01,Scale Removal,6,233042,1.485
WO-0042,CDN-028,2025-03-02,Reperforation,14,1102704,1.479
WO-0043,CDN-028,2024-10-31,Acidizing,3,1338260,1.41
WO-0044,CDN-030,2025-06-16,Reperforation,12,508007,1.531
WO-0045,CDN-032,2026-01-28,Reperforation,9,204405,1.374
WO-0046,CDN-032,2025-11-17,Acidizing,6,871183,1.324
WO-0047,CDN-033,2025-10-21,ESP Replacement,7,1254784,1.356
WO-0048,CDN-033,2025-05-25,Acidizing,4,1058654,1.275
WO-0049,CDN-033,2023-09-08,Acidizing,7,595580,1.196
WO-0050,CDN-036,2026-03-11,Scale Removal,12,688839,1.365
WO-0051,CDN-037,2025-08-04,Scale Removal,5,520854,1.497
WO-0052,CDN-037,2024-05-07,Acidizing,9,821897,1.521
WO-0053,CDN-040,2025-06-17,ESP Replacement,13,778072,1.138
WO-0054,CDN-045,2024-04-25,ESP Replacement,6,1433398,1.152
WO-0055,CDN-046,2026-01-11,ESP Replacement,14,586520,1.437
WO-0056,CDN-046,2024-01-26,Reperforation,3,272588,1.264
WO-0057,CDN-049,2026-05-24,Reperforation,13,888435,1.413
WO-0058,CDN-049,2023-09-17,ESP Replacement,10,1301308,1.199
WO-0059,CDN-050,2025-12-01,Acidizing,13,446671,1.427
WO-0060,CDN-052,2026-03-04,Scale Removal,4,1344279,1.372
WO-0061,CDN-052,2026-04-07,Acidizing,14,258488,1.239
WO-0062,CDN-053,2024-10-19,Scale Removal,14,1077637,1.295
WO-0063,CDN-053,2023-07-08,ESP Replacement,8,307476,1.176
WO-0064,CDN-054,2026-04-11,Zone Change,9,1145716,1.331
WO-0065,CDN-057,2023-12-31,Scale Removal,10,1402466,1.408
WO-0066,CDN-057,2025-07-14,Scale Removal,12,280786,1.422
WO-0067,CDN-059,2023-07-26,Reperforation,6,1321289,1.548
WO-0068,CDN-059,2023-12-16,Reperforation,9,1125369,1.295
WO-0069,CDN-060,2023-10-25,ESP Replacement,10,1250044,1.173
WO-0070,CDN-060,2024-03-07,Zone Change,3,958798,1.448
WO-0071,CDN-060,2024-09-27,Reperforation,8,1207840,1.485
WO-0072,CDN-060,2024-11-16,Acidizing,13,911558,1.543
WO-0073,CDN-061,2024-09-01,Reperforation,9,215570,1.536
WO-0074,CDN-061,2025-04-22,ESP Replacement,12,293887,1.497
WO-0075,CDN-062,2023-10-07,Acidizing,5,643959,1.25
WO-0076,CDN-063,2024-12-04,Acidizing,5,243191,1.343
WO-0077,CDN-063,2024-10-15,Acidizing,10,1085906,1.471
WO-0078,CDN-064,2025-05-09,Scale Removal,3,1323853,1.202
WO-0079,CDN-064,2024-12-05,Acidizing,3,423231,1.168
