periode,lapangan_id,kategori_biaya,jenis,nilai_usd
2023-03,F03,Power & Fuel,OPEX,402359.37
2023-03,F03,Transportation,OPEX,193226.2
2023-03,F03,Manpower,OPEX,439554.21
2023-03,F03,HSE & Environment,OPEX,156436.74
2023-03,F03,G&A Allocation,OPEX,231598.81
2023-03,F03,Workover,OPEX,192884.97
2023-03,F04,Well Services,OPEX,303959.94
2023-03,F04,Facility O&M,OPEX,297058.83
2023-03,F04,Chemicals,OPEX,180702.08
2023-03,F04,Power & Fuel,OPEX,425042.92
2023-03,F04,Transportation,OPEX,244554.84
2023-03,F04,Manpower,OPEX,452907.36
2023-03,F04,HSE & Environment,OPEX,98675.44
2023-03,F04,G&A Allocation,OPEX,285333.79
2023-03,F04,Workover,OPEX,120422.02
2023-04,F01,Well Services,OPEX,108697.54
2023-04,F01,Facility O&M,OPEX,92916.85
2023-04,F01,Chemicals,OPEX,62456.93
2023-04,F01,Power & Fuel,OPEX,170439.97
2023-04,F01,Transportation,OPEX,88607.97
2023-04,F01,Manpower,OPEX,194583.38
2023-04,F01,HSE & Environment,OPEX,46945.75
2023-04,F01,G&A Allocation,OPEX,73716.79
2023-04,F01,Workover,OPEX,44309.38
2023-04,F02,Well Services,OPEX,76165.08
2023-04,F02,Facility O&M,OPEX,102190.97
2023-04,F02,Chemicals,OPEX,70054.24
2023-04,F02,Power & Fuel,OPEX,174680.23
2023-04,F02,Transportation,OPEX,75711.56
2023-04,F02,Manpower,OPEX,164536.19
2023-04,F02,HSE & Environment,OPEX,50601.46
2023-04,F02,G&A Allocation,OPEX,95475.37
2023-04,F02,Workover,OPEX,57937.26
2023-04,F03,Well Services,OPEX,295643.77
2023-04,F03,Facility O&M,OPEX,391351.46
2023-04,F03,Chemicals,OPEX,235202.86
2023-04,F03,Power & Fuel,OPEX,403568.24
2023-04,F03,Transportation,OPEX,301441.89
2023-04,F03,Manpower,OPEX,560186.09
2023-04,F03,HSE & Environment,OPEX,152279.4
2023-04,F03,G&A Allocation,OPEX,313670.07
2023-04,F03,Workover,OPEX,185243.8
2023-04,F04,Well Services,OPEX,282374.93
2023-04,F04,Facility O&M,OPEX,306063.28
2023-04,F04,Chemicals,OPEX,132727.95
2023-04,F04,Power & Fuel,OPEX,446211.17
2023-04,F04,Transportation,OPEX,175222.89
2023-04,F04,Manpower,OPEX,567712.58
2023-04,F04,HSE & Environment,OPEX,134900.33
2023-04,F04,G&A Allocation,OPEX,276803.56
2023-04,F04,Workover,OPEX,163247.53
2023-05,F01,Well Services,OPEX,92238.07
2023-05,F01,Facility O&M,OPEX,162466.88
2023-05,F01,Chemicals,OPEX,62356.44
2023-05,F01,Power & Fuel,OPEX,191956.45
2023-05,F01,Transportation,OPEX,71602.08
2023-05,F01,Manpower,OPEX,222810.98
2023-05,F01,HSE & Environment,OPEX,41222.85
2023-05,F01,G&A Allocation,OPEX,111066.05
2023-05,F01,Workover,OPEX,63822.34
2023-05,F02,Well Services,OPEX,101209.17
2023-05,F02,Facility O&M,OPEX,101622.22
2023-05,F02,Chemicals,OPEX,55259.59
2023-05,F02,Power & Fuel,OPEX,136978.98
2023-05,F02,Transportation,OPEX,69251.29
2023-05,F02,Manpower,OPEX,208230.28
2023-05,F02,HSE & Environment,OPEX,38530.9
2023-05,F02,G&A Allocation,OPEX,70605.41
2023-05,F02,Workover,OPEX,62235.71
2023-05,F03,Well Services,OPEX,312975.42
2023-05,F03,Facility O&M,OPEX,450044.56
2023-05,F03,Chemicals,OPEX,175566.54
2023-05,F03,Power & Fuel,OPEX,435940.63
2023-05,F03,Transportation,OPEX,258301.32
2023-05,F03,Manpower,OPEX,482446.66
2023-05,F03,HSE & Environment,OPEX,176946.61
2023-05,F03,G&A Allocation,OPEX,238584.98
2023-05,F03,Workover,OPEX,205943.7
2023-05,F04,Well Services,OPEX,251026.49
2023-05,F04,Facility O&M,OPEX,305512.48
2023-05,F04,Chemicals,OPEX,156940.55
2023-05,F04,Power & Fuel,OPEX,369998.03
2023-05,F04,Transportation,OPEX,204569.66
2023-05,F04,Manpower,OPEX,513811.92
2023-05,F04,HSE & Environment,OPEX,130771.95
2023-05,F04,G&A Allocation,OPEX,252357.75
2023-05,F04,Workover,OPEX,132979.21
2023-06,F01,Well Services,OPEX,115462.65
2023-06,F01,Facility O&M,OPEX,103725.03
2023-06,F01,Chemicals,OPEX,56294.57
2023-06,F01,Power & Fuel,OPEX,202737.69
2023-06,F01,Transportation,OPEX,101115.13
2023-06,F01,Manpower,OPEX,159219.13
2023-06,F01,HSE & Environment,OPEX,52404.76
2023-06,F01,G&A Allocation,OPEX,82648.21
2023-06,F01,Workover,OPEX,50074.16
2023-06,F02,Well Services,OPEX,77865.63
2023-06,F02,Facility O&M,OPEX,110961.81
2023-06,F02,Chemicals,OPEX,54179.68
2023-06,F02,Power & Fuel,OPEX,181025.56
2023-06,F02,Transportation,OPEX,89396.88
2023-06,F02,Manpower,OPEX,141199.89
2023-06,F02,HSE & Environment,OPEX,38100.35
2023-06,F02,G&A Allocation,OPEX,86366.15
2023-06,F02,Drilling,CAPEX,3472763.07
2023-06,F02,Workover,OPEX,39879.58
2023-06,F03,Well Services,OPEX,279525.81
2023-06,F03,Facility O&M,OPEX,378361.97
2023-06,F03,Chemicals,OPEX,233976.64
2023-06,F03,Power & Fuel,OPEX,537896.83
2023-06,F03,Transportation,OPEX,205337.55
2023-06,F03,Manpower,OPEX,599987.51
2023-06,F03,HSE & Environment,OPEX,151388.81
2023-06,F03,G&A Allocation,OPEX,267090.27
2023-06,F03,Facility Upgrade,CAPEX,668990.5
2023-06,F03,Workover,OPEX,133094.0
2023-06,F04,Well Services,OPEX,298357.65
2023-06,F04,Facility O&M,OPEX,340353.04
2023-06,F04,Chemicals,OPEX,186280.25
2023-06,F04,Power & Fuel,OPEX,331033.45
2023-06,F04,Transportation,OPEX,196324.01
2023-06,F04,Manpower,OPEX,402227.02
2023-06,F04,HSE & Environment,OPEX,129837.1
2023-06,F04,G&A Allocation,OPEX,204708.93
2023-06,F04,Workover,OPEX,146724.16
2023-07,F01,Well Services,OPEX,126173.3
2023-07,F01,Facility O&M,OPEX,129669.69
2023-07,F01,Chemicals,OPEX,79437.47
2023-07,F01,Power & Fuel,OPEX,178620.32
2023-07,F01,Transportation,OPEX,79948.28
2023-07,F01,Manpower,OPEX,155881.24
2023-07,F01,HSE & Environment,OPEX,53278.48
2023-07,F01,G&A Allocation,OPEX,101536.93
2023-07,F01,Workover,OPEX,51458.88
2023-07,F02,Well Services,OPEX,90062.25
2023-07,F02,Facility O&M,OPEX,124173.41
2023-07,F02,Chemicals,OPEX,55660.09
2023-07,F02,Power & Fuel,OPEX,192902.89
2023-07,F02,Transportation,OPEX,76218.31
2023-07,F02,Manpower,OPEX,212074.81
2023-07,F02,HSE & Environment,OPEX,45488.35
2023-07,F02,G&A Allocation,OPEX,98320.35
2023-07,F02,Workover,OPEX,44958.48
2023-07,F03,Well Services,OPEX,359223.95
2023-07,F03,Facility O&M,OPEX,370489.51
2023-07,F03,Chemicals,OPEX,176657.04
2023-07,F03,Power & Fuel,OPEX,541846.62
2023-07,F03,Transportation,OPEX,216343.06
2023-07,F03,Manpower,OPEX,569800.75
2023-07,F03,HSE & Environment,OPEX,138600.64
2023-07,F03,G&A Allocation,OPEX,329975.62
2023-07,F03,Facility Upgrade,CAPEX,2725465.01
2023-07,F03,Workover,OPEX,130502.67
2023-07,F04,Well Services,OPEX,258122.38
2023-07,F04,Facility O&M,OPEX,294316.71
2023-07,F04,Chemicals,OPEX,168766.99
2023-07,F04,Power & Fuel,OPEX,374866.65
2023-07,F04,Transportation,OPEX,182529.96
2023-07,F04,Manpower,OPEX,356802.38
2023-07,F04,HSE & Environment,OPEX,107796.5
2023-07,F04,G&A Allocation,OPEX,193547.11
2023-07,F04,Drilling,CAPEX,1365423.41
2023-07,F04,Workover,OPEX,107940.67
2023-08,F01,Well Services,OPEX,104676.36
2023-08,F01,Facility O&M,OPEX,111708.35
2023-08,F01,Chemicals,OPEX,78679.54
2023-08,F01,Power & Fuel,OPEX,170087.82
2023-08,F01,Transportation,OPEX,102183.77
2023-08,F01,Manpower,OPEX,201962.37
2023-08,F01,HSE & Environment,OPEX,56698.04
2023-08,F01,G&A Allocation,OPEX,90758.32
2023-08,F01,Workover,OPEX,69959.92
2023-08,F02,Well Services,OPEX,109345.14
2023-08,F02,Facility O&M,OPEX,134157.85
2023-08,F02,Chemicals,OPEX,47769.99
2023-08,F02,Power & Fuel,OPEX,126422.23
2023-08,F02,Transportation,OPEX,85120.14
2023-08,F02,Manpower,OPEX,200424.15
2023-08,F02,HSE & Environment,OPEX,48565.39
2023-08,F02,G&A Allocation,OPEX,82186.66
2023-08,F02,Workover,OPEX,49081.67
2023-08,F03,Well Services,OPEX,303637.1
2023-08,F03,Facility O&M,OPEX,367676.54
2023-08,F03,Chemicals,OPEX,210224.91
2023-08,F03,Power & Fuel,OPEX,485734.14
2023-08,F03,Transportation,OPEX,242059.72
2023-08,F03,Manpower,OPEX,457438.25
2023-08,F03,HSE & Environment,OPEX,128665.4
2023-08,F03,G&A Allocation,OPEX,238067.25
2023-08,F03,Facility Upgrade,CAPEX,570049.18
2023-08,F03,Workover,OPEX,190484.01
2023-08,F04,Well Services,OPEX,317722.58
2023-08,F04,Facility O&M,OPEX,434211.2
2023-08,F04,Chemicals,OPEX,183223.55
2023-08,F04,Power & Fuel,OPEX,466380.17
2023-08,F04,Transportation,OPEX,238886.55
2023-08,F04,Manpower,OPEX,485990.37
2023-08,F04,HSE & Environment,OPEX,131320.23
2023-08,F04,G&A Allocation,OPEX,250079.48
2023-08,F04,Workover,OPEX,191855.32
2023-09,F01,Well Services,OPEX,117553.31
2023-09,F01,Facility O&M,OPEX,144336.65
2023-09,F01,Chemicals,OPEX,64790.1
2023-09,F01,Power & Fuel,OPEX,191183.34
2023-09,F01,Transportation,OPEX,96548.36
2023-09,F01,Manpower,OPEX,215029.97
2023-09,F01,HSE & Environment,OPEX,55181.09
2023-09,F01,G&A Allocation,OPEX,79013.61
2023-09,F01,Workover,OPEX,66627.1
2023-09,F02,Well Services,OPEX,85813.99
2023-09,F02,Facility O&M,OPEX,125192.78
2023-09,F02,Chemicals,OPEX,50988.03
2023-09,F02,Power & Fuel,OPEX,167974.02
2023-09,F02,Transportation,OPEX,82925.17
2023-09,F02,Manpower,OPEX,169833.36
2023-09,F02,HSE & Environment,OPEX,36029.77
2023-09,F02,G&A Allocation,OPEX,80239.21
2023-09,F02,Workover,OPEX,51917.0
2023-09,F03,Well Services,OPEX,226700.09
2023-09,F03,Facility O&M,OPEX,344661.48
2023-09,F03,Chemicals,OPEX,212825.58
2023-09,F03,Power & Fuel,OPEX,522323.43
2023-09,F03,Transportation,OPEX,261039.92
2023-09,F03,Manpower,OPEX,570972.97
2023-09,F03,HSE & Environment,OPEX,140960.47
2023-09,F03,G&A Allocation,OPEX,207616.39
2023-09,F03,Workover,OPEX,178946.67
2023-09,F04,Well Services,OPEX,316727.5
2023-09,F04,Facility O&M,OPEX,433562.6
2023-09,F04,Chemicals,OPEX,177771.51
2023-09,F04,Power & Fuel,OPEX,482808.76
2023-09,F04,Transportation,OPEX,323706.37
2023-09,F04,Manpower,OPEX,705984.33
2023-09,F04,HSE & Environment,OPEX,178914.35
2023-09,F04,G&A Allocation,OPEX,262597.47
2023-09,F04,Drilling,CAPEX,3356099.97
2023-09,F04,Workover,OPEX,161792.48
2023-10,F01,Well Services,OPEX,123067.38
2023-10,F01,Facility O&M,OPEX,101952.13
2023-10,F01,Chemicals,OPEX,62216.37
2023-10,F01,Power & Fuel,OPEX,163736.6
2023-10,F01,Transportation,OPEX,80244.35
2023-10,F01,Manpower,OPEX,176021.77
2023-10,F01,HSE & Environment,OPEX,53214.7
2023-10,F01,G&A Allocation,OPEX,99186.1
2023-10,F01,Workover,OPEX,65336.38
2023-10,F02,Well Services,OPEX,91414.34
2023-10,F02,Facility O&M,OPEX,94687.55
2023-10,F02,Chemicals,OPEX,69510.71
2023-10,F02,Power & Fuel,OPEX,163471.39
2023-10,F02,Transportation,OPEX,84007.3
2023-10,F02,Manpower,OPEX,157358.59
2023-10,F02,HSE & Environment,OPEX,46101.07
2023-10,F02,G&A Allocation,OPEX,93867.1
2023-10,F02,Facility Upgrade,CAPEX,2436794.98
2023-10,F02,Workover,OPEX,41928.77
2023-10,F03,Well Services,OPEX,324225.66
2023-10,F03,Facility O&M,OPEX,391332.56
2023-10,F03,Chemicals,OPEX,191313.5
2023-10,F03,Power & Fuel,OPEX,406409.83
2023-10,F03,Transportation,OPEX,261666.48
2023-10,F03,Manpower,OPEX,467601.7
2023-10,F03,HSE & Environment,OPEX,120942.13
2023-10,F03,G&A Allocation,OPEX,340216.65
2023-10,F03,Workover,OPEX,162994.08
2023-10,F04,Well Services,OPEX,338318.82
2023-10,F04,Facility O&M,OPEX,343285.83
2023-10,F04,Chemicals,OPEX,241533.82
2023-10,F04,Power & Fuel,OPEX,462207.37
2023-10,F04,Transportation,OPEX,299296.34
2023-10,F04,Manpower,OPEX,707369.7
2023-10,F04,HSE & Environment,OPEX,123193.01
2023-10,F04,G&A Allocation,OPEX,325824.17
2023-10,F04,Workover,OPEX,154871.1
2023-11,F01,Well Services,OPEX,115370.57
2023-11,F01,Facility O&M,OPEX,149277.1
2023-11,F01,Chemicals,OPEX,62703.64
2023-11,F01,Power & Fuel,OPEX,156001.54
2023-11,F01,Transportation,OPEX,82107.45
2023-11,F01,Manpower,OPEX,198387.43
2023-11,F01,HSE & Environment,OPEX,46129.8
2023-11,F01,G&A Allocation,OPEX,114231.53
2023-11,F01,Workover,OPEX,54842.13
2023-11,F02,Well Services,OPEX,96097.25
2023-11,F02,Facility O&M,OPEX,111494.29
2023-11,F02,Chemicals,OPEX,56871.33
2023-11,F02,Power & Fuel,OPEX,162248.07
2023-11,F02,Transportation,OPEX,82162.35
2023-11,F02,Manpower,OPEX,144761.76
2023-11,F02,HSE & Environment,OPEX,38653.96
2023-11,F02,G&A Allocation,OPEX,65734.45
2023-11,F02,Workover,OPEX,53920.53
2023-11,F03,Well Services,OPEX,257094.78
2023-11,F03,Facility O&M,OPEX,348652.3
2023-11,F03,Chemicals,OPEX,159389.79
2023-11,F03,Power & Fuel,OPEX,489263.68
2023-11,F03,Transportation,OPEX,230137.59
2023-11,F03,Manpower,OPEX,596563.8
2023-11,F03,HSE & Environment,OPEX,129397.52
2023-11,F03,G&A Allocation,OPEX,311487.71
2023-11,F03,Workover,OPEX,167793.94
2023-11,F04,Well Services,OPEX,352738.23
2023-11,F04,Facility O&M,OPEX,324029.5
2023-11,F04,Chemicals,OPEX,187478.57
2023-11,F04,Power & Fuel,OPEX,581119.77
2023-11,F04,Transportation,OPEX,292527.74
2023-11,F04,Manpower,OPEX,566682.38
2023-11,F04,HSE & Environment,OPEX,176423.39
2023-11,F04,G&A Allocation,OPEX,246490.58
2023-11,F04,Workover,OPEX,176408.81
2023-12,F01,Well Services,OPEX,90887.46
2023-12,F01,Facility O&M,OPEX,143631.79
2023-12,F01,Chemicals,OPEX,71932.85
2023-12,F01,Power & Fuel,OPEX,181284.43
2023-12,F01,Transportation,OPEX,93378.36
2023-12,F01,Manpower,OPEX,230225.19
2023-12,F01,HSE & Environment,OPEX,45873.78
2023-12,F01,G&A Allocation,OPEX,92526.31
2023-12,F01,Workover,OPEX,66794.69
2023-12,F02,Well Services,OPEX,93344.33
2023-12,F02,Facility O&M,OPEX,122415.82
2023-12,F02,Chemicals,OPEX,70241.76
2023-12,F02,Power & Fuel,OPEX,153452.94
2023-12,F02,Transportation,OPEX,69986.51
2023-12,F02,Manpower,OPEX,174118.46
2023-12,F02,HSE & Environment,OPEX,43857.61
2023-12,F02,G&A Allocation,OPEX,73755.89
2023-12,F02,Workover,OPEX,43180.33
2023-12,F03,Well Services,OPEX,270144.74
2023-12,F03,Facility O&M,OPEX,279424.44
2023-12,F03,Chemicals,OPEX,148177.83
2023-12,F03,Power & Fuel,OPEX,534322.99
2023-12,F03,Transportation,OPEX,209894.15
2023-12,F03,Manpower,OPEX,519955.38
2023-12,F03,HSE & Environment,OPEX,107902.74
2023-12,F03,G&A Allocation,OPEX,235699.38
2023-12,F03,Workover,OPEX,135214.77
2023-12,F04,Well Services,OPEX,338165.81
2023-12,F04,Facility O&M,OPEX,390805.66
2023-12,F04,Chemicals,OPEX,180110.68
2023-12,F04,Power & Fuel,OPEX,452734.77
2023-12,F04,Transportation,OPEX,252102.78
2023-12,F04,Manpower,OPEX,562494.54
2023-12,F04,HSE & Environment,OPEX,141108.99
2023-12,F04,G&A Allocation,OPEX,290397.28
2023-12,F04,Workover,OPEX,162001.33
2024-01,F01,Well Services,OPEX,134906.99
2024-01,F01,Facility O&M,OPEX,126415.38
2024-01,F01,Chemicals,OPEX,86971.01
2024-01,F01,Power & Fuel,OPEX,177573.6
2024-01,F01,Transportation,OPEX,75693.98
2024-01,F01,Manpower,OPEX,168953.42
2024-01,F01,HSE & Environment,OPEX,48525.35
2024-01,F01,G&A Allocation,OPEX,94793.11
2024-01,F01,Drilling,CAPEX,1528514.91
2024-01,F01,Facility Upgrade,CAPEX,754291.42
2024-01,F01,Workover,OPEX,59714.73
2024-01,F02,Well Services,OPEX,72298.8
2024-01,F02,Facility O&M,OPEX,109630.46
2024-01,F02,Chemicals,OPEX,57843.5
2024-01,F02,Power & Fuel,OPEX,145619.89
2024-01,F02,Transportation,OPEX,68632.72
2024-01,F02,Manpower,OPEX,169855.46
2024-01,F02,HSE & Environment,OPEX,41111.29
2024-01,F02,G&A Allocation,OPEX,88315.02
2024-01,F02,Workover,OPEX,46971.29
2024-01,F03,Well Services,OPEX,277448.23
2024-01,F03,Facility O&M,OPEX,304887.87
2024-01,F03,Chemicals,OPEX,158892.6
2024-01,F03,Power & Fuel,OPEX,550136.49
2024-01,F03,Transportation,OPEX,178967.3
2024-01,F03,Manpower,OPEX,545530.14
2024-01,F03,HSE & Environment,OPEX,122135.36
2024-01,F03,G&A Allocation,OPEX,222235.53
2024-01,F03,Drilling,CAPEX,3061944.98
2024-01,F03,Workover,OPEX,177097.95
2024-01,F04,Well Services,OPEX,413164.43
2024-01,F04,Facility O&M,OPEX,387657.7
2024-01,F04,Chemicals,OPEX,180118.94
2024-01,F04,Power & Fuel,OPEX,674697.97
2024-01,F04,Transportation,OPEX,265227.98
2024-01,F04,Manpower,OPEX,521152.58
2024-01,F04,HSE & Environment,OPEX,163474.71
2024-01,F04,G&A Allocation,OPEX,332467.98
2024-01,F04,Workover,OPEX,162372.7
2024-02,F01,Well Services,OPEX,91165.65
2024-02,F01,Facility O&M,OPEX,134070.07
2024-02,F01,Chemicals,OPEX,71738.67
2024-02,F01,Power & Fuel,OPEX,202027.25
2024-02,F01,Transportation,OPEX,81652.55
2024-02,F01,Manpower,OPEX,239914.9
2024-02,F01,HSE & Environment,OPEX,54466.47
2024-02,F01,G&A Allocation,OPEX,81256.78
2024-02,F01,Facility Upgrade,CAPEX,3104336.29
2024-02,F01,Workover,OPEX,55032.45
2024-02,F02,Well Services,OPEX,106549.17
2024-02,F02,Facility O&M,OPEX,85273.8
2024-02,F02,Chemicals,OPEX,60374.42
2024-02,F02,Power & Fuel,OPEX,138602.75
2024-02,F02,Transportation,OPEX,67191.7
2024-02,F02,Manpower,OPEX,136868.39
2024-02,F02,HSE & Environment,OPEX,41291.29
2024-02,F02,G&A Allocation,OPEX,79804.45
2024-02,F02,Workover,OPEX,55706.25
2024-02,F03,Well Services,OPEX,294689.81
2024-02,F03,Facility O&M,OPEX,367703.99
2024-02,F03,Chemicals,OPEX,153337.93
2024-02,F03,Power & Fuel,OPEX,353343.77
2024-02,F03,Transportation,OPEX,184390.15
2024-02,F03,Manpower,OPEX,421398.62
2024-02,F03,HSE & Environment,OPEX,118605.75
2024-02,F03,G&A Allocation,OPEX,264375.63
2024-02,F03,Facility Upgrade,CAPEX,4454789.87
2024-02,F03,Workover,OPEX,140105.75
2024-02,F04,Well Services,OPEX,417471.87
2024-02,F04,Facility O&M,OPEX,469519.23
2024-02,F04,Chemicals,OPEX,186729.61
2024-02,F04,Power & Fuel,OPEX,483623.59
2024-02,F04,Transportation,OPEX,291984.64
2024-02,F04,Manpower,OPEX,587976.96
2024-02,F04,HSE & Environment,OPEX,148018.85
2024-02,F04,G&A Allocation,OPEX,303717.8
2024-02,F04,Drilling,CAPEX,2540757.99
2024-02,F04,Workover,OPEX,200483.47
2024-03,F01,Well Services,OPEX,139009.75
2024-03,F01,Facility O&M,OPEX,148885.45
2024-03,F01,Chemicals,OPEX,68069.65
2024-03,F01,Power & Fuel,OPEX,189609.14
2024-03,F01,Transportation,OPEX,84573.67
2024-03,F01,Manpower,OPEX,194955.81
2024-03,F01,HSE & Environment,OPEX,45792.25
2024-03,F01,G&A Allocation,OPEX,89009.33
2024-03,F01,Workover,OPEX,72212.68
2024-03,F02,Well Services,OPEX,113415.78
2024-03,F02,Facility O&M,OPEX,108686.86
2024-03,F02,Chemicals,OPEX,64254.46
2024-03,F02,Power & Fuel,OPEX,198175.96
2024-03,F02,Transportation,OPEX,77120.79
2024-03,F02,Manpower,OPEX,219811.1
2024-03,F02,HSE & Environment,OPEX,47503.8
2024-03,F02,G&A Allocation,OPEX,113462.2
2024-03,F02,Workover,OPEX,57100.25
2024-03,F03,Well Services,OPEX,257727.85
2024-03,F03,Facility O&M,OPEX,321959.83
2024-03,F03,Chemicals,OPEX,211411.0
2024-03,F03,Power & Fuel,OPEX,548395.45
2024-03,F03,Transportation,OPEX,207110.7
2024-03,F03,Manpower,OPEX,461914.72
2024-03,F03,HSE & Environment,OPEX,103630.74
2024-03,F03,G&A Allocation,OPEX,240099.52
2024-03,F03,Drilling,CAPEX,3740007.69
2024-03,F03,Facility Upgrade,CAPEX,870701.85
2024-03,F03,Workover,OPEX,120654.17
2024-03,F04,Well Services,OPEX,304049.5
2024-03,F04,Facility O&M,OPEX,369308.58
2024-03,F04,Chemicals,OPEX,251655.79
2024-03,F04,Power & Fuel,OPEX,718666.55
2024-03,F04,Transportation,OPEX,337583.77
2024-03,F04,Manpower,OPEX,695950.99
2024-03,F04,HSE & Environment,OPEX,160698.88
2024-03,F04,G&A Allocation,OPEX,387241.98
2024-03,F04,Workover,OPEX,216701.47
2024-04,F01,Well Services,OPEX,121152.13
2024-04,F01,Facility O&M,OPEX,164619.55
2024-04,F01,Chemicals,OPEX,77167.73
2024-04,F01,Power & Fuel,OPEX,222581.52
2024-04,F01,Transportation,OPEX,74722.41
2024-04,F01,Manpower,OPEX,235826.72
2024-04,F01,HSE & Environment,OPEX,61262.34
2024-04,F01,G&A Allocation,OPEX,94464.68
2024-04,F01,Workover,OPEX,56939.9
2024-04,F02,Well Services,OPEX,111322.02
2024-04,F02,Facility O&M,OPEX,145221.43
2024-04,F02,Chemicals,OPEX,64183.61
2024-04,F02,Power & Fuel,OPEX,211404.85
2024-04,F02,Transportation,OPEX,88139.15
2024-04,F02,Manpower,OPEX,189395.19
