periode,tanggal,lapangan_id,jenis_insiden,tingkat_keparahan,status_pekerja,hari_kerja_hilang
2025-04,2025-04-20,F04,Near Miss,Ringan,Karyawan,0
2025-04,2025-04-14,F04,Near Miss,Ringan,Kontraktor,0
2025-05,2025-05-04,F02,Near Miss,Ringan,Kontraktor,0
2025-05,2025-05-24,F04,Medical Treatment,Sedang,Karyawan,0
2025-06,2025-06-23,F04,Near Miss,Ringan,Kontraktor,0
2025-07,2025-07-04,F04,Near Miss,Ringan,Kontraktor,0
2025-09,2025-09-07,F03,Medical Treatment,Ringan,Kontraktor,0
2025-09,2025-09-06,F02,Spill,Sedang,Karyawan,0
2025-10,2025-10-18,F04,Lost Time Injury,Berat,Kontraktor,22
2025-10,2025-10-27,F03,First Aid,Sedang,Kontraktor,0
2025-11,2025-11-23,F02,Near Miss,Ringan,Karyawan,0
2025-11,2025-11-02,F01,Near Miss,Ringan,Kontraktor,0
2025-11,2025-11-15,F03,Spill,Sedang,Kontraktor,0
2025-12,2025-12-24,F03,Near Miss,Ringan,Kontraktor,0
2025-12,2025-12-01,F04,First Aid,Ringan,Kontraktor,0
2026-01,2026-01-09,F02,Medical Treatment,Ringan,Kontraktor,0
2026-01,2026-01-05,F02,Medical Treatment,Ringan,Kontraktor,0
2026-01,2026-01-26,F02,Lost Time Injury,Ringan,Kontraktor,24
2026-01,2026-01-07,F03,Medical Treatment,Ringan,Kontraktor,0
2026-02,2026-02-17,F04,Near Miss,Ringan,Kontraktor,0
2026-03,2026-03-11,F01,Near Miss,Ringan,Kontraktor,0
2026-03,2026-03-02,F02,Near Miss,Ringan,Kontraktor,0
2026-04,2026-04-04,F03,Spill,Sedang,Kontraktor,0
2026-04,2026-04-03,F02,Near Miss,Ringan,Karyawan,0
2026-04,2026-04-15,F03,Spill,Berat,Karyawan,0
2026-04,2026-04-01,F03,Near Miss,Ringan,Kontraktor,0
2026-05,2026-05-11,F02,Near Miss,Ringan,Kontraktor,0
2026-05,2026-05-17,F04,Near Miss,Ringan,Kontraktor,0
2026-05,2026-05-11,F04,Near Miss,Berat,Kontraktor,0
2026-06,2026-06-12,F02,Medical Treatment,Ringan,Kontraktor,0
2026-06,2026-06-06,F01,Near Miss,Ringan,Kontraktor,0
2026-06,2026-06-14,F03,First Aid,Berat,Karyawan,0
2026-06,2026-06-25,F03,Medical Treatment,Ringan,Kontraktor,0
