lifting_id,tanggal,periode,pembeli,volume_bbl,harga_usd_bbl,nilai_usd,tujuan
LFT-0109,2026-02-13,2026-02,Trafigura,139456.9,61.05,8513842.2,Domestik
LFT-0110,2026-02-25,2026-02,Pertamina,129434.2,61.05,7901959.0,Domestik
LFT-0111,2026-02-21,2026-02,Pertamina,144403.7,61.05,8815845.7,Domestik
LFT-0112,2026-03-25,2026-03,PetroChina,197241.0,69.18,13645135.26,Domestik
LFT-0113,2026-03-22,2026-03,ExxonMobil,196688.8,69.18,13606932.99,Domestik
LFT-0114,2026-04-10,2026-04,Pertamina,177035.3,72.39,12815584.49,Domestik
LFT-0115,2026-04-23,2026-04,Pertamina,201739.3,72.39,14603910.22,Ekspor
LFT-0116,2026-05-20,2026-05,Trafigura,128268.9,68.39,8772312.48,Ekspor
LFT-0117,2026-05-20,2026-05,Trafigura,153420.4,68.39,10492423.59,Ekspor
LFT-0118,2026-05-07,2026-05,Pertamina,126181.9,68.39,8629581.22,Domestik
LFT-0119,2026-06-23,2026-06,ExxonMobil,100996.2,72.61,7333336.99,Domestik
LFT-0120,2026-06-11,2026-06,Pertamina,87743.0,72.61,6371022.58,Domestik
LFT-0121,2026-06-17,2026-06,Pertamina,111114.7,72.61,8068041.9,Ekspor
LFT-0122,2026-06-17,2026-06,Pertamina,105300.8,72.61,7645893.91,Ekspor
